"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmgn1",0.000130217797097523,1.21765239865456,0.8,0.448,1
"Hdgf",0.000269447190561981,2.43123043186114,0.45,0.086,1
"Ptma",0.000390873625520745,0.617091050946668,0.95,0.776,1
"Id2",0.000646649941358254,-1.58701220849493,0.3,0.655,1
"Dnajc2",0.00107891362114336,3.40164297918949,0.25,0.017,1
"Hmgn2",0.0020042465301722,1.55194904630517,0.6,0.241,1
"Nap1l1",0.00209589674674392,2.06726617907217,0.4,0.086,1
"Hmgb1",0.00250683035702531,1.30861189287941,0.7,0.31,1
"Maz",0.00377255200519063,2.92497793063314,0.25,0.034,1
"Cbx5",0.00531305265528193,2.52290158977606,0.3,0.069,1
"Anp32b",0.00968327370692276,1.63587332283351,0.4,0.121,1
"Sumo1",0.0111756861534809,1.18773318703144,0.55,0.259,1
"Set",0.0113638213270272,1.93090982816246,0.35,0.121,1
"Actb",0.0124493587327663,0.446496523432495,0.95,0.81,1
"Nono",0.016111220033879,1.38731794942221,0.35,0.103,1
"Fos",0.0161670781346346,-1.20749142638473,0.3,0.552,1
"Ubtf",0.0167603014499622,1.80037778082982,0.3,0.086,1
"Snw1",0.020542424988891,1.7921165309072,0.3,0.086,1
"Hmgb2",0.0229205735596567,1.58099170735266,0.35,0.121,1
"H3f3a",0.0297619338029403,0.628266763012096,0.65,0.483,1
"Yeats4",0.0311244492834859,1.83838027030925,0.25,0.069,1
"Cux1",0.0327731498085361,1.71754769194683,0.25,0.069,1
"Sox9",0.0368112703507805,1.37494023582766,0.35,0.138,1
"Npm1",0.0371565286622388,0.916575212979394,0.6,0.31,1
"Nedd4",0.046807985448699,1.31255449954155,0.35,0.138,1
"Sirt2",0.0497133958366454,-2.24618797734896,0.05,0.259,1
