"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3f3a",1.52287689046454e-06,0.966954931361474,0.769,0.483,0.0300189492648371
"Id2",2.04954960413129e-06,-1.55136712071203,0.246,0.655,0.040400721796636
"Actb",0.000298563415359358,0.443918894529977,0.877,0.81,1
"Set",0.000335896897953213,1.93802956298089,0.4,0.121,1
"Hmgb1",0.000551539106601289,1.11845450397592,0.615,0.31,1
"Lhx2",0.00057332351261518,2.87727366494061,0.262,0.034,1
"Prdx1",0.00538352828876537,-0.556374419995605,0.585,0.793,1
"Swi5",0.0063840848790921,-0.867524623020946,0.323,0.569,1
"Nfia",0.00845871885498516,1.04024734338484,0.462,0.276,1
"Hmgb2",0.00866076378008414,1.43526882313261,0.323,0.121,1
"Sfr1",0.00920203140296936,-1.01004455298149,0.231,0.466,1
"Vcp",0.0106618687572092,-1.03658192100067,0.215,0.448,1
"Aldoa",0.0111473109500285,-0.71578481667598,0.4,0.655,1
"Xist",0.0148710141652959,1.01121823795027,0.4,0.19,1
"Ptma",0.015430681992357,0.311208425383811,0.846,0.776,1
"Hmgn2",0.0229192644358243,0.934373779295972,0.431,0.241,1
"Ybx1",0.0253286875317033,-0.394334465384809,0.677,0.862,1
"Nedd4",0.0260808170418457,1.18183714433061,0.308,0.138,1
"Cbx3",0.0287817045000787,0.785807005216287,0.477,0.293,1
"Sox9",0.0288140451389024,1.26122330181781,0.292,0.138,1
"Npm1",0.0332667320706546,0.733166721131217,0.462,0.31,1
"H1f0",0.0418168787739697,-0.811366995443693,0.246,0.431,1
"Sumo1",0.0418168787739697,0.858687414688798,0.4,0.259,1
"Ccnd2",0.0465159086645567,-0.484516594366156,0.538,0.724,1
