"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vrk1",7.88727523674382e-06,-8.1319342343742,0,0.4,0.155473969466694
"Banp",0.000356251270104199,-4.80218364482729,0.02,0.4,1
"Ddb1",0.000395414872875072,-3.20463984897309,0.06,0.6,1
"Mef2a",0.0004720232962753,-4.52676693637738,0.02,0.4,1
"Mau2",0.000622163329248295,-4.06570823673936,0.02,0.4,1
"Nfia",0.0020718552785349,6.24244710306461,0.84,0,1
"Ptma",0.00268233424626736,1.47934748002954,0.96,0.4,1
"Meis3",0.00284588459987125,-2.6830807289144,0.1,0.6,1
"Ubr5",0.00309175203880214,-3.8110154660796,0.04,0.4,1
"Hdac5",0.00332292630059647,-2.78692795724474,0.1,0.6,1
"Mad2l2",0.00572023529792069,-3.00338291832936,0.04,0.4,1
"Smyd2",0.00572023529792069,-3.14420940645563,0.04,0.4,1
"H3f3a",0.00851961849354069,2.12497521917231,0.86,0.2,1
"Cbx3",0.0114434302765574,2.32221854631267,0.78,0.2,1
"Znhit1",0.0124241027494684,-1.81536148246781,0.24,0.8,1
"Bmyc",0.0127177944760847,-2.08197370441788,0.18,0.6,1
"Ndn",0.0140517062900426,-1.37570423998611,0.42,1,1
"Set",0.0174583159698076,2.18744313844792,0.7,0.2,1
"Actb",0.0184332373738465,0.653160094870443,1,1,1
"Aldoa",0.020030669890157,-2.20581953764785,0.16,0.6,1
"Msl1",0.0284671836681648,-2.54865714436553,0.08,0.4,1
"Xist",0.0352727620849423,5.21240734218515,0.54,0,1
"Htatsf1",0.037287669043673,-2.17024060271113,0.08,0.4,1
"Prmt1",0.0410998097387169,2.01325921451898,0.64,0.2,1
