"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cdk1",1.36007585172172e-09,8.67793345786334,0.6,0,2.68098151891385e-05
"Lmo2",1.36007585172172e-09,8.77638107618779,0.6,0,2.68098151891385e-05
"Ddx11",9.78260310547581e-07,8.15524223319356,0.4,0,0.0192834672415139
"Egr1",9.78260310547581e-07,8.40930401671206,0.4,0,0.0192834672415139
"Stat3",9.78260310547581e-07,8.37575909607778,0.4,0,0.0192834672415139
"Prdx1",3.80966454274902e-05,2.79176587398614,1,0.167,0.750961074666686
"Ipo4",0.000113606640106002,4.65268796206586,0.4,0.017,1
"Anp32b",0.000230728714816364,3.31498953412662,0.6,0.067,1
"Mcm2",0.000840274895839289,3.81076762195292,0.4,0.033,1
"Gpx1",0.000965775379241019,2.8111221552341,0.6,0.1,1
"Tipin",0.00103779511972483,3.88078481528485,0.4,0.033,1
"Hat1",0.00156757348065464,3.35294353542553,0.4,0.033,1
"Aldoa",0.00395358410840978,2.46166321571417,0.6,0.117,1
"Tcf4",0.00513860783989528,-5.87199434498912,0,0.75,1
"Chmp2a",0.00628756622608279,2.33541615543558,0.6,0.133,1
"Rbbp7",0.00772322951476557,2.90731115606265,0.4,0.05,1
"H3f3a",0.00870430679106721,-0.605793825275402,0.8,0.9,1
"Rnf2",0.00872309518746953,2.93576025960729,0.4,0.067,1
"Kat5",0.0100618315504909,2.7867158386153,0.4,0.067,1
"Ybx1",0.0133204209215689,-0.9371144957069,0.6,0.933,1
"Ptma",0.0175173216887865,-0.386827336422474,1,1,1
"Gpx4",0.0184392888679411,1.62266368458396,0.8,0.233,1
"Bag6",0.0198811622722512,2.3001790048086,0.4,0.067,1
"Hmgb2",0.0249823379077315,2.47236787187703,0.4,0.083,1
"Xist",0.0275679211377921,-1.98421154440001,0.2,0.683,1
"Zeb2",0.0275900416971768,-5.24237726072928,0,0.567,1
"Meg3",0.0336155310445826,-2.52254371061131,0.2,0.633,1
"Dnajc9",0.0441216463799172,2.18664452220438,0.4,0.083,1
"Ctbp1",0.0458885946662401,-4.98207818753804,0,0.5,1
"Gsk3b",0.0458885946662401,-5.06841274569102,0,0.5,1
"Thra",0.0458885946662401,-4.95960710321121,0,0.5,1
