"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hes5",2.65062332369247e-40,5.06657567665478,0.65,0.026,5.22490869566259e-36
"Pax6",6.01635161739459e-25,3.50045458640058,0.7,0.061,1.18594323082082e-20
"Hmgn3",1.02040127594348e-15,2.89741551623823,0.7,0.115,2.01141499513979e-11
"Hmgb2",2.63901141607238e-15,3.40729230434224,0.6,0.091,5.20201930336188e-11
"Cks2",1.51763460194085e-13,4.56764360531547,0.25,0.013,2.99156132734581e-09
"Sox9",2.79270689531376e-10,3.91374389600905,0.25,0.02,5.50498383204248e-06
"Prdx1",3.39849480982445e-09,1.82648369953284,0.75,0.297,6.69911296912596e-05
"Meg3",9.51356838513295e-09,-4.30610590184159,0.05,0.773,0.000187531460007741
"Ccnd2",6.32104354500805e-07,2.14044475367801,0.45,0.096,0.0124600410359199
"Tipin",2.54425699321587e-06,2.49426405096412,0.35,0.071,0.0501523938502712
"Hmgn2",3.05855463637581e-06,1.31728079721788,0.8,0.423,0.0602902289922399
"Xist",5.78763697671387e-06,-1.00139073331929,0.55,0.951,0.114085900084984
"Mef2c",1.0875080243417e-05,-3.91712312450388,0.05,0.582,0.214369581758236
"Zeb2",3.7049266896043e-05,-6.91429317067104,0,0.504,0.7303151490548
"Thra",7.12556747103468e-05,-2.43712881855192,0.1,0.621,1
"Ogt",0.000143395850918886,-6.66548094463519,0,0.453,1
"Tmpo",0.0002819989571167,1.97464129494602,0.35,0.104,1
"Ran",0.000316955240465609,0.828380102789403,0.8,0.545,1
"Dlx5",0.000363536794368539,-6.58581999137871,0,0.415,1
"Ssbp1",0.000436600373966685,1.58864573407304,0.45,0.168,1
"Dnajc9",0.000501576639490521,1.56369721395056,0.45,0.175,1
"Actg1",0.000610385126799309,-0.330800543332223,0.9,0.972,1
"Hdac1",0.000641739086610141,2.19777225789349,0.25,0.063,1
"Dlx1",0.000670903025605047,-6.50446416545907,0,0.389,1
"Dlx2",0.000721190219390142,-3.02593699061842,0.05,0.463,1
"Anp32e",0.00101989070454162,1.84441542347189,0.35,0.129,1
"Mkrn1",0.00120575849312208,-6.31359061157751,0,0.362,1
"Nfia",0.00164049554314073,1.93185420982603,0.25,0.066,1
"Pole3",0.00168367579957562,1.76093456569815,0.3,0.097,1
"Nelfe",0.00178604744726283,1.97819168738843,0.25,0.068,1
"H1f0",0.00344961063955999,0.978027651786376,0.6,0.379,1
"Actb",0.00482566431658538,-0.259250275862669,0.9,0.982,1
"Actl6b",0.00533797457342054,-5.97416076515193,0,0.29,1
"Auts2",0.00568872358597707,-6.02342321084283,0,0.287,1
"Chd3",0.00583697108025846,-1.91319592106805,0.1,0.458,1
"Dek",0.00869428555262501,1.34095258369018,0.4,0.186,1
"Smarca5",0.0111726067432387,1.62022520404516,0.25,0.087,1
"Jun",0.011345488196668,1.19746277458757,0.4,0.199,1
"Sox2",0.0129439145086947,1.41361898751574,0.3,0.124,1
"Park7",0.01665908814501,0.548733911579346,0.7,0.539,1
"BC004004",0.0272646761566185,1.48831847167398,0.25,0.105,1
"Swi5",0.0275362168925751,0.727989489871889,0.55,0.384,1
"Nap1l1",0.027940927114908,0.958401901224446,0.45,0.277,1
"Anp32b",0.029145433724976,1.35837332279422,0.3,0.148,1
"Banf1",0.0302457711606761,0.888698679067589,0.45,0.287,1
"Smarcd1",0.0324495990601756,-1.3313016508063,0.15,0.432,1
"Tcf12",0.0337521807511811,-2.36957978082375,0.05,0.267,1
"Morf4l2",0.0338090305443891,0.55439050934134,0.75,0.535,1
"Ddx5",0.0354494246812696,-0.834075445359207,0.35,0.631,1
"Apex1",0.0363580685799017,-2.3264681281278,0.05,0.26,1
"Bcl11a",0.0413724007873249,-1.39201418592357,0.15,0.387,1
"Hmgn1",0.0436699030727225,0.337315316707154,0.85,0.763,1
"Bud31",0.04461282215768,-1.94413587378267,0.05,0.264,1
"Kmt2e",0.0456764380218608,-1.60160071424803,0.1,0.326,1
"Yeats4",0.0460827261448431,0.866359464607364,0.4,0.227,1
"Arx",0.0490239601082442,-1.29780726129105,0.15,0.395,1
