"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Klf2",0.000272414678921013,-7.53379954051971,0,0.667,1
"Myd88",0.000272414678921013,-7.26425270949457,0,0.667,1
"Plac8",0.000272414678921013,-8.04303129557702,0,0.667,1
"Smarcc2",0.000272414678921013,-7.26425270949457,0,0.667,1
"Max",0.00305624477013154,-4.10712492320622,0.05,0.667,1
"Hnrnpu",0.0050140847023976,-3.8819908836546,0.05,0.667,1
"Srsf2",0.00804366259151903,-3.34942994121462,0.05,0.667,1
"Ankrd17",0.0141713882540123,-6.19105722356804,0,0.333,1
"Brcc3",0.0141713882540123,-6.44847204083844,0,0.333,1
"Carm1",0.0141713882540123,-6.19105722356804,0,0.333,1
"Ifi204",0.0141713882540123,-6.19105722356804,0,0.333,1
"Irf7",0.0141713882540123,-6.44847204083844,0,0.333,1
"Morc3",0.0141713882540123,-6.44847204083844,0,0.333,1
"Nelfa",0.0141713882540123,-6.19105722356804,0,0.333,1
"Nfkbiz",0.0141713882540123,-6.19105722356804,0,0.333,1
"Nr4a1",0.0141713882540123,-6.19105722356804,0,0.333,1
"Nupr1",0.0141713882540123,-6.89378208561745,0,0.333,1
"Padi4",0.0141713882540123,-6.44847204083844,0,0.333,1
"Per2",0.0141713882540123,-6.44847204083844,0,0.333,1
"Phf20l1",0.0141713882540123,-6.44847204083844,0,0.333,1
"Pphln1",0.0141713882540123,-6.19105722356804,0,0.333,1
"Prkcb",0.0141713882540123,-6.44847204083844,0,0.333,1
"Rest",0.0141713882540123,-6.44847204083844,0,0.333,1
"Rnf2",0.0141713882540123,-6.44847204083844,0,0.333,1
"Satb2",0.0141713882540123,-6.44847204083844,0,0.333,1
"Sirt3",0.0141713882540123,-6.44847204083844,0,0.333,1
"Spi1",0.0141713882540123,-6.56398875094514,0,0.333,1
"Tet2",0.0141713882540123,-6.19105722356804,0,0.333,1
"Usp7",0.0141713882540123,-6.19105722356804,0,0.333,1
"Wapl",0.0141713882540123,-6.44847204083844,0,0.333,1
"Zeb2",0.0141713882540123,-6.56398875094514,0,0.333,1
"Hmgn1",0.0213256295373464,5.22891026760952,0.85,0,1
"Gpx1",0.0228495703467458,-2.89402107462719,0.15,0.667,1
