"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meg3",6.86858680461302e-66,3.10754123104358,0.773,0.122,1.35393583092532e-61
"Id2",3.8844916785085e-58,-2.28961374332412,0.163,0.698,7.65710999667595e-54
"Zbtb18",7.46160401507294e-51,-3.61079541006011,0.038,0.447,1.47083138345118e-46
"Nfix",1.37682484304842e-46,-1.88104921036658,0.201,0.71,2.71399713061705e-42
"Neurod1",3.29921022340985e-45,-7.62882245704561,0.002,0.305,6.5034031923855e-41
"Mef2c",6.39555762677289e-41,2.93971401937047,0.582,0.103,1.26069231938947e-36
"Dlx2",2.02913236499772e-38,7.12089225188928,0.463,0.004,3.9998257178835e-34
"Ybx1",1.31886110056166e-35,0.800053875371939,0.86,0.615,2.59973900142715e-31
"Enc1",6.12983999285251e-35,-3.30185778081969,0.033,0.336,1.20831405939109e-30
"Mllt3",8.10001362838891e-34,-2.09330967918416,0.125,0.5,1.59667468642802e-29
"Dlx5",1.01953303380776e-32,5.8825156970536,0.415,0.008,2.00970351624186e-28
"Arx",5.0203535339812e-31,6.13561814012178,0.395,0.004,9.89612088618375e-27
"Dlx1",8.88468988825827e-31,6.90422783945403,0.389,0.004,1.75135007077347e-26
"Xist",2.9202033128927e-21,0.313390212154211,0.951,0.897,5.75630477037409e-17
"Thra",3.39227029094612e-20,1.06550363813828,0.621,0.347,6.68684319751299e-16
"Nfia",8.89281020442493e-19,-2.2189658781874,0.066,0.286,1.75295074749624e-14
"Zeb2",4.3644764153279e-14,1.11496592109986,0.504,0.26,8.60325590989436e-10
"Ccnd2",1.28124806958883e-08,-1.0169037070236,0.096,0.256,0.000252559619477349
"Hmgn3",7.55622228451938e-08,-1.19041671821228,0.115,0.267,0.00148948253672446
"Basp1",3.03921376365559e-07,-0.631743665718059,0.372,0.595,0.00599089817091791
"H1f0",1.23060394278753e-06,-0.589080609618927,0.379,0.584,0.0242576649202279
"Auts2",1.69833110991538e-06,-0.681639472171385,0.287,0.458,0.0334775028386521
"Cfdp1",2.20707604731215e-06,1.01962694603993,0.315,0.16,0.043505883044617
"Smarcd1",4.65218394769142e-05,0.572981368906831,0.432,0.309,0.917038499768932
"Rbmx",8.30033292487488e-05,0.842710509572487,0.275,0.156,1
"Pbrm1",0.00013291118941751,-0.708079346631907,0.185,0.309,1
"Maged1",0.000293807280838342,0.414612966845168,0.532,0.424,1
"Gsk3b",0.000649837407383032,-0.416126682233367,0.402,0.538,1
"Smarca2",0.00159137311170095,-0.503133741384786,0.27,0.385,1
"Morf4l2",0.00160275981803199,0.305305134589933,0.535,0.473,1
"Hmgn2",0.0016340138950311,0.427274311904966,0.423,0.344,1
"Cdk4",0.00304830445008436,-0.262146167784735,0.611,0.718,1
"Ube2b",0.00342710311988056,-0.424526724555637,0.336,0.45,1
"Nedd4",0.00377976606544147,0.564856821165078,0.287,0.206,1
"Nap1l1",0.00458128899379906,-0.452290664716245,0.277,0.389,1
"Chd4",0.00570625027810051,-0.546428341554573,0.178,0.267,1
"Brd3",0.00618904801195461,-0.447616867689684,0.273,0.378,1
"Mcrs1",0.00619891454349176,-0.581402627999093,0.185,0.267,1
"Huwe1",0.00821653478648102,0.499446202412862,0.293,0.221,1
"Eny2",0.00865366830140813,-0.528091730133798,0.176,0.256,1
"Cbx3",0.0098176877212961,-0.425161173462421,0.32,0.424,1
"Tdg",0.0148670497325489,-0.512378771570949,0.201,0.275,1
"Actl6b",0.0166922786641085,0.435058048327153,0.29,0.221,1
"Banf1",0.0226786540490026,0.429569191290637,0.287,0.218,1
"Rbbp4",0.0304654224201435,-0.382784718407282,0.247,0.336,1
"Prdx1",0.0381911653465804,0.363164157406166,0.297,0.244,1
"Ppp3ca",0.0424911138573654,0.401343043153304,0.267,0.218,1
