"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Klf2",7.1041712447428e-40,11.2452944471698,0.667,0,1.4003742357637e-35
"Myd88",7.1041712447428e-40,10.9757476161447,0.667,0,1.4003742357637e-35
"Plac8",7.1041712447428e-40,11.7545262022271,0.667,0,1.4003742357637e-35
"Ifi204",1.28360951047851e-20,9.90255213021813,0.333,0,2.53025106705525e-16
"Irf7",1.28360951047851e-20,10.1599669474885,0.333,0,2.53025106705525e-16
"Nfe2l2",1.28360951047851e-20,9.90255213021813,0.333,0,2.53025106705525e-16
"Nfkbiz",1.28360951047851e-20,9.90255213021813,0.333,0,2.53025106705525e-16
"Nupr1",1.28360951047851e-20,10.6052769922675,0.333,0,2.53025106705525e-16
"Padi4",1.28360951047851e-20,10.1599669474885,0.333,0,2.53025106705525e-16
"Rest",1.28360951047851e-20,10.1599669474885,0.333,0,2.53025106705525e-16
"Spi1",1.28360951047851e-20,10.2754836575952,0.333,0,2.53025106705525e-16
"Per2",5.95865512985264e-11,6.85310461645471,0.333,0.004,1.17457009919655e-06
"Prkcb",5.95865512985264e-11,6.83847612573999,0.333,0.004,1.17457009919655e-06
"Cdk2",4.79252112728082e-06,5.17557956597253,0.333,0.011,0.0944701764609595
"Nr4a1",4.79252112728082e-06,5.01106906741648,0.333,0.011,0.0944701764609595
"Creb3l2",4.77368542408373e-05,4.86623963340158,0.333,0.015,0.940988870795385
"Cks2",5.47667558395815e-05,4.61624514222121,0.333,0.015,1
"Tet2",0.000224436643596709,4.38126363536062,0.333,0.019,1
"Pphln1",0.000282334517387295,4.26956554440379,0.333,0.019,1
"Max",0.00102155710142701,3.08891654507007,0.667,0.107,1
"Ttf1",0.00174232666049819,4.25624124940991,0.333,0.027,1
"Mier1",0.00225594847178412,3.61167665531098,0.333,0.027,1
"Carm1",0.00391279909284946,3.58712028830419,0.333,0.031,1
"Taf6l",0.00530050324859569,3.51295953328437,0.333,0.034,1
"Srsf2",0.00546074243088464,2.56701693237662,0.667,0.141,1
"Wapl",0.0056882267015771,3.56144938826131,0.333,0.034,1
"Morc3",0.00610134998854144,3.54276575966232,0.333,0.034,1
"Setd1a",0.00610134998854144,3.3747262559334,0.333,0.034,1
"Mis18a",0.00700958876466815,3.33321040074845,0.333,0.034,1
"Exosc5",0.00825177089311039,3.88763337008443,0.333,0.038,1
"Prmt6",0.00825177089311039,3.9813508371371,0.333,0.038,1
"Sirt3",0.00880152045788945,3.49728509310714,0.333,0.038,1
"Taf1",0.0106522913996265,3.15164592491363,0.333,0.038,1
"Smarcc2",0.0110029317366601,2.18363227059357,0.667,0.16,1
"Gpx1",0.0112345342986244,2.9014399987376,0.667,0.198,1
"Tcf4",0.0115893601050594,-5.12091682468578,0,0.847,1
"Hmgn1",0.0127226105481951,-5.00357858950463,0,0.836,1
"Aldoa",0.0162380210479462,2.68319893490799,0.667,0.221,1
"E2f4",0.0164511213011662,3.28816777467273,0.333,0.046,1
"Hmgxb4",0.0164511213011662,3.59213356002306,0.333,0.046,1
"Sirt2",0.0171626126342662,2.04956620198564,0.667,0.179,1
"Xist",0.0185785390124098,-1.8303972161734,0.333,0.897,1
"Ppp4c",0.0229873906850418,2.10172037851545,0.667,0.233,1
"Hnrnpu",0.0274104925754855,2.08184533654546,0.667,0.218,1
"Nufip1",0.0288921673077242,3.39610579678688,0.333,0.053,1
"Nfix",0.0324824743221299,-4.79133792080039,0,0.71,1
"Nelfa",0.0407328675929475,2.71682854178577,0.333,0.057,1
"Ppm1d",0.0447700521399807,2.83707769044022,0.333,0.061,1
"Prdx1",0.0454456745321273,2.0871102507868,0.667,0.244,1
