"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox10",4.00859434572021e-50,11.3750468274653,0.364,0,7.90174117428368e-46
"Zeb1",2.01396601165745e-12,3.80343368236013,0.455,0.033,3.96992980217917e-08
"Ccnd2",2.89129705823815e-10,2.47357585458501,0.727,0.096,5.69932476119904e-06
"Hmgn3",3.78794530425129e-08,2.73636370711376,0.636,0.115,0.000746679778374015
"Sox9",6.8594237657871e-08,3.83986198597724,0.273,0.02,0.00135212961271195
"Ptma",3.2195470592864e-07,-0.508828938167612,1,0.998,0.00634637116326536
"Gatad1",1.24020380529237e-06,3.52358075636243,0.273,0.025,0.0244468974099233
"H3f3b",2.08016256967337e-06,-0.447973507668407,1,0.998,0.0410041645734015
"Hes5",2.89622086089725e-06,3.39247462333361,0.273,0.026,0.0570903056100065
"Map3k7",6.05623763255412e-06,3.21362253667614,0.273,0.028,0.119380556212907
"Trim28",2.5584402243445e-05,2.2489259735541,0.545,0.125,0.504319737022787
"Prdx1",4.89684924699625e-05,1.55292282534882,0.818,0.297,0.9652669235679
"Tcf4",0.000139997631047503,-2.30355839490218,0.182,0.794,1
"Tipin",0.000180815382606469,2.58032627253202,0.364,0.071,1
"Hmg20a",0.00021982186807226,2.72746311812471,0.273,0.04,1
"Nap1l5",0.000399599568778421,2.01941935066246,0.545,0.178,1
"Mef2c",0.00056898016540733,-6.46418788146319,0,0.582,1
"Meg3",0.000580863792379494,-1.62912010993108,0.364,0.773,1
"Skil",0.000609911165060962,2.46690484835289,0.273,0.044,1
"Actg1",0.000851443073001984,-0.472808381136406,0.909,0.972,1
"Cdk2ap2",0.00108046716770917,2.64542924067851,0.273,0.051,1
"Anp32e",0.00111239304135379,1.89482773927219,0.455,0.129,1
"Xist",0.00167634469396043,-0.517456241124541,0.818,0.951,1
"Dlx2",0.00402652345977763,-5.90859947522768,0,0.463,1
"Gpx1",0.00544694063446644,1.44043746125153,0.545,0.214,1
"Nfia",0.0063843495756799,2.21617565109992,0.273,0.066,1
"Dlx5",0.00799471962931206,-5.72332351512865,0,0.415,1
"Dlx1",0.011417088140977,-5.641967689209,0,0.389,1
"Bcl11a",0.0116684515518417,-5.57161904935548,0,0.387,1
"Zeb2",0.0121351970671444,-2.38910362760611,0.091,0.504,1
"Ogt",0.0171300308278687,-2.4210800912996,0.091,0.453,1
"Smarcb1",0.0174639654035544,-5.42660486937306,0,0.356,1
"Emc10",0.0175369752813394,1.21585674106664,0.545,0.252,1
"Taf6",0.0200928960515688,1.89589820026304,0.273,0.079,1
"Hnrnpu",0.0228275748329799,1.2436821271095,0.455,0.213,1
"Chd3",0.0253607797669178,-2.1936071795769,0.091,0.458,1
"Thra",0.0265509869482756,-1.24449538834219,0.273,0.621,1
"Ctcf",0.0316527309961096,1.72685426514115,0.273,0.089,1
"Arx",0.0373893651251716,-2.23685752166545,0.091,0.395,1
"Actl6b",0.0384351878886818,-5.11166428890186,0,0.29,1
"Auts2",0.0399036974614397,-5.16092673459276,0,0.287,1
"Nap1l4",0.0437924526955824,-5.04602033508887,0,0.278,1
"Brd3",0.0462820814126429,-5.00319965330384,0,0.273,1
"Gpx4",0.0478673487105233,0.658881651260717,0.727,0.539,1
"Smarca2",0.0480101302783398,-5.02989078433496,0,0.27,1
