"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox10",1.06773196292884e-22,10.1629171227471,0.364,0,2.10471324532532e-18
"Nap1l5",2.07622036347512e-18,5.1615323688346,0.545,0.019,4.09264558048215e-14
"Sox2",1.09378079898175e-10,5.54743969973103,0.273,0.008,2.15606071095282e-06
"Skil",1.05111501073117e-07,4.23758156412199,0.273,0.015,0.00207195790915328
"Zeb1",7.80177988491434e-07,3.03872190031153,0.455,0.057,0.0153788685091432
"Hmg20a",1.2346715954808e-06,3.79307786931515,0.273,0.019,0.0243378464901175
"H3f3b",1.61234999457778e-06,-0.466015837374369,1,1,0.0317826430931171
"Prdx1",1.78310405689892e-06,1.91608698275498,0.818,0.244,0.0351485471695916
"Ptma",1.84689039618076e-06,-0.456922920575891,1,0.996,0.0364059034895152
"Trim28",5.19505941619442e-06,2.5824754238311,0.545,0.111,0.102405011212024
"Hes5",1.85063536172184e-05,3.44949211951261,0.273,0.027,0.364797242502609
"Gatad1",5.50040735002928e-05,3.10731998551861,0.273,0.031,1
"Tcf4",5.60636451126119e-05,-2.37444384255857,0.182,0.847,1
"Sox9",7.00638991202867e-05,3.17673858071589,0.273,0.031,1
"Ybx1",0.000145398456504871,0.91490123544698,1,0.615,1
"Id2",0.000256064955176578,-3.14663452147036,0.091,0.698,1
"Actg1",0.000350626062526738,-0.509847468099179,0.909,0.981,1
"Nfix",0.000433145664053769,-2.85198907035292,0.091,0.71,1
"Ccnd2",0.000791501088686626,1.45667214756141,0.727,0.256,1
"Map3k7",0.000833290721535636,2.59271100116941,0.273,0.046,1
"Hmgn3",0.00121957138686907,1.54594698890148,0.636,0.267,1
"Gpx1",0.00164622688149251,1.64112088733207,0.545,0.198,1
"Tipin",0.00260972097213828,2.21712837560198,0.364,0.095,1
"Anp32e",0.003393694520409,1.75960431083098,0.455,0.145,1
"Auts2",0.00462269060217513,-5.84256620676415,0,0.458,1
"Zbtb18",0.00544896289587951,-5.74888047188159,0,0.447,1
"Bcl11a",0.00575216362172564,-5.7996926738031,0,0.443,1
"H1f0",0.00611710034850295,-2.38261882763033,0.091,0.584,1
"Smarca2",0.0124768506016057,-5.53302452571975,0,0.385,1
"Brd3",0.013763222668822,-5.45081652099352,0,0.378,1
"Ddx5",0.0201131324219609,-1.09170206418267,0.364,0.733,1
"Meg3",0.0212314488463285,1.4784211211125,0.364,0.122,1
"Hnrnpu",0.0221769938758802,1.28579817610505,0.455,0.218,1
"Mllt3",0.0243032625563503,-2.03077137033252,0.091,0.5,1
"Chd3",0.024353085139399,-2.16894667708878,0.091,0.466,1
"Taf6",0.0244419385329314,1.82291799660627,0.273,0.08,1
"Anp32b",0.0252515334460942,1.72862203699982,0.273,0.076,1
"Cbx1",0.0283020830578871,-2.26335903701759,0.091,0.447,1
"Emc10",0.0296736763463859,1.06806451842073,0.545,0.305,1
"Smarcb1",0.0303330582812098,-5.20245633482996,0,0.313,1
"Csnk2b",0.0312610243617346,1.27137108690963,0.455,0.198,1
"Neurod1",0.0331288618624111,-5.28249048483677,0,0.305,1
"Nap1l4",0.0346097773994124,-5.1679156653013,0,0.302,1
"Ogt",0.0347541388743709,-2.25390058545733,0.091,0.416,1
"Cdk2ap2",0.0374523911235545,1.76958309338861,0.273,0.092,1
"Gpx4",0.0397691694833879,0.667833876987855,0.727,0.534,1
"Hmgn2",0.041463327853169,0.91740364604545,0.636,0.344,1
"Jun",0.0493296223331232,1.63233356398255,0.273,0.095,1
