"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hes5",5.09386510475341e-12,3.9962491235617,0.55,0.038,1.00410268944899e-07
"Sox9",6.18613428623215e-12,9.22655537416626,0.35,0,1.21941079050208e-07
"Ccnd2",9.0528670931712e-08,2.87464454517765,0.55,0.108,0.00178450116140591
"H3f3b",8.51289789370195e-07,-0.603750928435746,0.9,1,0.0167806243280653
"Bcl11a",4.88683321418167e-06,-7.31323777542252,0,0.6,0.0963292563179491
"Prdx1",2.10657117778711e-05,1.67944917056663,0.65,0.269,0.415247310565395
"Tipin",2.37521558759689e-05,3.10176039844411,0.3,0.038,0.468202496627099
"Anp32b",3.49302249794858e-05,2.39945297793017,0.4,0.077,0.688544594795623
"Aldoa",4.0773679202474e-05,1.50628828602765,0.7,0.262,0.803730764439168
"Hdgf",0.000444918069207753,1.79682874565021,0.45,0.131,1
"Jun",0.000980137413486437,1.85773097932008,0.4,0.123,1
"Bhlhe22",0.00136643549267549,-6.53425575223814,0,0.369,1
"Hmgb2",0.00260883459474075,1.88207084587589,0.35,0.108,1
"Tcf4",0.00435429275811148,-0.963910385733902,0.4,0.7,1
"Ubtf",0.00515009317130459,1.88927918398233,0.3,0.085,1
"Chd3",0.00623005906631334,-3.0496755358693,0.05,0.346,1
"Mllt3",0.0069362267883801,-5.9844206018203,0,0.285,1
"Hmgn1",0.00879237157082276,0.576446385293984,0.8,0.638,1
"Nedd4",0.00912113146093377,1.66434605748575,0.35,0.131,1
"Enc1",0.0114726196684939,-2.96737280213112,0.05,0.315,1
"Smarce1",0.0158616316183568,-1.92130994645863,0.1,0.385,1
"Zbtb18",0.0232565317302259,-1.4660576075882,0.15,0.423,1
"Maz",0.0241289093958432,1.73596403023598,0.25,0.092,1
"Hmgn2",0.0254733721170133,0.892589617000259,0.6,0.408,1
"Id2",0.0255222828653008,-1.07057076118267,0.3,0.508,1
"Cbx5",0.0255677597440887,1.53705169909011,0.3,0.123,1
"Basp1",0.0277236631708227,-1.30336124527589,0.2,0.477,1
"Ssbp1",0.0292646490417267,1.32389737625663,0.35,0.162,1
"Gsk3b",0.0302417862483699,-1.2241858383339,0.2,0.469,1
"Lhx2",0.0317380804900299,-1.91045679062226,0.1,0.323,1
"Fos",0.0317772976143233,1.58621704109908,0.3,0.131,1
"H3f3a",0.0319310424895735,-0.494208251095183,0.65,0.892,1
"Zeb2",0.0319971514579292,-2.64739865623882,0.05,0.262,1
"Mkrn1",0.0358115858266512,-1.55743778759095,0.1,0.369,1
"Maged1",0.041368650353747,-0.95843946132738,0.25,0.469,1
"Morf4l1",0.043770252223614,-0.84035170336811,0.35,0.569,1
"Tpr",0.0457933010003721,1.3416992843852,0.3,0.131,1
