"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fmr1",0.0171791938465668,-5.8629477089674,0,0.267,1
"Ikzf5",0.0171791938465668,-6.09202385238952,0,0.267,1
"Sox10",0.0171791938465668,-5.97454759450089,0,0.267,1
"Srsf2",0.0227780294247156,-1.41004947365776,0.25,0.6,1
"Cbx3",0.0249093750793517,-1.11654436696329,0.35,0.8,1
"Fbl",0.0313736962935031,-2.22312267048029,0.1,0.4,1
"Aldoa",0.0321269189964664,1.3204594109409,0.7,0.267,1
"Dnajc2",0.0427278432495542,5.52669853770111,0.25,0,1
"Hes5",0.0440445230937382,1.48575111774908,0.55,0.2,1
"Ccnd2",0.0459974799648975,1.43507537971896,0.55,0.267,1
