"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox10",1.8056276462475e-30,-6.62489362509024,0.003,0.267,3.55925321628307e-26
"Sox9",7.12958852841056e-22,-5.38616100851085,0.011,0.333,1.40538449072029e-17
"Mef2c",3.63870286863027e-06,7.27470440450385,0.685,0,0.0717261109464398
"Ikzf5",4.32944380965257e-05,-2.78947254111407,0.043,0.267,0.853419963758714
"Cdk2ap1",6.87512870883482e-05,-2.15634508531286,0.099,0.4,1
"H3f3b",7.14347518896535e-05,0.364636533243879,0.992,0.933,1
"Nfia",0.000265452814852997,-2.39160443160671,0.08,0.333,1
"Tcf4",0.000294554597483647,1.9095668787874,0.721,0.2,1
"Fmr1",0.000544120853084982,-2.23577829268812,0.055,0.267,1
"Dlx2",0.00147446054925829,3.00399439736083,0.504,0.067,1
"Ssbp1",0.00265249030650001,-1.68004502918987,0.137,0.4,1
"Set",0.00279370722610097,1.24609844289532,0.689,0.333,1
"Hmgn3",0.00298682366792677,-1.67088175390711,0.151,0.4,1
"Ptma",0.00329364490007314,0.428745542794381,0.991,0.867,1
"Cbx3",0.00349592639417765,-0.812223610175707,0.513,0.8,1
"Hdac2",0.00369810370198621,2.89641533392133,0.447,0.067,1
"Arx",0.00480957858288913,6.04215997774927,0.364,0,1
"Mkrn1",0.00779674910128613,5.85059610130461,0.335,0,1
"Ccnd2",0.00787736018573877,-1.50334687645937,0.072,0.267,1
"Ybx1",0.0091557466448635,0.581250390437954,0.973,0.667,1
"Dlx1",0.0109268339273426,5.78855424537956,0.313,0,1
"Bcl11b",0.0170747495182576,5.65831877107089,0.284,0,1
"Bcl11a",0.0174166661714757,5.61092262584056,0.283,0,1
"Actb",0.0289542664980269,-0.25234575525521,0.928,0.867,1
"Jun",0.031498736620237,-1.19454939100971,0.209,0.4,1
"Zeb2",0.0341156307752432,2.23642249919878,0.335,0.067,1
"Prdx1",0.0346934249141216,-1.07430928779887,0.281,0.467,1
"Meg3",0.0366630076595972,1.06417617256794,0.536,0.333,1
"Thra",0.0374432038535651,1.32128772330212,0.483,0.2,1
"Chd3",0.040277920021271,1.70096187305506,0.375,0.133,1
"Hmgb1",0.0463096956541258,0.412398872172894,0.896,0.733,1
