"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Srsf2",0.00184486753899316,3.33523997194742,0.6,0.067,1
"Gpx1",0.00191443591629407,-2.09812149947475,0.267,0.733,1
"Trmt112",0.0035408531292876,-3.17049970857337,0.067,0.6,1
"Mef2c",0.00362535475873415,-6.72128944827836,0,0.467,1
"Cdk2ap1",0.00825761248378455,6.17505184817486,0.4,0,1
"Hmgn3",0.00825761248378455,6.34353398739087,0.4,0,1
"Maged1",0.00825761248378455,6.3224337795374,0.4,0,1
"Hmgn1",0.0107594732027156,1.26439083178093,0.8,0.4,1
"Cbx3",0.0173277046735437,1.30555157474155,0.8,0.333,1
"Cdk2ap2",0.0180966134767002,-6.31276196131419,0,0.333,1
"Sox9",0.0180966134767002,6.11644471806972,0.333,0,1
"Prdx1",0.025818283888762,-1.04727749669845,0.467,0.733,1
"Bcl11a",0.0384143238141604,-5.91633330031624,0,0.267,1
"Cebpb",0.0384143238141604,-6.06873782721395,0,0.267,1
"Ikzf5",0.0384143238141604,5.67698635311068,0.267,0,1
"Kmt2e",0.0384143238141604,5.71780690071899,0.267,0,1
"Lmo2",0.0384143238141604,-5.70694284614325,0,0.267,1
"Nap1l5",0.0384143238141604,5.53554591602195,0.267,0,1
"Smarcd1",0.0384143238141604,5.61756536365734,0.267,0,1
"Sox10",0.0384143238141604,5.55951009522204,0.267,0,1
"Sox2",0.0384143238141604,5.60623034255394,0.267,0,1
"Spi1",0.0384143238141604,-5.74661300203841,0,0.267,1
"Tardbp",0.0384143238141604,5.56347717274888,0.267,0,1
"Vps72",0.0384143238141604,5.4890839406347,0.267,0,1
"Mbd3",0.0384619992699865,2.57776837117556,0.4,0.067,1
"Swi5",0.0437534579489872,-1.60994536901446,0.2,0.533,1
"Actg1",0.0485635696063432,-0.45923798678068,0.8,0.933,1
