"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meg3",3.82063662638569e-50,-1.19427903829151,0.536,0.89,7.53123891793148e-46
"Ccnd2",6.02834598688228e-43,-2.66365238967975,0.072,0.469,1.18830756093424e-38
"Hmgb1",3.0383816848376e-33,0.865144689491072,0.896,0.593,5.98925797715188e-29
"Mef2c",1.88625011166429e-27,1.48868744638381,0.685,0.292,3.71817622011265e-23
"Tsix",4.00977341730712e-18,4.61220096070838,0.305,0.01,7.9040653601958e-14
"Dlx1",8.92505323639757e-18,-1.08028645711501,0.313,0.608,1.75930649395869e-13
"Nfix",4.15034611601253e-17,-1.4226814384096,0.176,0.445,8.18116226388389e-13
"Set",4.20394794389987e-14,0.801561457312108,0.689,0.45,8.28682218701542e-10
"Hdgf",1.15923013881432e-07,1.38870233936011,0.293,0.105,0.00228507444963079
"H1f0",4.25669074003267e-07,-0.687207822789325,0.328,0.488,0.0083907887867524
"Plk2",3.2642832366021e-06,1.2314701868339,0.264,0.1,0.0643455511599005
"Dlx2",7.12091189173782e-06,-0.442004300209756,0.504,0.622,0.140367415209936
"Dlx5",7.9880218174798e-06,-0.736672796795495,0.245,0.388,0.157459886066162
"Sarnp",1.08487728095666e-05,0.726053544411767,0.449,0.278,0.213851009622177
"Bcl11b",2.35743253406289e-05,1.08091462547606,0.284,0.144,0.464697101114478
"Ctbp1",4.24068459085813e-05,-0.438306230381121,0.427,0.541,0.835923746549954
"Cbx3",4.50484683944425e-05,0.568336106556092,0.513,0.359,0.887995408991251
"Bcl11a",6.85299038885929e-05,-0.603219483047823,0.283,0.402,1
"Ppp3ca",0.000150009242110228,0.794657056021637,0.349,0.206,1
"Nudt21",0.000431339787947994,-0.654031251864454,0.191,0.301,1
"Chd3",0.0014864867482319,-0.406445961724113,0.375,0.474,1
"Fos",0.0015594395352411,0.707787507483418,0.271,0.158,1
"Prmt1",0.0017680899651685,0.295833775826696,0.724,0.608,1
"Smarcb1",0.00487275335437789,-0.568012669870947,0.212,0.297,1
"Nap1l4",0.00886134159078307,-0.491308122561805,0.223,0.301,1
"Ncor1",0.00927611350821251,0.591860258185899,0.265,0.172,1
"Gsk3b",0.00973208085512273,0.429839773604961,0.425,0.335,1
"Chmp2a",0.0113212073956695,-0.511436243646708,0.209,0.287,1
"Fbl",0.0114950447468976,0.525269253261159,0.283,0.187,1
"Smarcd1",0.0136799422676996,0.515016985514553,0.299,0.206,1
"Acin1",0.0159901533700508,-0.497845636208708,0.188,0.263,1
"Ube2b",0.0227270034247135,0.448972543211533,0.332,0.234,1
"Arx",0.0245189515494985,0.433487402115669,0.364,0.268,1
"Nono",0.0262518710668746,-0.362762864272265,0.281,0.354,1
"Sfr1",0.0297050117229353,-0.34713865058729,0.296,0.364,1
"Fus",0.0332632904213822,-0.377837981909489,0.28,0.344,1
"Kmt2e",0.0344473505059618,-0.363139108756481,0.244,0.306,1
"Top1",0.0471832785014407,0.335030932603507,0.388,0.297,1
