"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Set",5.92677368596507e-09,0.799070473626434,0.675,0.45,0.000116828562897743
"Meg3",3.19769688682007e-06,-0.362823519936248,0.745,0.89,0.0630330010329973
"H1f0",3.50853462973469e-06,-0.982039662278832,0.255,0.488,0.0691602346213302
"Mef2c",3.6911547464452e-06,1.04198807910726,0.478,0.292,0.0727600423619278
"Ddx5",3.95268003026602e-06,0.509520869827058,0.752,0.589,0.0779152287566038
"Actb",5.17769644740704e-06,0.274533027106615,0.949,0.933,0.102062752371288
"Ccnd2",1.12585903039911e-05,-0.9747400846953,0.242,0.469,0.221929332072272
"Hmgb1",1.97689150757547e-05,0.467018771158317,0.745,0.593,0.389684853973277
"Bcl11a",4.45926016103665e-05,-0.988542840112013,0.197,0.402,0.879009362943544
"Gsk3b",5.10083171259187e-05,0.773510323699574,0.535,0.335,1
"Hmgn1",5.25859053584664e-05,-0.412998152973595,0.611,0.756,1
"Jun",0.00014172839712685,1.21216468461073,0.299,0.144,1
"Hmgn2",0.000598947691602931,-0.504653613423582,0.471,0.656,1
"Cbx3",0.00079651253047594,0.60696721371245,0.516,0.359,1
"Park7",0.00125022396978922,-0.538525530224408,0.395,0.593,1
"Fos",0.00137291552862072,0.955000715169726,0.293,0.158,1
"Cdk4",0.002012675723469,-0.575585961916703,0.35,0.526,1
"Sumo1",0.00352254488692986,-0.380074365325058,0.49,0.612,1
"Srsf2",0.00430019419779085,0.54680811491895,0.497,0.354,1
"Dlx2",0.0105478217540422,-0.394818869176273,0.484,0.622,1
"Ctbp1",0.0113540322033814,-0.420023207002458,0.401,0.541,1
"Apex1",0.0152747882536726,-0.634772003518625,0.191,0.321,1
"Ube2b",0.0210575350988489,0.574745277985899,0.357,0.234,1
"Sfr1",0.0224006769190168,-0.523459151604319,0.236,0.364,1
"Nedd4",0.0300182478870371,0.666378703711126,0.261,0.163,1
"Ogt",0.0333584355833932,0.649462446388593,0.287,0.196,1
"Thra",0.0394532351544175,0.394202684374554,0.516,0.411,1
"Sfpq",0.04089706949869,0.500031084439586,0.363,0.273,1
"Chd3",0.0495258615697263,-0.368136281136916,0.357,0.474,1
