"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3f3a",1.17265934809158e-49,1.01152711240264,0.929,0.587,2.31154610695813e-45
"Ptma",1.41287630516511e-25,0.39372717139794,0.946,0.856,2.78506177274147e-21
"Gnas",1.8450681385129e-21,-1.26431781209852,0.274,0.582,3.63699831463663e-17
"Mef2c",1.75612782783111e-16,-0.62603911593402,0.602,0.851,3.46167917422068e-12
"Plk2",7.03443010847141e-15,-1.53367500438256,0.138,0.361,1.38662686298188e-10
"Meg3",3.91371261937395e-11,-0.758350678636709,0.37,0.625,7.71471031530993e-07
"Aldoa",3.12263576244019e-10,-1.03090014426043,0.213,0.413,6.1553396149221e-06
"Gsk3b",1.28985360728451e-08,-0.838238893281178,0.282,0.471,0.000254255943067922
"Morf4l1",1.78634808249457e-06,-0.489541588180542,0.478,0.625,0.035212493402133
"Ppp3ca",2.26709617037588e-06,-0.956302954874576,0.165,0.303,0.0446889997104493
"Ran",2.27251897291535e-06,0.675362492562799,0.513,0.327,0.0447958939941074
"Apbb1",4.82038831003087e-06,-0.920619623388322,0.175,0.308,0.0950194943673285
"Npm1",7.95301282171916e-06,0.661407591255384,0.489,0.322,0.156769788741728
"Hmgn1",1.08593866358418e-05,0.900338813106839,0.344,0.188,0.214060229365713
"Nono",2.97036814497658e-05,1.04556724334796,0.279,0.144,0.585518968737783
"Cdk4",4.58129990868548e-05,0.858271861606467,0.331,0.197,0.903065838000082
"Id2",0.000133624212168577,0.682149041575975,0.389,0.25,1
"Nap1l1",0.000303755578921972,0.901290412917977,0.258,0.139,1
"Banf1",0.000307296437141455,0.791858027035111,0.306,0.183,1
"Ddx5",0.00984980530345845,0.332322059124193,0.487,0.413,1
"Psip1",0.010664018794566,-0.40012652393105,0.301,0.385,1
"Mkrn1",0.0116389450756385,-0.464663672317746,0.213,0.293,1
"Sfr1",0.0129776903140799,-0.463524079756175,0.211,0.298,1
"Park7",0.0287979267148084,-0.270993324271219,0.431,0.524,1
"Vcp",0.0349128971406297,-0.422439885838225,0.21,0.274,1
"Fus",0.0381103322999684,0.450071035926182,0.264,0.197,1
"Hdac2",0.0391152379907095,0.405752006113795,0.306,0.24,1
