"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Actb",9.04814889076129e-21,-0.39042102213934,0.918,0.966,1.78357110934687e-16
"Ptma",2.55047462709573e-13,0.32262124203105,0.956,0.856,5.0274955849311e-09
"H3f3a",4.20570936381319e-13,0.607066668438265,0.82,0.587,8.29029429794855e-09
"Aldoa",1.2786215844157e-12,-1.29039011037337,0.193,0.413,2.52041886720024e-08
"Meg3",2.13201440331373e-12,-0.832265351277332,0.319,0.625,4.20262679181202e-08
"Hmgb1",1.53494089939913e-09,0.484712001262562,0.799,0.62,3.02567550089557e-05
"Basp1",9.60615530708045e-09,1.24117818209306,0.387,0.168,0.00018935653341317
"Set",1.77659961831889e-08,0.947739337470158,0.49,0.26,0.000350203316763019
"Plk2",2.7303092303087e-08,-1.11376398244627,0.191,0.361,0.000538198555478451
"Mef2c",3.14535213974254e-07,-0.32594001372591,0.727,0.851,0.00620011813786049
"Ddx5",4.60717847596186e-06,0.57575028672089,0.6,0.413,0.0908167021181601
"Gsk3b",0.000275798914296926,-0.525945336766534,0.358,0.471,1
"Srsf2",0.000560739646363559,0.68349224285156,0.356,0.221,1
"Nfix",0.000662858076436465,0.515289836362718,0.467,0.337,1
"Park7",0.00102188517691944,-0.395282291405217,0.428,0.524,1
"Ndn",0.00242336334314609,-0.451284976801205,0.346,0.457,1
"Apbb1",0.00275132653249876,-0.625768525698605,0.219,0.308,1
"Hmgn1",0.00287490227321094,0.624799669879184,0.301,0.188,1
"Ppp3ca",0.00680623220462044,-0.54964238087317,0.222,0.303,1
"Hdac2",0.011337404686868,0.477441646373474,0.338,0.24,1
"Psip1",0.0168730762796846,-0.385855798368284,0.32,0.385,1
"Id2",0.0174040390619144,0.46809291409913,0.34,0.25,1
"Tonsl",0.0244835062904333,-0.473188411240172,0.232,0.298,1
"Sin3b",0.0263255669567423,0.498157587092052,0.258,0.178,1
"Vcp",0.0352871512378373,-0.472151607995234,0.219,0.274,1
"Cbx3",0.0444432289375576,-0.300023904598661,0.346,0.418,1
