"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Actb",0.00799140958650987,0.367673743663092,1,1,1
"Cfdp1",0.0103832967866716,-6.30648788682555,0,0.4,1
"Kansl2",0.0103832967866716,-6.21663024432097,0,0.4,1
"Rbpj",0.0103832967866716,-6.05700034827452,0,0.4,1
"Klf2",0.0250173406189087,-2.83193741635515,0.133,0.5,1
"Ankrd17",0.0306816416830907,-5.69423129164389,0,0.3,1
"Creb3",0.0306816416830907,-5.62681137922616,0,0.3,1
"Dmap1",0.0306816416830907,-5.94563258049314,0,0.3,1
"Egr2",0.0306816416830907,-5.58536214437829,0,0.3,1
"Fam111a",0.0306816416830907,-6.01199360400314,0,0.3,1
"Kcnq1ot1",0.0306816416830907,-5.59015033711358,0,0.3,1
"Actg1",0.0454169605946158,0.683694386824085,0.933,0.7,1
"Ptma",0.0454169605946158,0.697376971465492,0.933,0.7,1
