"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pou2f1",0.000103241771634273,-2.64370882135872,0.054,0.357,1
"Mbtd1",0.000803926199136378,-2.29128345466399,0.077,0.357,1
"Pih1d1",0.00126303044505063,-2.22385521696614,0.077,0.357,1
"Mta2",0.00160358213638369,-2.46383120797548,0.054,0.286,1
"Brd4",0.00177218848906907,-2.35688523267349,0.054,0.286,1
"Actg1",0.00336398168645928,0.589417241702419,0.9,0.714,1
"Zfp57",0.00582596609240896,-1.84687229143807,0.108,0.357,1
"Bhlhe22",0.00699906611507833,6.01968257940838,0.369,0,1
"Pink1",0.00708972788447202,-2.13798270759825,0.069,0.286,1
"Mcmbp",0.0078311786781768,-1.41484011654582,0.131,0.429,1
"Htatsf1",0.0091711443635561,-1.69967809025669,0.1,0.357,1
"Smarcd3",0.00921422691210134,-1.30885478971909,0.192,0.5,1
"Hdac1",0.0231875715323977,-1.69955919722431,0.085,0.286,1
"Tbr1",0.0256893313925468,-1.69920467933546,0.092,0.286,1
"Ssrp1",0.0380296374885052,-1.11688793628008,0.177,0.429,1
"Thra",0.0436416616709327,-0.786598526362962,0.354,0.643,1
