"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Actb",0.00085580564617763,0.668500349931192,0.947,0.857,1
"Cbx3",0.00534801198077461,1.55972565948292,0.789,0.286,1
"Set",0.00642899024342351,1.54228346851815,0.842,0.286,1
"Bhlhe22",0.00718085715429584,6.24772504600352,0.421,0,1
"Cdk2ap1",0.00869657777960659,-2.97296391417012,0.053,0.429,1
"Hdac1",0.0159967666044657,-5.82401639994683,0,0.286,1
"Pink1",0.0159967666044657,-5.9225246283771,0,0.286,1
"Hmgb1",0.017103327333077,0.619068092379504,0.842,0.643,1
"Brd3",0.0246311556777842,5.54678010067755,0.316,0,1
"Kdm5a",0.0246311556777842,5.58387450988527,0.316,0,1
"Mef2c",0.0258557622784667,2.66159115136256,0.421,0.071,1
"Lhx2",0.0275276391770335,-2.0919011274256,0.105,0.429,1
"Kdm6b",0.02835719490115,2.01421490240041,0.474,0.143,1
"Chmp2a",0.0324483866438902,-2.757240499027,0.053,0.357,1
"Pih1d1",0.0324483866438902,-2.77122545910617,0.053,0.357,1
"Zfp57",0.0324483866438902,-2.71940033398182,0.053,0.357,1
"Vps72",0.0351109847629034,-2.00129416332851,0.105,0.429,1
"Pou2f1",0.0370969889957239,-2.57769343794046,0.053,0.357,1
"Cbx5",0.0410847466959291,2.39151295630496,0.421,0.071,1
"Cfdp1",0.0440154703133656,5.3719025376435,0.263,0,1
"Nedd4",0.0444101285064333,2.32299820837486,0.368,0.071,1
"Tonsl",0.0463060542826681,-1.55838439569727,0.158,0.5,1
