"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cbx3",0.0121715013478897,1.38245091483833,0.8,0.429,1
"Atrx",0.0212320505276692,-2.5914920037174,0.067,0.571,1
"H3f3a",0.0236912781620652,0.699698163685216,0.867,0.714,1
"Hmgb1",0.0251588027854325,1.33626326871481,0.733,0.429,1
"Actb",0.0344027319445236,0.458711926353585,0.867,1,1
"Akirin1",0.0405322393897019,-5.83361294576308,0,0.286,1
"Brd2",0.0405322393897019,-5.58434969107611,0,0.286,1
"Brms1l",0.0405322393897019,-5.50951303547516,0,0.286,1
"Cdk2ap2",0.0405322393897019,-5.51535885143362,0,0.286,1
"Dnajc2",0.0405322393897019,-5.51535885143362,0,0.286,1
"Dpf2",0.0405322393897019,-5.48727984528832,0,0.286,1
"Gtf2b",0.0405322393897019,-5.66854774960165,0,0.286,1
"Sall1",0.0405322393897019,-5.50951303547516,0,0.286,1
"Shprh",0.0405322393897019,-5.45588447723144,0,0.286,1
"Tada3",0.0405322393897019,-5.48131890078747,0,0.286,1
"Tfpt",0.0405322393897019,-5.60661679823458,0,0.286,1
"Utp3",0.0405322393897019,-5.40135949271759,0,0.286,1
