"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hes5",5.02022823554128e-24,7.1504215307284,0.569,0.006,9.89587389789896e-20
"Meg3",1.76614055024888e-18,-3.98058191519364,0.077,0.745,3.4814162526506e-14
"Dlx1",3.72884436294794e-12,-8.81979238192148,0,0.51,7.35029800824297e-08
"Sox9",7.38058916152091e-11,4.98663031583847,0.292,0.013,1.454861735519e-06
"Hes1",7.88095322726461e-11,5.11477997709806,0.277,0.006,1.5534935001584e-06
"Dlx2",8.49793081871633e-11,-4.99761780094184,0.015,0.484,1.67511212298536e-06
"Hmgn3",8.39326426657517e-09,2.04574624286689,0.477,0.134,0.00016544802522273
"Lhx2",2.65264711614072e-08,3.72143192513834,0.262,0.025,0.000522889799533659
"H3f3b",1.22526409356375e-07,-0.307094789126925,0.923,0.981,0.00241524058123286
"Dlx5",1.22602639368636e-07,-8.09624666735561,0,0.338,0.00241674322723455
"Nfia",1.58803982322739e-07,1.88272969212568,0.462,0.159,0.00313034409954583
"Prdx1",2.93601984831106e-07,1.33287110831626,0.585,0.299,0.00578748232499077
"Ptma",2.99330165774755e-07,-0.395607655216897,0.846,0.968,0.00590039622775197
"Hmgb2",3.43648603664585e-06,2.05065183402772,0.323,0.083,0.0677400127543631
"Ybx1",6.73870773091951e-06,-0.576853821970376,0.677,0.93,0.132833406791885
"Fos",7.0298633039644e-06,1.21761721132688,0.554,0.293,0.138572665447746
"Mef2c",7.3788595099431e-06,-1.73652597780582,0.169,0.478,0.145452078659998
"Ccnd2",9.83660506896567e-06,1.25272524453932,0.538,0.242,0.193899159119451
"Basp1",1.32357970174412e-05,-2.33443075596201,0.062,0.363,0.2609040308078
"Ogt",2.26198491373077e-05,-3.26166137766621,0.031,0.287,0.44588246619461
"Chd3",2.51883367607021e-05,-2.30590084440319,0.077,0.357,0.496512494226961
"Mkrn1",7.6371245404021e-05,-1.86331933149476,0.092,0.369,1
"Aldoa",7.78490915980877e-05,1.45811400858391,0.4,0.191,1
"Thra",8.05074410337264e-05,-1.30857952329917,0.215,0.516,1
"Tdg",0.000173941943180791,-2.51736223945939,0.046,0.274,1
"Tcf4",0.00024293571307838,-0.781573949368058,0.415,0.745,1
"Zeb2",0.000379516671320962,-1.89464369914996,0.077,0.312,1
"Prmt1",0.000539128298730721,-0.922778360194357,0.292,0.599,1
"Psip1",0.000826171638744247,-1.06502498700888,0.215,0.49,1
"Ddx5",0.00150727544208042,-0.658398333171254,0.446,0.752,1
"Gsk3b",0.0019331836262714,-0.915413724338265,0.262,0.535,1
"Rtf1",0.0032716007649629,-1.33014685398576,0.108,0.312,1
"Set",0.00465991358965941,-0.687412518230392,0.4,0.675,1
"Smarce1",0.0104079786912069,-1.1512213954257,0.108,0.274,1
"Ube2b",0.0111190563312244,-0.970250120896478,0.169,0.357,1
"Park7",0.0193757250289794,0.561928342269415,0.508,0.395,1
"Cbx1",0.0200860882538382,-1.06591250967614,0.123,0.274,1
"Morf4l1",0.0233760064607869,-0.517115001194953,0.431,0.669,1
"Atrx",0.0270768399490066,-0.946924018390484,0.123,0.28,1
"Hdac2",0.0348654289564132,-0.665164757776711,0.215,0.42,1
"Sfpq",0.0495431799791252,-0.673683910671224,0.215,0.363,1
