"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spi1",4.18256515572946e-09,-9.02229632138018,0,0.5,8.24467243497392e-05
"Klf2",2.25562476415534e-06,-8.28022860689037,0,0.333,0.04446287535103
"Lmo2",2.25562476415534e-06,-7.984345919884,0,0.333,0.04446287535103
"Gpx1",5.426455544949e-05,-2.38278484625911,0.169,0.667,1
"Fbl",0.000551899950863447,-2.40026867409689,0.108,0.5,1
"Hes5",0.000794557450113523,6.86142106047186,0.569,0,1
"Cdk1",0.000950225476195253,-3.78852506634615,0.015,0.25,1
"Coprs",0.000950225476195253,-3.89706787843565,0.015,0.25,1
"Cdk2ap2",0.0014448293232694,-2.36986742646909,0.077,0.417,1
"Rbbp4",0.00221956846094372,-2.01866267002536,0.123,0.5,1
"Cbx3",0.0033149200114162,6.41111618306896,0.477,0,1
"Nfia",0.00413158567379005,6.42897548671124,0.462,0,1
"Cenpa",0.00468930245008689,-2.94720479972434,0.031,0.25,1
"Tcf4",0.00777992322288816,6.25036844581705,0.415,0,1
"Hdgf",0.00852766130177909,-2.50225885768167,0.077,0.333,1
"Ccnd2",0.00981517532266356,2.13703759702508,0.538,0.167,1
"Hmgn3",0.0107471582547639,2.85374672846555,0.477,0.083,1
"Glyr1",0.0162217892987392,-1.91197285817428,0.077,0.333,1
"Epc1",0.020808387625726,-2.08693871897465,0.046,0.25,1
"Maz",0.020808387625726,-2.19555836596371,0.046,0.25,1
"Sf3b5",0.025205124119759,-1.41527191500346,0.123,0.417,1
"Nedd4",0.0294940142248902,5.63185571638734,0.308,0,1
"Nfix",0.0294940142248902,5.61085108972326,0.308,0,1
"Mef2c",0.0301112661360518,-1.43900438952721,0.169,0.417,1
"Sox9",0.0351712871142088,5.67543312784912,0.292,0,1
"Fos",0.0388125346210663,1.37921475031161,0.554,0.25,1
"Hes1",0.0418107882931691,5.62689960669057,0.277,0,1
"Basp1",0.0426020302755328,-1.77061208555688,0.062,0.25,1
"Gsk3b",0.0495573396942434,5.42708407569657,0.262,0,1
"Lhx2",0.0495573396942434,5.48887179602857,0.262,0,1
