"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox10",5.56242303942271e-06,-8.13046039749327,0,0.308,0.1096464829531
"Nap1l5",5.59453693512388e-05,-3.70176879197726,0.031,0.385,1
"Atg7",0.000102670304602538,-4.45331545003211,0.015,0.308,1
"Cdk2ap1",0.000892269185579013,-2.92812699308341,0.031,0.308,1
"Smarcd1",0.0010968555432076,-2.87424579629494,0.031,0.308,1
"Basp1",0.00130785983210926,-2.4252223061688,0.062,0.385,1
"Tdg",0.00245585132211223,-2.96306111872623,0.046,0.308,1
"Npm3",0.00349403135229782,-2.55612203204856,0.046,0.308,1
"Wbp2",0.00368065643509234,-1.99660724421635,0.138,0.462,1
"Tada3",0.00380952966343462,-2.71851781654459,0.046,0.308,1
"Actb",0.00790497764190292,-0.447970081586763,0.877,1,1
"Jun",0.00874747274514502,6.31955012949801,0.385,0,1
"Cdk4",0.0092350111589836,-1.53961770341185,0.2,0.538,1
"Hes5",0.00986722894950981,1.82917566170871,0.569,0.231,1
"Xbp1",0.0136988966308971,-2.35243818778976,0.077,0.308,1
"Fbl",0.0149174357214615,-1.69994955205373,0.108,0.385,1
"Jmjd1c",0.0216820293262709,-1.94651622086669,0.077,0.308,1
"Chd3",0.0246043940015499,-1.78438590719539,0.077,0.308,1
"Ctnnb1",0.0313054655811739,-1.32314451841924,0.169,0.462,1
"Ccnd2",0.0328998309994747,1.43123658246792,0.538,0.231,1
"Hes1",0.0343421714486819,5.74237682411051,0.277,0,1
"Kdm6b",0.0353668799544448,-1.50314066578192,0.138,0.385,1
"Lhx2",0.041171633616146,5.60434901344851,0.262,0,1
