"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bhlhe22",7.60482904371586e-11,-4.2099344244901,0.025,0.421,1.49906390109727e-06
"Zbtb18",1.68244021900638e-09,-3.11475394570183,0.064,0.526,3.31642615970537e-05
"Meg3",1.76309257699358e-06,2.46894774523233,0.745,0.211,0.0347540808776974
"Bcl11a",2.49282786882741e-06,-1.8479174310484,0.197,0.684,0.0491386229503259
"Ybx1",1.80961985549887e-05,0.631338878163495,0.93,0.789,0.356712265915938
"Id2",3.54019307401936e-05,-1.6404595152083,0.21,0.632,0.697842858750696
"Dlx1",7.6223160088996e-05,7.04535208233661,0.51,0,1
"Enc1",0.000133638590704216,-2.48330377588598,0.057,0.316,1
"Dlx2",0.000141012655289328,6.92010084932093,0.484,0,1
"Mllt3",0.000395341391317661,-2.06226778034166,0.096,0.368,1
"Kdm5a",0.000598540232893845,-2.07682328566245,0.07,0.316,1
"Cbx5",0.00143287056721662,-1.54663477428514,0.134,0.421,1
"Dlx5",0.00313008055739159,6.32180636777074,0.338,0,1
"Fos",0.00707730759040966,6.2474138085979,0.293,0,1
"Dhx30",0.0075891278664171,-1.21102641293927,0.197,0.474,1
"Hmgn3",0.0113790589771171,-1.35094262664446,0.134,0.368,1
"Nfix",0.0120709917455342,-0.861567811951664,0.395,0.632,1
"Tipin",0.0154933241092655,-1.66522126467048,0.083,0.263,1
"Wac",0.0215820991452318,-1.23847948348413,0.115,0.316,1
"Maged1",0.023435457334498,1.32019274632885,0.465,0.211,1
"Spin1",0.0240738133918959,-1.12720633420167,0.146,0.368,1
"Hnrnpl",0.0264545358466297,-1.114896557079,0.166,0.368,1
"Cbx3",0.0275489660726341,-0.617165512678998,0.516,0.789,1
"Kdm6b",0.0276999035815436,-0.98448564677986,0.229,0.474,1
"Actg1",0.0279479572971034,0.272344321301549,0.943,0.895,1
"Hmgn2",0.0375792165337623,1.10683743832773,0.471,0.263,1
"Huwe1",0.0385774664039947,-1.09257039333505,0.172,0.368,1
"Cdk4",0.0447560396090174,-0.758057839984175,0.35,0.579,1
