"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cbx3",9.32865518370042e-05,-7.00216761189553,0,0.789,1
"Gpx1",0.000821217366833144,2.92381296555658,0.667,0.105,1
"Spi1",0.000894191315901121,7.24785602179531,0.5,0,1
"Gsk3b",0.000952553991664136,-6.58767527514187,0,0.632,1
"Nfix",0.000952553991664136,-6.79539359217318,0,0.632,1
"Tcf4",0.000952553991664136,-6.7103314041525,0,0.632,1
"Bcl11a",0.00175993505693709,-3.08108533631626,0.083,0.684,1
"Psip1",0.00245230383899418,-3.06044245636194,0.083,0.632,1
"Prdx1",0.00341055583991255,1.51829148125852,0.833,0.421,1
"Hmgb2",0.00364425415204739,3.68714249186181,0.5,0.053,1
"Cbx1",0.00681146627349559,-6.03352166601479,0,0.474,1
"Lmo2",0.00905282809952682,6.20990562029913,0.333,0,1
"Cdk2ap2",0.01054156669533,3.23040049476895,0.417,0.053,1
"Rbbp4",0.0105718612563508,2.45374649003603,0.5,0.105,1
"Cbx5",0.0122857462044775,-5.72638130101607,0,0.421,1
"Rbmx",0.0122857462044775,-5.70026984510834,0,0.421,1
"Xist",0.0128274194083888,-1.8059650321122,0.25,0.632,1
"Huwe1",0.0215478479156793,-5.55599971587336,0,0.368,1
"Mllt3",0.0215478479156793,-5.68696157143547,0,0.368,1
"Nedd4",0.0215478479156793,-5.55502775496385,0,0.368,1
"Chd3",0.023143238302795,-2.60205503223759,0.083,0.474,1
"Cdk1",0.0268997263016312,6.00463997279294,0.25,0,1
"Cenpa",0.0268997263016312,6.08489187706736,0.25,0,1
"Fos",0.0268997263016312,6.08581626961317,0.25,0,1
"Hmg20b",0.0268997263016312,5.7050908979032,0.25,0,1
"Pink1",0.0268997263016312,5.92164420128244,0.25,0,1
"Zbtb18",0.0292064885640697,-2.18115762687907,0.083,0.526,1
"Apbb1",0.0368712171733923,-5.26840077984565,0,0.316,1
"Bcl7a",0.0368712171733923,-5.48725126638967,0,0.316,1
"Csnk2a1",0.0368712171733923,-5.53202711384701,0,0.316,1
"Enc1",0.0368712171733923,-5.57033359631722,0,0.316,1
"Ppp3ca",0.0368712171733923,-5.50684516406632,0,0.316,1
"Usp22",0.0368712171733923,-5.33992976132665,0,0.316,1
"Zeb2",0.0368712171733923,-5.57766868744606,0,0.316,1
"Dhx30",0.0379215554285497,-2.35984337379449,0.083,0.474,1
"Chmp2a",0.0461057860192343,2.5892759587311,0.333,0.053,1
"Klf2",0.0461057860192343,2.73993167223067,0.333,0.053,1
"Fbl",0.0479262756192538,1.54255133111143,0.5,0.211,1
