"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cdk2ap1",2.60596062964147e-07,-7.96542493372745,0,0.429,0.00513686959314926
"Actl6b",3.08373088291981e-06,-7.84778199938993,0,0.357,0.0607865031641153
"Kdm2b",3.08373088291981e-06,-7.76662786985225,0,0.357,0.0607865031641153
"Pou2f1",3.08373088291981e-06,-7.77410370653835,0,0.357,0.0607865031641153
"Zfp57",3.08373088291981e-06,-7.89109145533767,0,0.357,0.0607865031641153
"Bcl11a",3.10515055424336e-06,-4.66135492515434,0.017,0.429,0.0612087277252452
"Auts2",4.05812387474195e-06,-4.53195605391474,0.017,0.429,0.0799937378189133
"Ube2b",1.49709646456089e-05,-2.76589200521105,0.069,0.571,0.295107655094243
"Prdx1",2.12648276843314e-05,2.21038057585888,0.793,0.286,0.419172283313541
"Nfix",2.3790399652268e-05,-2.23180601816341,0.172,0.714,0.468956357945506
"Mkrn1",3.45525097191227e-05,-2.90670686924697,0.052,0.5,0.681099071583346
"Tbr1",3.47931251218624e-05,-7.59822448333744,0,0.286,0.685842082402152
"Lhx2",5.01375980294316e-05,-3.18734232777708,0.034,0.429,0.988312332356155
"Arid4b",5.41792767642774e-05,-4.25100604720073,0.017,0.357,1
"Ccnd2",6.4322565128665e-05,2.98875383853207,0.724,0.143,1
"Hes5",9.25928383480462e-05,7.36492606893799,0.638,0,1
"Xist",0.000164404929980514,-1.70561356975644,0.19,0.786,1
"Mbtd1",0.0002198782282829,-3.486660810108,0.034,0.357,1
"Vps72",0.000280791282298376,-2.8176856616891,0.069,0.429,1
"Thra",0.000435097281164729,-1.82192768181065,0.155,0.643,1
"Chd3",0.00057877106196343,-2.16583426365317,0.086,0.5,1
"Brd4",0.000585296983083894,-3.57306309796525,0.017,0.286,1
"Ptma",0.000862060712631112,-0.625407623562332,0.776,1,1
"Fos",0.00115357014903166,3.66651028587619,0.552,0.071,1
"Aldoa",0.00131392594073883,1.80628359296172,0.655,0.286,1
"Htatsf1",0.00133903459739533,-2.74773027805078,0.052,0.357,1
"Pbrm1",0.00133903459739533,-2.77730563038729,0.052,0.357,1
"Tcf4",0.00186774014186758,-1.2261066895178,0.362,0.857,1
"Mcmbp",0.00241240141871823,-2.01767182444435,0.086,0.429,1
"Dhx30",0.00324830104964196,-1.87054212451666,0.086,0.429,1
"H3f3a",0.00352872670972844,-1.00066531993041,0.483,1,1
"Cux1",0.00391439382685882,-1.99308855720172,0.069,0.357,1
"H3f3b",0.00700790807856567,-0.305404986335221,0.931,1,1
"Basp1",0.0075642601780085,-2.29806183970193,0.052,0.286,1
"Smarce1",0.00890789734095378,-2.48444411350654,0.052,0.286,1
"Gnas",0.00980085776813401,1.22788138631795,0.655,0.357,1
"Pih1d1",0.00989827256499307,-2.1155018679073,0.086,0.357,1
"Rtf1",0.012676064672178,-1.63221178206177,0.121,0.429,1
"Actg1",0.0206040696589208,0.550625754995744,0.897,0.714,1
"Rbmx",0.0210091034261544,-2.03700873575671,0.069,0.286,1
"Apex1",0.021660096328338,-1.56147701395532,0.138,0.429,1
"Ddx5",0.0219280431746828,-1.02430579847355,0.31,0.714,1
"Smarcd3",0.0223882950140327,-1.21538631992998,0.172,0.5,1
"Acin1",0.0225044725046884,-1.88680921304346,0.069,0.286,1
"Swi5",0.0280859940238701,1.19801054260668,0.569,0.357,1
"Mta2",0.0294480908650203,-1.83277243110232,0.069,0.286,1
"Rnf2",0.0335631446164866,-1.64781428250755,0.069,0.286,1
"Top1",0.0485227605303709,-1.38314578222995,0.121,0.357,1
