"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hes5",9.2339611942425e-11,-4.74538675093506,0.014,0.429,1.82019843060908e-06
"Nap1l5",1.45049270163516e-05,-2.59360384061621,0.124,0.714,0.285921121346323
"Sgf29",2.19936378931583e-05,-3.16681134288786,0.043,0.429,0.433538590149937
"Ptma",0.000152346009994739,0.892551472734262,0.995,0.714,1
"Meg3",0.000241303157234677,2.25686133038353,0.89,0.286,1
"Skil",0.000426201120263258,-3.30991640265349,0.029,0.286,1
"Cdk2ap2",0.000457442009027099,-3.17037406521543,0.029,0.286,1
"Top2b",0.000583373391331967,-2.2363813190652,0.115,0.571,1
"Hmg20b",0.000648298747098196,-3.00456949213275,0.029,0.286,1
"Tcf4",0.00191452731995834,2.55123204150043,0.775,0.143,1
"H3f3a",0.00238014622525851,0.808569791895717,0.919,0.714,1
"Gtf2b",0.00243683372490834,-2.79298785944146,0.038,0.286,1
"H3f3b",0.00259060331754274,0.364969546675163,1,1,1
"Shprh",0.00321241194038948,-2.63818574099086,0.038,0.286,1
"Dlx2",0.00389090874266292,5.87434712711122,0.622,0,1
"Dlx1",0.00464712066172284,5.76930502894366,0.608,0,1
"Sall1",0.00473984902487025,-2.68703976683969,0.043,0.286,1
"Anp32e",0.00847271622971038,-1.5372239948772,0.249,0.714,1
"Tfpt",0.0107566712401741,-2.39991913901985,0.053,0.286,1
"Ccnt2",0.0108170072760744,-1.73951270578989,0.167,0.571,1
"Brms1l",0.0127439733065068,-2.43948503131709,0.053,0.286,1
"Naa60",0.0150495713652423,-2.34935021114638,0.053,0.286,1
"Mbd3",0.0166488453197515,-1.36195257314904,0.287,0.714,1
"Gpx1",0.0176325235509299,-1.5728030798719,0.196,0.571,1
"Actg1",0.0196320882879185,0.841193845199156,0.967,0.571,1
"Atrx",0.0256464727882364,-1.46478243219008,0.206,0.571,1
"Ppp3ca",0.0267951608094815,-1.47922540487777,0.206,0.571,1
"Akirin1",0.0288341839085115,-2.2640137839898,0.072,0.286,1
"Hnrnpk",0.0385047876963819,0.752375339187787,0.856,0.571,1
"Bcl11a",0.0399765149852329,5.11460643533746,0.402,0,1
"Npm3",0.0425867514855729,-1.99219891105603,0.072,0.286,1
"Dlx5",0.045365039943487,5.06410661853091,0.388,0,1
