"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptma",0.00195423167527533,-0.829801484183307,0.714,1,1
"Nap1l5",0.00321973269092177,3.49340627314618,0.714,0.071,1
"Tcf4",0.00645367319788634,-2.51392476622971,0.143,0.857,1
"Hes5",0.0120161722075668,6.21676542893298,0.429,0,1
"Sgf29",0.0120161722075668,5.92752366286991,0.429,0,1
"Maged1",0.0216418585969863,1.61289668311598,0.857,0.286,1
"Ppp3ca",0.0216658074431483,2.69105306586961,0.571,0.071,1
"Gnas",0.0220403436191368,1.48611144046249,0.857,0.357,1
"H3f3b",0.030890952872377,-0.288793647517611,1,1,1
"Nfix",0.0326337825741455,-1.71024088578142,0.286,0.714,1
"Cbx1",0.0329117858940519,-5.13583676752685,0,0.5,1
"Fus",0.0329117858940519,-5.25336573572745,0,0.5,1
"Top2b",0.035357173285317,2.0520660562967,0.571,0.143,1
"Brms1l",0.048132396219582,5.40997736192424,0.286,0,1
"Dnajc2",0.048132396219582,5.4158231778827,0.286,0,1
"Gtf2b",0.048132396219582,5.56901207605074,0.286,0,1
"Hmg20b",0.048132396219582,5.31184292698098,0.286,0,1
"Naa60",0.048132396219582,5.32707599512723,0.286,0,1
"Rbbp7",0.048132396219582,5.35634880368053,0.286,0,1
"Sall1",0.048132396219582,5.40997736192424,0.286,0,1
"Utp3",0.048132396219582,5.30182381916667,0.286,0,1
