"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Letmd1",1.19276847377925e-07,-4.15118263739445,0.023,0.333,0.00235118521551366
"Cggbp1",6.43854240722314e-05,-2.36205289875624,0.112,0.556,1
"Aldoa",0.0005191720784079,-1.83068424162817,0.236,0.667,1
"Pink1",0.00068868774581425,-2.92978723852177,0.057,0.333,1
"Anp32b",0.00108176531517251,-2.20553463290846,0.101,0.444,1
"Meg3",0.00186135971073325,-1.9379898738589,0.184,0.556,1
"Npm3",0.00555917461439903,-1.82390999917265,0.124,0.444,1
"Bcl11a",0.006885536769053,2.73335343147029,0.557,0.111,1
"Rbbp7",0.00704389853850425,-1.79731747707297,0.124,0.444,1
"Glyr1",0.00715041420206992,-1.87322708048847,0.126,0.444,1
"Psip1",0.0086935434461455,-1.19250108476869,0.365,0.778,1
"Ndn",0.0161198246641898,-1.74127317786321,0.181,0.444,1
"Set",0.0243989764133333,1.16642707760197,0.744,0.333,1
"Cbx3",0.0264562397992679,1.3272003541755,0.779,0.222,1
"Sarnp",0.0282031558802926,5.3651486164713,0.368,0,1
"Nasp",0.029866846889981,-1.76272491773987,0.103,0.333,1
"Prdx1",0.031412324200457,-1.36703309740709,0.259,0.556,1
"Ssbp1",0.0324920536004392,-1.80805842804221,0.115,0.333,1
"H3f3a",0.0355119911628244,0.567549072815378,0.851,0.667,1
"Cdk4",0.0374035674738138,2.24133699123796,0.451,0.111,1
"Morf4l2",0.0397168058992164,-1.16745722882969,0.276,0.556,1
"Banf1",0.0448038311962253,-1.51354449144114,0.201,0.444,1
"Bhlhe22",0.046547125620373,1.58221408183689,0.489,0.222,1
"Sbno1",0.0474168142508006,-1.63816035241303,0.109,0.333,1
