"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Aldoa",0.000426910084090677,-2.44128550123372,0.175,0.667,1
"Letmd1",0.00304412728378275,-3.96675457788828,0.025,0.333,1
"Bcl11a",0.00331081147959027,2.74617948506975,0.65,0.111,1
"Bhlhe22",0.00877154362522128,1.77451719916562,0.675,0.222,1
"Npm3",0.0108563672363409,-2.30763204704259,0.1,0.444,1
"Cggbp1",0.0144401179899709,-1.8980320300188,0.175,0.556,1
"Atrx",0.0161742628273201,5.41599578622981,0.45,0,1
"Psip1",0.020217437436766,-1.05419210285174,0.45,0.778,1
"Ptma",0.0236671842386449,-0.257858280715777,1,1,1
"H3f3b",0.025444358658757,-0.382821998009042,0.975,1,1
"Anp32b",0.0265966073518961,-1.97906746477389,0.125,0.444,1
"Srsf2",0.0301851923500165,1.77135497024976,0.625,0.111,1
"Pink1",0.0312641484454368,-2.77128832225611,0.075,0.333,1
