"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meg3",3.61821477523241e-16,-0.831455518355257,0.536,0.745,7.13222496493813e-12
"Nfix",4.3092392603808e-10,-1.24325782812362,0.176,0.395,8.49437243006263e-06
"Hmgb1",1.21910230419723e-09,0.398125918332755,0.896,0.745,2.40309446203357e-05
"Dlx1",1.18788580771633e-08,-0.91576091912199,0.313,0.51,0.000234156050417044
"Tsix",1.90027797187616e-07,1.6098382188111,0.305,0.096,0.0037458279381623
"Ddx5",1.64623934803899e-05,-0.356412908642946,0.648,0.752,0.324506700285446
"Ogt",1.94558045731193e-05,-1.0153338632001,0.148,0.287,0.383512819745327
"Sarnp",6.68346668720657e-05,0.727041513044936,0.449,0.287,1
"Hmgn1",8.1079383570574e-05,0.351023268396194,0.728,0.611,1
"Fus",8.41163802290193e-05,-0.701005272896879,0.28,0.42,1
"Sumo1",0.000162471445547512,0.434674800209564,0.64,0.49,1
"Prmt1",0.000262690683949036,0.345697645785203,0.724,0.599,1
"Mef2c",0.000355819956654002,0.446699367276546,0.685,0.478,1
"Park7",0.00112333665640448,0.463441155769764,0.563,0.395,1
"Xist",0.00188610054037985,0.410535695017748,0.652,0.452,1
"Jun",0.0046450018755947,-0.66202161061128,0.209,0.299,1
"Dlx5",0.00755495834444033,-0.55379995464934,0.245,0.338,1
"Top1",0.00790143979797877,0.454526879299621,0.388,0.261,1
"Cdk4",0.00945572699434752,0.428888706661558,0.488,0.35,1
"Srsf2",0.0102614948303598,-0.371049738720884,0.403,0.497,1
"Sfpq",0.0111783437581633,-0.477855621976597,0.279,0.363,1
"Arx",0.0116287938620174,0.491734663094328,0.364,0.248,1
"Gsk3b",0.0130795854753297,-0.343670550094613,0.425,0.535,1
"Hmgn2",0.0132496473455386,0.349146177204237,0.615,0.471,1
"Nono",0.0135097289603726,-0.444278156239689,0.281,0.382,1
"Emc10",0.0163034926416644,-0.535561666880245,0.231,0.312,1
"Ran",0.027076011735953,0.308001343857015,0.588,0.471,1
"Plk2",0.0284559174759476,0.576718908916503,0.264,0.185,1
"Nedd4",0.0383731550149939,-0.49946570307667,0.192,0.261,1
"Ppp3ca",0.0435386841849818,0.402067457693045,0.349,0.255,1
