"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gnas",1.46708592533371e-42,-1.28037005334045,0.274,0.608,2.89191977601781e-38
"H3f3a",1.02877845087813e-39,0.404460443964377,0.929,0.82,2.02792808237097e-35
"Srsf2",1.52536044343292e-25,-1.48272703425208,0.122,0.356,3.00679050609496e-21
"Set",2.10091261163548e-17,-0.881235836615623,0.264,0.49,4.14131894005586e-13
"Ctbp1",1.57282704840258e-12,-1.06469672073552,0.135,0.286,3.10035667781116e-08
"Basp1",8.1712181894323e-12,-0.804361004745864,0.215,0.387,1.6107105295009e-07
"Ran",4.12101521963319e-08,0.47147339782679,0.513,0.392,0.000812334520094095
"Nfix",2.41838188659253e-06,-0.458565197213361,0.342,0.467,0.047671143748512
"Mef2c",4.42867627313621e-06,-0.30009910220811,0.602,0.727,0.087298066696061
"Hnrnpa2b1",5.8936935436668e-06,0.398839791522203,0.496,0.399,0.11617648713276
"Npm1",1.04054604828304e-05,0.38929061746136,0.489,0.395,0.205112437037552
"Swi5",2.64590211035455e-05,0.41363854494834,0.438,0.351,0.521560223993088
"Cdk4",3.03494362286152e-05,0.532353239263982,0.331,0.242,0.598248086938462
"Nap1l1",3.3261684129019e-05,0.645850557566939,0.258,0.172,0.655654317551222
"Hmgb1",4.53594644948486e-05,-0.258548951058226,0.665,0.799,0.894125764122456
"Morf4l1",0.000923568679083527,-0.276721030833355,0.478,0.587,1
"Banf1",0.00165562375786815,0.428754880163507,0.306,0.242,1
"Sin3b",0.00415834367423714,-0.358720260355011,0.185,0.258,1
"Gsk3b",0.00475292348018022,-0.312293556514643,0.282,0.358,1
"Chd3",0.0101793133652655,-0.320404937226791,0.231,0.296,1
"Hmgn1",0.018824430334934,0.275539143227655,0.344,0.301,1
"Nono",0.0211403390762193,0.327874785649362,0.279,0.239,1
"Mkrn1",0.0319201923744706,-0.256089117427563,0.213,0.268,1
