"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Id2",9.54124944069438e-182,-1.83965781785912,0.751,0.989,1.80253284433598e-177
"H3f3a",9.01532825041093e-138,1.07824358031942,0.984,0.888,1.70317581306763e-133
"Ptma",1.08296747199633e-109,1.11665313423372,0.982,0.852,2.04594214809547e-105
"Actg1",9.07531388130598e-98,0.894214474363968,0.987,0.912,1.71450829845633e-93
"Ccnd2",4.58411957173549e-84,1.20821732630894,0.946,0.737,8.66031869492269e-80
"Npm1",1.37275841068356e-77,1.19229217323546,0.855,0.59,2.59341518946338e-73
"Hmgn1",1.86403214076464e-77,1.01758174927118,0.91,0.683,3.52152952033255e-73
"Cdk4",6.12758875624426e-57,1.22971107801634,0.702,0.398,1.15762406782967e-52
"Fos",4.25839943357282e-53,-1.20967376840664,0.626,0.821,8.04496820990578e-49
"Hnrnpk",1.81761056365919e-52,0.844258894952632,0.893,0.732,3.43382987686495e-48
"Actb",2.74208211636312e-49,0.844276703242188,0.965,0.887,5.18034153423321e-45
"Maged1",2.53940660400861e-45,1.38927666712569,0.594,0.332,4.79744695629307e-41
"Jun",7.07883304646469e-40,1.11926944009678,0.654,0.378,1.33733313913811e-35
"Nedd4",5.95817822547261e-39,0.953693298099377,0.701,0.455,1.12561903035629e-34
"Ran",1.51712406215593e-33,0.708041857363742,0.817,0.681,2.86615077822499e-29
"Morf4l2",1.89972957577983e-30,0.848179374390266,0.72,0.501,3.58896911456326e-26
"Bmyc",6.35226900288468e-30,-1.17185207990351,0.314,0.525,1.20007066002497e-25
"Rbmxl1",7.30258873808219e-28,1.18210676707112,0.449,0.233,1.37960506439849e-23
"Ndn",3.72488234265408e-27,0.989331287881174,0.57,0.365,7.03704772174208e-23
"Tcf3",3.1802320511844e-26,1.27699497365173,0.373,0.17,6.00809439109758e-22
"H3f3b",1.19396631022951e-25,0.279027539800273,1,0.991,2.25564115328559e-21
"Nap1l1",1.21707281465504e-25,0.95682774991391,0.593,0.404,2.2992939614463e-21
"Nudt21",1.40649251995991e-24,0.977187061071385,0.527,0.32,2.65714566870827e-20
"Ezh2",9.51836639472142e-24,1.49823499921396,0.256,0.089,1.79820977929077e-19
"Dhx30",2.75549248748337e-23,-0.970969461951574,0.305,0.503,5.20567640735358e-19
"Sfr1",1.01613449006926e-22,0.729840345708431,0.685,0.498,1.91968127863884e-18
"Tmpo",6.66962808428775e-22,1.21454752086002,0.294,0.123,1.26002613768364e-17
"Notch1",1.04696799736312e-21,1.07221727289017,0.412,0.224,1.97793194061841e-17
"Sox9",2.97524844638642e-21,0.659266589867337,0.681,0.492,5.62083936491323e-17
"Ddx5",7.47295665344075e-21,0.57501041173986,0.789,0.676,1.41179097096803e-16
"Hmgb2",3.82597331404772e-20,0.512508901348987,0.585,0.393,7.22802878489895e-16
"Fus",5.77006946932068e-20,0.72938604590119,0.631,0.468,1.09008152414406e-15
"Meg3",6.33035689569052e-20,-1.83379578094482,0.354,0.518,1.19593102473385e-15
"Ctbp2",3.41142436894784e-19,1.18946330267246,0.288,0.131,6.44486291781626e-15
"Ppp3ca",5.54835976961975e-19,-0.789567473327958,0.479,0.6,1.04819612767656e-14
"Cbx1",1.59950732584918e-18,0.816721840709698,0.515,0.35,3.02178923999427e-14
"Hnrnpa2b1",1.60160011875071e-18,0.517276775382872,0.817,0.705,3.02574294434384e-14
"H1f0",1.68434904105216e-18,0.733528119166387,0.617,0.454,3.18207220835574e-14
"Prmt1",8.57796975973713e-18,0.891649509537474,0.452,0.287,1.62055004700954e-13
"Hmgb1",9.52701565734408e-18,0.574206433196831,0.75,0.577,1.79984379798544e-13
"Prdx1",1.11290327068022e-17,-0.50204932158334,0.928,0.935,2.10249685896908e-13
"Hdac2",2.26219958772541e-17,1.01190924984677,0.419,0.268,4.27374746113084e-13
"Top1",5.35626087665718e-17,0.629442806000564,0.668,0.526,1.01190480481807e-12
