"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mef2c",1.48039890752751e-30,4.37527512453168,0.336,0.058,2.79676961610097e-26
"Zbtb18",8.14870955169547e-24,2.99137965772167,0.262,0.044,1.53945420850631e-19
"H3f3b",1.54470631928582e-20,0.737853300144677,1,0.965,2.91825917839477e-16
"Ccnt2",3.10136978720644e-19,-1.87877067648296,0.299,0.718,5.8591078019904e-15
"Actg1",7.92935065222788e-19,1.2187734854228,0.972,0.942,1.49801292521889e-14
"Meg3",3.33891111063281e-16,2.79358122396023,0.692,0.375,6.30787087020751e-12
"Tcp1",2.15270872673349e-13,1.28142620627097,0.607,0.301,4.06689732654492e-09
"Sox10",2.20565171234088e-12,-0.938524727188815,0.664,0.849,4.16691721495439e-08
"Usp16",1.79800367875853e-11,-1.46719194151465,0.364,0.635,3.39678854991061e-07
"Sf3b1",5.44964120786579e-11,-1.02890995268841,0.589,0.784,1.02954621699e-06
"Wdr13",1.42566944045546e-10,1.44398876263813,0.252,0.074,2.69337470690845e-06
"Basp1",6.93506000765967e-10,2.05841550110359,0.346,0.144,1.31017153664706e-05
"Brca1",2.73794925522032e-09,-1.96192918642134,0.243,0.5,5.17253373296224e-05
"Ybx1",2.7827421301629e-09,0.944723515097526,0.738,0.558,5.25715643230375e-05
"Zeb2",6.16805076153308e-09,-0.857617301911019,0.71,0.865,0.000116526814986883
"H1f0",1.367470315146e-08,1.30989025362068,0.523,0.304,0.000258342491937382
"Barx2",1.67344360284903e-08,1.26624338475165,0.449,0.23,0.000316146965450239
"Cdkn1c",2.30931623027274e-08,1.21735905232474,0.299,0.114,0.000436276022223126
"Sap30",7.27051584975508e-08,-2.57744486567577,0.093,0.33,0.00137354585433573
"Ctbp1",9.93206961467826e-08,0.922713923899101,0.561,0.313,0.00187636659160502
"Bcl7c",1.27854669896156e-07,1.20299104656653,0.252,0.09,0.00241543042367818
"Trmt112",3.76611423879582e-07,-1.29588658884673,0.29,0.499,0.00711494301993306
"Nucks1",3.78011404009128e-07,0.844067641716277,0.607,0.382,0.00714139144454044
"Gnas",4.11971300067997e-07,0.631666873390814,0.729,0.511,0.0077829618008846
"Hmgb1",6.72014248280422e-07,-0.519308124293338,0.897,0.907,0.0126956931785137
"Usp22",9.97730635661834e-07,1.18944859481965,0.383,0.197,0.0188491271689234
"Satb1",1.160917460212e-06,1.31746368910628,0.28,0.123,0.0219320526583251
"Ash1l",1.25593307092628e-06,-1.44398060044214,0.196,0.418,0.0237270875759392
"Zkscan3",1.41538529782109e-06,-1.64888292568647,0.159,0.382,0.0267394590464361
"Ndn",1.4474865010723e-06,1.15446052308378,0.402,0.209,0.0273459149782579
"Top1",1.46953997443604e-06,-0.599941377130959,0.71,0.808,0.0277625491970457
"Nap1l1",1.7340153275514e-06,0.734670681742426,0.673,0.469,0.032759017568101
"Ran",1.85858467758758e-06,0.599894587194364,0.804,0.69,0.0351123817289845
"Rbmx",1.93881785947623e-06,-1.2170681078753,0.29,0.495,0.036628147001225
"Anp32e",2.81913166068193e-06,0.807054808353667,0.439,0.227,0.0532590353336031
"Chd9",4.67270290850333e-06,-1.63018700763243,0.15,0.356,0.0882767033474449
"Mbd3",7.68920269820597e-06,0.832579067051797,0.673,0.482,0.145264417374507
"Chd6",9.016802691339e-06,-1.63606690739585,0.131,0.332,0.170345436444776
"Ssbp1",9.77233334318929e-06,-1.20241112375264,0.29,0.464,0.184618921519532
"Ogt",1.04611598565547e-05,-0.877779018943596,0.336,0.557,0.197632232010032
"Ctnnb1",1.04732361260819e-05,0.835081317177559,0.477,0.274,0.19786037689394
"Fbl",1.47110728178627e-05,0.688385609128155,0.467,0.261,0.277921587675061
"Gadd45a",2.05449622235573e-05,-1.80050395276326,0.131,0.312,0.388135426327445
"Srsf2",2.38986633001643e-05,-1.06692635308167,0.421,0.57,0.451493547066705
"Hnrnpa2b1",4.01864254209046e-05,-0.402046921501477,0.794,0.918,0.759201949051729
"Vcp",8.42934932466214e-05,0.509485407862193,0.738,0.581,1
"Brd2",8.46137428669044e-05,0.660442996548323,0.495,0.308,1
"Chd3",0.000198146191216146,0.480315809101121,0.645,0.453,1
"Prkcb",0.000302444016262526,0.614644535472562,0.336,0.185,1
"Xbp1",0.000312046660440347,-1.34187190236371,0.14,0.296,1
"Mad2l2",0.000405970872808854,0.815883059052182,0.299,0.163,1
"Npm1",0.000410186994725255,0.538694995208537,0.785,0.682,1
"Prkca",0.000449139381385282,-1.4034252636581,0.168,0.313,1
"Apbb1",0.000602116882041654,0.507603009532728,0.598,0.416,1
"Brd3",0.000744327114140599,0.407034133541899,0.439,0.256,1
"Sirt7",0.000891540473424042,-1.14269377321938,0.252,0.373,1
"Gpx4",0.000943786449597255,0.323729486785484,0.879,0.791,1
"Hmg20b",0.00100255392322348,-0.869917905330938,0.243,0.391,1
"Morf4l2",0.0011047087893736,0.350157147115982,0.869,0.784,1
"Xist",0.00117493000321013,-0.74857553450531,0.449,0.539,1
"Zmynd8",0.00142974604601187,-0.863155768173155,0.318,0.432,1
"Ing4",0.00154274696429846,-0.846293283858953,0.206,0.343,1
"Fus",0.00198814770508919,-0.68975008778142,0.57,0.642,1
"Pole4",0.00207982267776433,0.510390737041406,0.421,0.264,1
"Hdac3",0.00338891794642619,0.473159301647385,0.346,0.207,1
"Hmgb2",0.00392985668652141,0.49073950685501,0.355,0.22,1
"Rbmxl1",0.00420934599994361,-0.860987049002578,0.29,0.398,1
"Cbx3",0.0044035564409873,-0.601352100449546,0.402,0.521,1
"Swi5",0.00443788637567087,0.326340072402572,0.813,0.727,1
"Slc30a9",0.00447883419968518,0.555491761593899,0.336,0.209,1
"Coq7",0.00451861081433452,0.609470299934143,0.393,0.263,1
"Nkap",0.00457175343109384,0.530620222786255,0.308,0.189,1
"Ino80e",0.00626340691248435,-0.885431558886147,0.15,0.268,1
"Prmt1",0.00665028496327102,0.532919556830241,0.542,0.414,1
"Sumo1",0.00755294312833895,0.393723747192885,0.832,0.685,1
"Mier1",0.00760514064098295,-0.898155433881314,0.15,0.26,1
"Gtf2h1",0.00762161715025021,-0.850009713722945,0.28,0.374,1
"Aldoa",0.00773392887681179,0.417204686048094,0.692,0.589,1
"Tonsl",0.00796068356869527,0.426051854170532,0.701,0.571,1
"Tcf12",0.00903038354001359,-0.480238314465109,0.364,0.458,1
"Mbip",0.00934280527436508,-1.05638089438426,0.15,0.25,1
"Dnmt3a",0.00948674492115173,0.570288678924221,0.28,0.181,1
"Rbbp7",0.00982558189771182,0.614808173751002,0.299,0.194,1
"Nudt21",0.00996647324013587,0.375447417322633,0.467,0.325,1
"Ube2b",0.010019383738756,-0.591886461959561,0.486,0.528,1
"Arid4b",0.0108881724923282,-0.797070944214442,0.355,0.435,1
"Smarcc1",0.0113144918720672,0.624591744146674,0.336,0.221,1
"Dpf2",0.0117350205475838,-0.689273809365023,0.187,0.288,1
"Ppp3ca",0.0139798368501514,0.465448872250675,0.645,0.568,1
"Nedd4",0.0156437367933697,-0.455362133822998,0.514,0.567,1
"Cpsf6",0.0160143616127737,-0.383019209793145,0.421,0.515,1
"Gon4l",0.0176936123769927,-1.02162155782082,0.187,0.275,1
"Mcrs1",0.0184933670615574,0.40234013142608,0.467,0.347,1
"Hp1bp3",0.0188305304294925,-0.487193755749137,0.374,0.453,1
"Brd8",0.0190335575400993,-0.858809459962087,0.187,0.28,1
"Snw1",0.0205259830645217,-0.559157891493408,0.364,0.447,1
"Skil",0.0212765227697077,0.441448912889011,0.318,0.209,1
"Psip1",0.0221577207531825,0.463150138103091,0.43,0.307,1
"Kcnq1ot1",0.0228125720011548,-0.5903009991907,0.383,0.465,1
"Anp32b",0.0307356442677373,0.281836368867072,0.458,0.322,1
"Hmgn2",0.0321230098184188,-0.478790138624962,0.579,0.593,1
"Smarca5",0.0327046803243868,0.463466568644493,0.327,0.233,1
"Gpx1",0.0332439131918499,0.336570355514892,0.748,0.602,1
