"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",0,-5.20916919763593,0.151,0.936,0
"Ppp3ca",5.12760627834647e-151,-2.32364040619524,0.953,1,9.68707378105215e-147
"Cbx6",2.58404851936085e-144,-3.3075129727066,0.217,0.784,4.88178446277653e-140
"App",1.5050924597088e-135,-2.30588718758093,0.83,0.988,2.84342067488187e-131
"Kdm7a",6.67706874235394e-129,-3.79705234916968,0.056,0.428,1.26143182680551e-124
"H3f3b",4.865116130251e-124,1.6841525251145,0.998,0.832,9.19117739327018e-120
"Zbtb7a",6.42313815597057e-111,-3.12095262383661,0.182,0.672,1.21345926042596e-106
"Thra",2.21427161852474e-107,1.83249352688505,0.988,0.656,4.18320194171694e-103
"Ptma",1.45687606484103e-101,1.57740050874037,0.996,0.792,2.75233026169767e-97
"Actg1",1.37389116596494e-95,1.36180364403019,0.998,0.92,2.59555519074097e-91
"Mef2c",1.10723382262188e-90,0.931941966390243,1,0.992,2.09178613769726e-86
"Ybx1",1.29808144577325e-80,1.89031203575846,0.925,0.46,2.45233546735483e-76
"Tbr1",1.98514395817752e-73,-2.48483706990814,0.182,0.592,3.75033396578897e-69
"Meg3",4.33887843075353e-70,0.678861166854013,0.999,1,8.19700913137957e-66
"Nr3c1",1.50672093249427e-66,-2.67181587096368,0.167,0.54,2.84649718566817e-62
"Nr1d1",1.95828610567629e-60,-2.54174646972841,0.158,0.512,3.69959411084364e-56
"Foxo3",1.52498394134372e-59,-2.89279854478981,0.086,0.376,2.88099966198656e-55
"Aldoa",2.76056805479439e-59,-1.47725030755933,0.691,0.892,5.21526516911756e-55
"Gpx4",7.92118126841009e-59,1.00695473401915,0.983,0.8,1.49646956522803e-54
"Per1",4.97309918719333e-58,-2.92220249197213,0.078,0.352,9.39517898444563e-54
"Prkcb",3.83871701416831e-57,-1.59042143233518,0.615,0.848,7.25210418316676e-53
"Camta2",6.10315514825825e-57,-2.37232533793873,0.198,0.556,1.15300807060895e-52
"Cited2",1.01087655889068e-55,-3.12419005457095,0.055,0.292,1.90974799505626e-51
"Ccnt2",4.03328955813692e-54,-1.96925663254275,0.301,0.676,7.61969063323228e-50
"Satb1",1.71765668066007e-49,-1.3925103354497,0.531,0.856,3.24499700110301e-45
"Ddx5",3.95036226536719e-49,-1.16232277021376,0.778,0.908,7.4630243917317e-45
"Tshz3",8.39021766160037e-49,-2.34837129135771,0.106,0.392,1.58507992062954e-44
"Pole4",1.10589769867781e-47,1.95847461637493,0.747,0.288,2.08926193234211e-43
"Pak1",4.51935123879515e-46,-1.52390375209616,0.471,0.752,8.5379583603318e-42
"Sumo1",9.38596434744866e-46,1.22321750213665,0.911,0.548,1.77319638452e-41
"Nr4a1",4.95286751414935e-45,-3.03896249217403,0.05,0.252,9.35695730773095e-41
"Zmynd8",2.79807494963291e-43,-1.77699041197751,0.291,0.624,5.2861231948465e-39
"Gnas",3.68659603022401e-42,-1.08696376531074,0.809,0.908,6.96471722029919e-38
"Bend6",3.9420634270184e-41,1.57339605891909,0.767,0.36,7.44734622632315e-37
"Zfp827",2.18434147493425e-40,-2.78657959211115,0.058,0.26,4.12665791444579e-36
"Nfe2l1",6.03853453733949e-39,-2.1755399586473,0.218,0.512,1.14079994479418e-34
"Kmt2a",1.11169545765627e-38,-1.99438911389591,0.197,0.496,2.10021505860423e-34
"Emc10",1.51143601099207e-35,1.17783674435509,0.831,0.464,2.85540491196621e-31
"Swi5",2.9508208612257e-35,1.03479268077371,0.891,0.608,5.57469077102759e-31
"Fus",1.56488214551282e-34,-1.21102440054886,0.618,0.8,2.95637534930281e-30
"Prmt2",8.11586655048699e-34,2.38919077042657,0.527,0.116,1.533249508718e-29
"Jade1",3.69971580363076e-33,-2.13509155118416,0.125,0.368,6.98950309621923e-29
"Npm1",9.95638172301888e-33,1.21209827395054,0.79,0.44,1.88095963511273e-28
"Fos",5.22629776512273e-32,-3.06248744697899,0.073,0.264,9.87352173786987e-28
"Basp1",8.3395481218428e-32,0.7001801471118,0.983,0.888,1.57550743117854e-27
"Hmgn1",4.54932925677158e-31,1.4474464086464,0.702,0.324,8.59459283189286e-27
"Hdac7",5.51530928663958e-31,-2.6292908320353,0.067,0.252,1.04195223043195e-26
"H3f3a",7.89713238763762e-31,0.768774645590353,0.963,0.78,1.4919262506725e-26
