"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmgn3",0,-1.14900184059963,0.62,0.899,0
"Id2",0,1.27926861507186,0.949,0.795,0
"Nfix",0,1.05953135110281,0.952,0.867,0
"H3f3a",0,1.08637800128,0.997,0.975,0
"Ptma",0,1.07173027704577,1,0.997,0
"Meg3",0,-0.643586963611137,0.997,0.999,0
"Actg1",0,0.945046869638813,0.996,0.997,0
"Gpx4",1.5260991323912e-287,-0.675612034514423,0.927,0.982,2.88310648091346e-283
"Prmt1",7.44089406151129e-268,1.63515337084726,0.661,0.363,1.40573370610071e-263
"Prkcb",9.54678414124654e-231,-1.51888205473564,0.302,0.648,1.8035784599643e-226
"Cdk4",2.04775710360819e-185,1.41117114464545,0.588,0.336,3.86862272013659e-181
"Npm1",6.4371120700721e-177,0.902317712330369,0.792,0.678,1.21609921227802e-172
"Ndn",2.36499569123816e-155,0.972978208602492,0.808,0.678,4.46794985988714e-151
"Hdac2",1.2207132549469e-154,1.15699309861136,0.637,0.431,2.30617148124568e-150
"Hnrnpk",1.73225624057252e-154,0.770882238532969,0.836,0.74,3.27257848968961e-150
"Foxp1",1.42958306099859e-140,-0.842937238700716,0.528,0.783,2.70076831883854e-136
"Auts2",3.07757247230811e-139,1.47829411156326,0.492,0.266,5.81414991468448e-135
"Cbx1",3.84001536116385e-139,1.10090877656176,0.629,0.422,7.25455702031074e-135
"Ddx5",2.05203959240093e-137,0.67642227752961,0.845,0.759,3.87671319796385e-133
"Fus",1.71941473356163e-136,0.908106008468755,0.732,0.578,3.24831831464464e-132
"Lsm11",1.74351139001768e-129,-1.65220365477383,0.164,0.405,3.29384171802139e-125
"Nsmf",5.8660803970436e-128,-1.02717432757745,0.352,0.614,1.10821990860948e-123
"App",1.05213567910478e-126,-0.934132928353314,0.45,0.683,1.98769472496476e-122
"Nap1l5",1.99957524803387e-124,-1.24351355107531,0.225,0.479,3.7775975585856e-120
"Sirt3",2.41248601562483e-124,-1.43897005775121,0.169,0.415,4.55766858071843e-120
"Smarcb1",6.3223944141739e-122,1.4269245307768,0.435,0.217,1.19442675272573e-117
"Zfp462",1.72330227130113e-121,1.91954386091584,0.311,0.115,3.25566265094209e-117
"Brd3",1.47396843168421e-120,1.26673666185991,0.511,0.298,2.78462116113781e-116
"Hmgn1",1.89230257798192e-117,0.770458517870348,0.754,0.634,3.57493803032345e-113
"Nasp",3.02638439770187e-116,1.34725175246267,0.457,0.244,5.71744540413837e-112
"Nono",2.50489046533513e-115,0.98666679784992,0.614,0.431,4.73223906711112e-111
"Ran",1.2697515660055e-112,0.661611670044888,0.805,0.723,2.39881465849758e-108
"Rbbp4",6.35617044218321e-109,1.44176891509849,0.404,0.201,1.20080771993725e-104
"Smc3",9.76157746550469e-108,1.41426222244273,0.411,0.208,1.84415721478315e-103
"Maged1",2.6549646796406e-106,0.98850660910244,0.604,0.436,5.01575927277701e-102
"Kdm5b",1.51665563117573e-104,1.35225144361317,0.421,0.221,2.86526581841718e-100
"Gnas",3.5655222431311e-101,-0.674525192017549,0.609,0.81,6.73598462172327e-97
"Tlk1",9.15262700875287e-100,-1.70376399576146,0.109,0.306,1.72911429449359e-95
"H3f3b",4.55408238505542e-96,0.30184483105543,0.999,0.995,8.6035724418467e-92
"Mllt3",1.92789214281736e-95,1.5560510112987,0.327,0.146,3.64217383621056e-91
"Bcl11a",4.76369825076589e-93,0.602813807597744,0.829,0.795,8.99957873534692e-89
"Smyd2",4.91771634315875e-85,-0.910469649746184,0.306,0.523,9.29054971549551e-81
"Zeb2",8.86097483604003e-82,0.650233882303602,0.805,0.759,1.67401536602468e-77
"Banp",3.36306671949602e-80,-1.01965992554968,0.253,0.453,6.35350564647188e-76
"Hnrnpa2b1",4.35372178848736e-79,0.490633208038472,0.862,0.827,8.22505120281031e-75
