"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meg3",8.92624079821516e-97,-1.29518432340439,0.976,1,1.68634541159881e-92
"Ptma",1.1535570867315e-94,1.18643009921789,1,1,2.17930004825314e-90
"H3f3a",5.70223685794313e-84,1.61315758175512,0.989,0.966,1.07726658720262e-79
"Actg1",1.94562402916735e-75,1.10384741420076,1,1,3.67567291590296e-71
"Nap1l5",5.23828117467998e-61,-2.18460947324856,0.282,0.801,9.89616079520542e-57
"Gpx4",9.23607389548553e-60,-1.35166191807206,0.825,0.966,1.74487908033513e-55
"Cdk4",4.13376916207825e-55,2.77614471084595,0.763,0.243,7.80951670099823e-51
"App",2.60693242058953e-50,-1.68435374919116,0.529,0.861,4.92501672897775e-46
"Hmgn3",6.49862888043705e-46,-1.5047526354974,0.524,0.861,1.22772096809217e-41
"Ddx5",4.73867837817994e-41,1.33826057983148,0.923,0.738,8.95231119205754e-37
"Bcl11a",4.66051776156795e-40,2.42808578424686,0.675,0.258,8.80465015515418e-36
"Hnrnpk",4.78880427469198e-40,1.28819455591493,0.925,0.749,9.04700903574808e-36
"Npm1",4.41177469786771e-37,1.20025977132015,0.893,0.723,8.33472475921167e-33
"Hdac2",5.50318182132582e-35,1.69945678848482,0.747,0.419,1.03966110968487e-30
"Jun",6.0737903860006e-33,3.80580662460385,0.493,0.086,1.14746047972323e-28
"Prmt1",6.67404651330375e-33,1.60641409250139,0.753,0.468,1.26086086729334e-28
"Hnrnpa2b1",7.96142160393217e-30,0.953260571909996,0.93,0.846,1.50407176941487e-25
"Ran",8.23355562910579e-30,1.02122145719367,0.882,0.719,1.55548332945067e-25
"Actb",1.6816157130839e-29,0.425461762376022,1,0.993,3.1769084051581e-25
"Aldoa",1.31973668952685e-25,-1.37615883023124,0.413,0.719,2.49324655385412e-21
"Nono",8.38531400389314e-25,1.46447700566417,0.706,0.419,1.58415352161549e-20
"Id2",4.0088307773546e-24,-0.980315540318442,0.64,0.891,7.57348310457831e-20
"Basp1",4.58845472727046e-21,-0.697747089249087,0.808,0.951,8.66850867075935e-17
"Dlx5",9.60690359775076e-21,2.23469430075354,0.524,0.221,1.81493622768707e-16
"Zeb2",9.7830615555078e-21,0.991393615940432,0.816,0.633,1.84821598906653e-16
"Nasp",5.44735558547869e-20,1.87229953351951,0.513,0.213,1.02911441720863e-15
"Ezh2",5.54712560231353e-20,2.42853996740777,0.382,0.079,1.04796296878907e-15
"Fus",9.13204786888305e-20,0.9701464185258,0.811,0.644,1.72522648338939e-15
"Trp53",6.80192496568322e-19,3.05885925061294,0.316,0.041,1.28501966451687e-14
"Prkcb",1.82024225211792e-18,-1.79993812796657,0.164,0.404,3.43880166270117e-14
"Brd3",5.46557533125612e-18,1.28218557590839,0.597,0.322,1.03255649158091e-13
