"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cbx6",3.47166388794138e-32,-2.54560034937471,0.248,0.877,6.55866741709885e-28
"Arid5a",1.07691751384158e-28,-4.62254630578065,0.014,0.338,2.03451256714952e-24
"H3f3b",3.20195878438134e-27,1.38732095844419,0.998,0.938,6.04914053545322e-23
"Nap1l5",1.83458281373349e-26,-1.45479294505471,0.824,1,3.46589385170532e-22
"Gnas",1.4547209630149e-23,-1.85262502955602,0.78,1,2.74825884332775e-19
"Kdm7a",8.6219000624848e-21,-3.8896152281093,0.02,0.292,1.62884935980463e-16
"Lmo2",5.45621139228043e-20,-2.5064302826506,0.118,0.569,1.03078745622962e-15
"Plk2",1.61822144478782e-19,-2.25872443163973,0.287,0.815,3.05714395349315e-15
"Ptma",1.93400430987426e-19,1.01867806036999,0.996,0.985,3.65372094221445e-15
"Ybx1",5.53627657626379e-18,1.86429581203467,0.872,0.538,1.04591337078775e-13
"Aldoa",5.78214913700177e-16,-1.16610094640002,0.784,0.985,1.09236361496237e-11
"Nfix",8.86743287598181e-16,1.08192530521945,0.978,0.908,1.67523541893048e-11
"Nr3c1",1.7299330750322e-15,-2.43462332628692,0.1,0.462,3.26818956535083e-11
"App",3.00718081613528e-15,-1.41164241955057,0.727,0.954,5.68116599784276e-11
"Actg1",3.90041166548557e-15,1.03854302811981,0.992,1,7.36865771843533e-11
"Ccnt2",1.35258715711937e-14,-1.64821477482321,0.24,0.692,2.55530765722992e-10
"Basp1",5.52691395728861e-14,1.16970410843414,0.932,0.8,1.04414458481096e-09
"Zfp385a",6.31420174196762e-13,-1.65223825773982,0.212,0.631,1.19287899309252e-08
"Zbtb7a",9.10531225813931e-13,-2.10784307994589,0.13,0.477,1.72017559180768e-08
"Atf5",1.50020431664693e-12,-1.96836013605829,0.086,0.4,2.83418599500938e-08
"Thra",2.67765353811936e-12,0.88945661476861,0.968,0.908,5.0586230642151e-08
"Nr1d1",6.87686997676187e-12,-3.2774553763107,0.04,0.262,1.29917827600985e-07
"H3f3a",1.56662680272476e-11,0.781992944314809,0.982,0.938,2.95967135570762e-07
"Tox2",1.5907905697815e-11,-1.3998611981068,0.244,0.677,3.00532154443121e-07
"Tspyl4",2.24709382343397e-11,-1.14933246163289,0.577,0.877,4.24520965123145e-07
"Ring1",4.08435143996418e-11,-2.25135654494843,0.084,0.369,7.71615674038032e-07
"Bag6",7.72184396727364e-11,-1.71070263761001,0.186,0.554,1.45881076229734e-06
"Nacc2",8.20229015471942e-11,-1.84891101727768,0.126,0.446,1.54957665602959e-06
"Akap8l",1.31417970789302e-10,-1.79194791861387,0.158,0.492,2.48274830415149e-06
"Kmt2d",3.10383802277686e-10,-1.63639673296151,0.068,0.323,5.86377079263004e-06
"Wbp2",3.34489901076291e-10,-1.17828210457809,0.463,0.815,6.3191832111333e-06
"Cited2",4.09649407035096e-10,-2.34100954722313,0.074,0.323,7.73909659770703e-06
"Nfe2l1",5.98742307239901e-10,-1.4745898198889,0.22,0.585,1.13114396683762e-05
"Ar",7.25726926176599e-10,-1.79968345183346,0.046,0.262,1.37104330893283e-05
"Tcf4",2.94600014832999e-09,0.597686070590998,1,0.985,5.56558348022502e-05
"Rad21",3.09383742414535e-09,-1.71046554617276,0.142,0.446,5.8448776616954e-05
"Nap1l2",8.66634708960236e-09,-1.50934241716782,0.15,0.462,0.000163724629216768
"Hdac9",9.54028578231656e-09,-1.70245624197977,0.098,0.354,0.000180235078999524
"Prkca",1.83787990232326e-08,-1.14532298510081,0.407,0.754,0.000347212271146911
"Atxn7l3",2.83594320073968e-08,-1.2991616066306,0.202,0.538,0.000535766389483741
"Id2",3.86011002646227e-08,-0.619062465146321,0.93,0.985,0.000729251986199252
"Emc10",3.90258973832752e-08,0.891068842362313,0.92,0.738,0.000737277253364835
"Hmgn3",5.7887280712565e-08,0.985861078846377,0.87,0.785,0.00109360650722178
"Ubr2",6.24706095811123e-08,-1.71282723064792,0.092,0.323,0.00118019475620637
"Zkscan3",8.03371663792545e-08,-1.13751359638779,0.144,0.446,0.00151772974723688
"Ski",1.31514505212444e-07,-1.37959986978352,0.265,0.585,0.0024845720324735
"Camta2",1.50872404040458e-07,-1.32672065298182,0.204,0.508,0.00285028145713234
"Ddb1",1.58052150803002e-07,-1.46516388999259,0.194,0.492,0.00298592123297031
"Jade1",2.48134373210425e-07,-1.61716009474761,0.076,0.292,0.00468775457869135
"Mef2c",2.82203028704633e-07,0.806825783844342,0.964,0.985,0.00533137961828793
"Aff4",2.84735677397293e-07,-1.24542871004936,0.299,0.646,0.00537922641738965
"Maged1",3.04576129097035e-07,-1.02279125143913,0.577,0.831,0.00575405223090118
"Zmynd8",3.52848571953913e-07,-1.51917081066049,0.236,0.538,0.00666601522135333
"Suz12",4.4174623894628e-07,-1.67117326691937,0.1,0.323,0.00834546994617312
"Sf3b1",5.37567163438034e-07,-0.930638558589919,0.551,0.815,0.0101557188516713
"Kat6b",5.97059855964419e-07,-1.42243731903514,0.134,0.385,0.0112796547988798
"Per1",6.10860979732567e-07,-1.86040108630274,0.078,0.277,0.0115403856291077
"Mysm1",8.1949108984552e-07,-1.09165293977454,0.112,0.354,0.0154818256693616
"Nedd4",1.00523765804764e-06,-0.918311978493631,0.551,0.831,0.018990949835836
"Mbd5",1.06330118958043e-06,-1.96989287547207,0.09,0.292,0.0200878860735536
"Setd7",1.35986633466932e-06,-1.27038419810139,0.2,0.477,0.0256905947945727
"Kansl3",1.36679266454312e-06,-1.24463683026984,0.126,0.369,0.0258214470185486
"Prkcb",1.74365388078511e-06,-1.06522203241723,0.485,0.769,0.0329411091157924
"Ash1l",2.04839506197191e-06,-1.07836717256386,0.363,0.677,0.0386982795107733
"Hmgn1",2.07707816970788e-06,1.10575502342016,0.76,0.569,0.0392401607821212
"Mcrs1",3.01069561309815e-06,1.78147713635629,0.531,0.308,0.0568780615226502
"Hmgb1",3.80581699726415e-06,0.970745943542628,0.818,0.646,0.0718994947123144
"Hdac5",5.56918977083169e-06,-1.52382569465049,0.184,0.431,0.105213133150552
"Banf1",6.39757576759016e-06,0.947529435484188,0.758,0.677,0.120863001401313
"Fus",7.08002380984615e-06,-0.754048652181148,0.571,0.8,0.133755809815613
"Kcnq1ot1",7.32089285029012e-06,-0.824857304968919,0.433,0.754,0.138306307727681
"Scmh1",9.64704091529908e-06,-0.942855680254377,0.222,0.492,0.18225189697183
"Sirt2",1.09146850642719e-05,-1.24896427528394,0.261,0.523,0.206200230234225
