"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3f3a",0,1.66268846751952,0.989,0.947,0
"Meg3",0,-1.38309016072237,0.984,0.999,0
"Ptma",0,1.58044735491302,1,0.99,0
"Nap1l5",2.45976845558464e-221,-2.07112484977023,0.413,0.893,4.6469945662905e-217
"Actg1",1.95900514413507e-168,0.832202645578472,0.998,1,3.70095251829997e-164
"H3f3b",3.22116338161518e-168,0.811229745739292,0.998,0.994,6.0854218605474e-164
"Ppargc1a",9.28788136439616e-159,-2.24493434977446,0.182,0.668,1.75466654736172e-154
"Npm1",5.45109734694106e-158,1.34023548895238,0.905,0.789,1.02982131078411e-153
"Prmt1",2.52683390735978e-139,1.97050551615321,0.754,0.419,4.77369461778409e-135
"Gpx4",1.42041624555166e-138,-0.881807745759992,0.85,0.982,2.6834503710962e-134
"Sirt3",6.30874391919591e-119,-1.77465579893838,0.186,0.617,1.19184790121449e-114
"Hmgn3",2.8812098638658e-106,-1.21850744388468,0.447,0.844,5.44318167481527e-102
"Prkcb",1.37096931993553e-100,-2.46492468664973,0.11,0.443,2.59003523922221e-96
"Hdac2",1.73003313541718e-100,1.65616101995366,0.713,0.461,3.26837859943013e-96
"Cdk4",7.76766054146769e-99,2.22175923085272,0.607,0.294,1.46746642949408e-94
"Ran",1.38537559710233e-98,1.1245013231456,0.85,0.751,2.61725157804572e-94
"Aldoa",2.19037838386834e-92,-1.11508331745563,0.531,0.874,4.13806284280406e-88
"Dnmt3a",1.24592449149361e-87,-1.45483628689753,0.232,0.6,2.35380054932973e-83
"Actb",1.31670626089744e-80,0.351638958792337,0.996,0.997,2.48752146808745e-76
"Ppp3ca",6.73662649042144e-75,-0.727926282696178,0.803,0.968,1.27268347657042e-70
"Hnrnpa2b1",9.28602260387867e-75,0.818759191060965,0.897,0.878,1.75431539032476e-70
"Gnas",2.08015532287046e-73,-0.837338723742142,0.638,0.896,3.92982943596686e-69
"Hnrnpk",3.27219897041504e-72,0.924605941449566,0.873,0.85,6.18183829490808e-68
"Thrb",1.67082012328278e-70,-1.9746790882982,0.082,0.347,3.15651337690582e-66
"App",1.78002619681718e-68,-0.884613100372738,0.56,0.858,3.36282549102702e-64
"Zeb2",3.63216935078194e-65,0.99555520458038,0.839,0.798,6.86189433749724e-61
"Lsm11",3.43589792527411e-63,-1.50454399921845,0.156,0.439,6.49109836042786e-59
"Hmgn1",1.62960130074575e-62,0.967251434162526,0.804,0.733,3.07864277736887e-58
"Ddx5",1.10718144835896e-61,0.825034916779636,0.865,0.837,2.09168719223974e-57
"Nfix",2.29431019643613e-61,3.08201610193037,0.384,0.127,4.33441082310714e-57
"Nono",6.68169248088526e-60,1.29974160286992,0.655,0.495,1.26230534348884e-55
"Nfe2l1",2.48074043007867e-59,-1.59080827367299,0.132,0.395,4.68661482050463e-55
"Brd3",6.91295477277855e-56,1.56662583107937,0.562,0.339,1.30599541567332e-51
"Bmyc",5.33691833932704e-55,-0.769069716637712,0.543,0.842,1.00825061266566e-50
"Tspyl4",6.23055559933718e-55,-0.858347680690421,0.413,0.724,1.17707656382678e-50
"Barx2",7.6564686092366e-55,-1.92863599988024,0.068,0.281,1.44646004965698e-50
"Smc3",4.03797429245083e-54,1.97705264795509,0.439,0.188,7.62854103329811e-50
"Cbx1",6.42492918002926e-52,1.32761002714953,0.621,0.461,1.21379762069113e-47
"Smarcb1",7.95570975187427e-52,1.78530560232959,0.482,0.254,1.50299268632409e-47
"Gpx1",1.40117020244809e-51,-0.753198134117231,0.53,0.812,2.64709074646493e-47
"Satb1",8.28562295035278e-48,-0.686800295859212,0.605,0.874,1.56531988778065e-43
"Trim37",7.26532423018219e-47,-0.94659345831216,0.24,0.522,1.37256505356602e-42
"Smarce1",9.45899272855033e-46,1.42587600540205,0.551,0.37,1.78699290627773e-41
"Bend6",9.25656616432141e-45,-0.846385479979946,0.402,0.693,1.7487504797636e-40
"Fbl",1.38660097830862e-40,1.49962508967813,0.494,0.309,2.61956656822064e-36
"Top1",1.32109258902942e-39,0.716658870091009,0.813,0.791,2.49580811919438e-35
"Spin1",1.53722359732651e-39,-0.815714360515268,0.371,0.653,2.90412282006923e-35
"Arrb1",2.61046072696606e-39,-1.46051227630104,0.097,0.285,4.93168240538428e-35
"Hmgb1",3.08772334199342e-38,0.596802885719824,0.88,0.873,5.83332693769397e-34
"Nasp",2.07221973515211e-37,1.66931429592607,0.406,0.211,3.91483752364936e-33
"Dpf1",1.91892192563592e-36,1.30767759103158,0.504,0.323,3.62522730191137e-32
"Apex1",1.09471511222072e-35,1.57546959810264,0.428,0.244,2.06813579000738e-31
"Nap1l1",1.31778143602779e-35,0.85717588397572,0.682,0.634,2.4895526889437e-31
"Basp1",2.90695428712969e-35,-0.398224505977357,0.874,0.982,5.49181803924541e-31
"Satb2",6.76707121859367e-35,2.61656032293051,0.265,0.09,1.27843509461672e-30
"Fus",1.58860694007896e-33,0.809832557693054,0.732,0.678,3.00119623119718e-29
"Nsmf",8.60323923767911e-33,-0.782903022649148,0.273,0.515,1.62532395678234e-28
"Dr1",9.31218981859309e-33,-1.26046824256787,0.098,0.27,1.75925890052861e-28
"Tlk1",2.669476137282e-32,-1.09098571589064,0.124,0.307,5.04317431855315e-28
"Plcb1",3.67263551890533e-32,-0.495344388877473,0.567,0.82,6.93834302231596e-28
"Tmpo",5.14445818725069e-32,1.9848674317858,0.293,0.117,9.718910407354e-28
"Cggbp1",1.52303358281794e-31,-0.781828001732494,0.23,0.455,2.87731504465966e-27
"Hdac11",2.60858383830015e-31,-0.967534654383728,0.126,0.311,4.92813658731663e-27
"Kdm5b",8.88400845239831e-31,1.49706734155275,0.402,0.234,1.67836687682709e-26
