"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nap1l5",1.28061654110825e-30,-2.50649675596337,0.821,1,2.41934076946171e-26
"H3f3b",1.64577480149598e-29,1.7649485955849,1,0.984,3.1091977549862e-25
"Cbx6",1.39922650290895e-24,-2.86456339754449,0.139,0.778,2.64341870929559e-20
"Gnas",1.0495700518483e-17,-1.74753363562891,0.667,0.968,1.98284774195182e-13
"Ccnt2",1.49967016459702e-16,-1.93008863202846,0.198,0.746,2.83317687495669e-12
"Setd7",1.28632576540707e-15,-2.51545963396525,0.079,0.508,2.43012663600703e-11
"Ybx1",5.24268079476724e-15,1.99028226485498,0.829,0.508,9.90447255747426e-11
"App",6.25469342466489e-15,-1.72348895159106,0.607,0.889,1.18163668178769e-10
"Actg1",3.64959233887021e-14,1.02907889200166,0.984,1,6.8948098465936e-10
"Egr1",8.22848531855589e-14,-4.64193895940298,0.028,0.317,1.55452544638158e-09
"Cited2",1.64381366466153e-13,-2.7379490463379,0.052,0.397,3.10549277527857e-09
"Aldoa",8.85304652408269e-13,-1.08550523143628,0.746,0.952,1.6725175493297e-08
"Ogt",3.60343193425891e-12,-1.33303641562501,0.619,0.937,6.80760361020194e-08
"Tspyl4",1.36860907281982e-11,-1.29471442657461,0.456,0.873,2.5855762603712e-07
"Tcf4",2.0643535171362e-11,0.67792517724565,1,1,3.89997666457371e-07
"Nfe2l1",2.4218463905136e-11,-1.55417454810929,0.155,0.587,4.57535220095829e-07
"Ptma",3.03255342759403e-11,0.934536698091004,0.988,0.937,5.72909993541064e-07
"Ncoa2",4.60825079828665e-11,-1.89684276579806,0.087,0.444,8.70590740812314e-07
"Nr3c1",2.01550974276505e-10,-2.1955286679273,0.075,0.397,3.80770100603173e-06
"Ubr5",2.41241857898181e-10,-2.01306360716535,0.151,0.524,4.55754117941243e-06
"Zbtb7a",2.41346081477437e-10,-2.04496536976483,0.119,0.476,4.55951017127175e-06
"Ccar2",5.47319444702109e-10,-3.01865871664086,0.032,0.27,1.03399589493122e-05
"Thrb",1.30061739989786e-09,-1.83519391839135,0.083,0.397,2.45712639188704e-05
"Hmgb1",1.6590143569152e-09,1.31026276070697,0.817,0.698,3.13420992308419e-05
"Rit2",1.70211718683946e-09,-1.30178942851135,0.242,0.683,3.2156397893771e-05
"H3f3a",2.60869617823116e-09,0.910968832555633,0.94,0.905,4.92834881991431e-05
"Fus",1.78380470432593e-08,-1.09663618181404,0.516,0.857,0.000336996384741254
"Bcl11b",1.88192054160068e-08,-2.337567734792,0.036,0.254,0.000355532428719201
"Supt6",2.71510754792881e-08,-2.10060516190394,0.048,0.286,0.000512938117954711
"Ubr2",4.52825712809769e-08,-2.05628288813726,0.056,0.302,0.000855478336640215
"Zeb1",3.39857981550602e-07,-1.33443452062601,0.075,0.333,0.00642059698745398
"Mirg",4.14409334101849e-07,-1.24309608460284,0.123,0.429,0.00782902113985213
"Sirt2",9.02873308709444e-07,-1.1568949264006,0.198,0.54,0.0170570825481388
"Akap8l",9.68725704998752e-07,-1.55155011962498,0.103,0.365,0.0183011660188364
"Rif1",1.02659914833292e-06,-1.91937840820256,0.056,0.27,0.0193945111103054
"Stag2",1.51755994363705e-06,-1.85308644398942,0.083,0.317,0.0286697424551911
"Atxn1",1.84009936842583e-06,-1.51039553280567,0.147,0.429,0.0347631572683008
"Ncoa1",2.18410486272075e-06,-1.10745562383086,0.222,0.571,0.0412621090665205
"Ddx5",2.31602379919648e-06,-0.861256901220234,0.627,0.905,0.0437543216144198
"Setd1b",2.60817748686331e-06,-2.12506317911541,0.079,0.302,0.0492736890818216
"Maged1",2.87535424109945e-06,-1.13708173362307,0.46,0.81,0.0543211923228507
"Rad21",3.22836703733274e-06,-1.23120647945986,0.155,0.444,0.0609903100692901
"Banf1",3.29361054425417e-06,1.26828151835886,0.679,0.476,0.0622228904020498
"Acss2",3.61008740021081e-06,-1.77418481844638,0.056,0.254,0.0682017711647826
"Kmt2a",3.82186710193032e-06,-1.50207432528418,0.135,0.397,0.0722027132896677
"Uhrf2",4.66268231685584e-06,-1.35885330821606,0.127,0.397,0.0880873943300406
"Kcnq1ot1",4.74293232351757e-06,-0.947275464564691,0.31,0.667,0.0896034774558939
"Bcl11a",5.71159983337708e-06,-1.63490287324846,0.131,0.381,0.10790354405216
"Hdac5",5.79296423113988e-06,-1.78901785245553,0.099,0.333,0.109440680254695
"Sp3",5.99737866491331e-06,-1.43618535230864,0.079,0.302,0.113302477737542
"Chd6",8.15020897311976e-06,-1.16058157571807,0.155,0.444,0.153973747920178
"Mta1",9.58494853598448e-06,-1.0435831468213,0.095,0.333,0.181078847741819
"Mecp2",1.01642707172685e-05,-1.27976889355846,0.159,0.429,0.192023402390637
"Ring1",1.05298218436793e-05,-1.16750091770488,0.095,0.333,0.19892939427079
"Lrif1",1.51686626745547e-05,-2.03064886411125,0.063,0.254,0.286566375247687
"Hmgn3",3.28787924284688e-05,0.853023785961453,0.821,0.81,0.621146146558633
"Creb1",3.97952591744737e-05,-1.19672737437296,0.091,0.302,0.751812036324157
"Cbx4",4.6086867580131e-05,-1.21172273031621,0.091,0.302,0.870673102323834
