"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"App",0,-2.20611162059244,0.469,0.886,0
"Zeb2",0,1.19730857715035,0.927,0.714,0
"H3f3a",0,1.23880585687881,0.997,0.923,0
"Meg3",0,-1.63021637044216,0.962,1,0
"Ptma",0,1.47034841478517,1,0.979,0
"Cdk4",5.20614233717404e-257,1.85227186993726,0.638,0.218,9.8354441033892e-253
"Actg1",2.97465243603524e-228,0.61826451098329,0.995,0.989,5.61971338215777e-224
"Banp",1.22207887381319e-202,-1.47127033324908,0.386,0.667,2.30875140840788e-198
"Morf4l1",9.43340752570299e-164,-0.684518041166128,0.874,0.939,1.78215934975581e-159
"Hmgb1",3.718599316835e-152,0.618450875053213,0.955,0.852,7.02517782936468e-148
"Xist",3.8761126877602e-147,-1.1940265937273,0.332,0.607,7.32275208971657e-143
"Satb2",1.32014581854452e-145,0.951218510969226,0.774,0.494,2.49401948039431e-141
"Prkcb",1.21307035808895e-144,-1.7827951963548,0.218,0.461,2.29173252050164e-140
"Sirt3",4.30729442003871e-140,-1.86834336106393,0.175,0.413,8.13734061833713e-136
"Hmgn1",1.3946446776798e-132,0.917729470363947,0.775,0.516,2.63476272507268e-128
"Aldoa",7.36226967133222e-131,-1.34077978967604,0.363,0.569,1.39087998630808e-126
"Thra",3.97400923787366e-128,0.483181463092822,0.976,0.92,7.50769825219091e-124
"Set",2.89269513737311e-127,0.870325939574994,0.766,0.491,5.46487965352528e-123
"Dpf1",1.11645386485519e-115,1.51291692754407,0.407,0.142,2.10920464148442e-111
"Prmt2",5.01241763629903e-115,1.1906377180137,0.535,0.253,9.46945939849612e-111
"Kdm2b",1.00835495743973e-106,1.26225727503915,0.456,0.185,1.90498418559514e-102
"Nr1d1",2.28805934252844e-105,-2.19193211567653,0.073,0.25,4.32260170990473e-101
"Brd3",5.35463424564343e-105,1.20319208847953,0.477,0.208,1.01159750168696e-100
"Actb",4.00255653257926e-101,0.363093982410486,0.992,0.974,7.56162980134874e-97
"Enc1",5.34369826109302e-100,0.78105897122466,0.697,0.449,1.00953147548569e-95
"Prmt1",3.45250418708321e-97,1.06737942145614,0.531,0.271,6.52247091023759e-93
"Gpx4",5.46511788653942e-97,-0.487152881973203,0.915,0.932,1.03247007112503e-92
