"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptma",0,1.89648267068062,0.998,0.862,0
"Actg1",1.219050707505e-285,1.73089502865652,0.991,0.751,2.30303059661844e-281
"Ccnd2",3.89488799028352e-281,4.36831752443487,0.75,0.115,7.35822239124362e-277
"Npm1",1.03035693729732e-271,1.99959832476988,0.956,0.457,1.94655032594209e-267
"Ran",1.04551465253087e-237,1.83294331421623,0.942,0.503,1.97518628156131e-233
"H3f3b",2.96930476039599e-234,1.16786169486773,0.999,0.889,5.60961055334011e-230
"H3f3a",4.88339172986765e-212,1.21752078166312,0.996,0.833,9.22570365606597e-208
"Hmgn1",2.57948882649714e-211,1.60963273658273,0.948,0.517,4.87317029101841e-207
"Sox10",8.83558552979621e-204,-2.87639461396017,0.195,0.672,1.6692188182891e-199
"Cdk4",1.02947943979091e-180,1.57370344367703,0.904,0.438,1.94489255765298e-176
"Sox9",1.0714531258874e-161,2.80018878705972,0.532,0.062,2.02418924542648e-157
"Ccnt2",4.76316595423513e-156,-2.85560235758136,0.198,0.589,8.99857312074101e-152
"Tcp1",1.79174980084864e-142,1.80993166152582,0.682,0.181,3.38497372376324e-138
"Anp32b",7.58401836850758e-142,2.2326145653909,0.6,0.136,1.43277275017845e-137
"Nudt21",2.43795324014822e-123,1.67829286942939,0.666,0.199,4.60578126128801e-119
"Bcl11a",1.79661429897823e-121,4.92558361790751,0.336,0.009,3.39416373362967e-117
"Meg3",2.22689550711737e-114,-0.83292721141547,0.456,0.825,4.20705099204613e-110
"Prmt1",3.28002148099588e-106,1.41974928695084,0.682,0.239,6.19661658189741e-102
"Nap1l5",5.34544357999152e-106,-1.52140092798801,0.408,0.696,1.009861201132e-101
"Nap1l1",1.23771190851147e-105,1.30015469786252,0.755,0.315,2.33828533755988e-101
"Hdac2",1.88633646311479e-104,1.4892732865105,0.636,0.203,3.56366684611646e-100
"H1f0",4.01655451912224e-98,1.59197555179731,0.663,0.255,7.58807479752573e-94
"Hmgb2",7.3868335324397e-96,1.92905224410668,0.639,0.295,1.39552059094851e-91
"Ezh2",1.15965597664687e-87,1.58370997512044,0.506,0.142,2.19082207108127e-83
"Anp32e",2.46105317453519e-87,1.48173022226996,0.615,0.218,4.64942165733188e-83
"Fbl",1.10054215505578e-86,1.4103595578502,0.553,0.166,2.07914423933138e-82
"Ybx1",1.39634039646985e-83,1.04159976562436,0.775,0.374,2.63796627701084e-79
"Hmgn2",1.41132471518916e-82,1.41882230211046,0.719,0.376,2.66627465193537e-78
"Set",3.27739770059314e-79,1.11900277254989,0.722,0.31,6.19165973596057e-75
"Mbd3",3.90356052262496e-78,1.14656682856249,0.655,0.249,7.37460653934308e-74
"Ssrp1",5.75881248760294e-75,1.25921421947717,0.549,0.183,1.08795485515795e-70
"Pole3",3.24375184229732e-73,1.8218104450628,0.354,0.071,6.1280959804681e-69
"Sirt2",3.50402155953171e-73,-1.21255727980713,0.472,0.637,6.6197975302673e-69
"Hnrnpk",1.25244387784442e-70,0.700587242649486,0.945,0.711,2.36611697402367e-66
"Yeats4",5.51477169531543e-70,1.29810010589856,0.472,0.138,1.04185066867899e-65
"Apex1",9.12137371470161e-69,1.30698321657401,0.485,0.154,1.72320992218143e-64
"Dnajc9",9.99708330770737e-68,1.4643324583597,0.454,0.144,1.88864897849208e-63
"Rbbp4",1.15361882585818e-67,1.17919394036993,0.527,0.183,2.17941668581127e-63
"Mef2c",1.99360630620248e-67,3.2393588073119,0.305,0.06,3.76632103367772e-63
"Cdk1",1.04726865659459e-66,2.40576994707581,0.304,0.059,1.97849994603849e-62
"Xist",3.40748849899449e-65,-1.80381087967542,0.367,0.569,6.4374272723004e-61
"Cks2",4.01453763099287e-64,1.73411046069793,0.38,0.111,7.58426449247174e-60
"Mad2l2",7.48884156328903e-63,1.38851096471845,0.424,0.127,1.41479194813656e-58
"Ctnnb1",7.78861115874628e-62,0.978968417312236,0.563,0.207,1.47142442011035e-57
"Smc4",1.70426859816562e-59,1.30571430664411,0.416,0.135,3.21970423565449e-55
"Ndn",3.11079635615055e-58,1.05053131660169,0.567,0.23,5.87691647603962e-54
"Sumo1",1.93780558802001e-57,0.71308242820563,0.847,0.488,3.6609023168874e-53
"Dek",2.49414008667419e-57,1.02681857631881,0.628,0.305,4.71192945174487e-53
"Banf1",2.46177093798471e-56,0.883894774065927,0.663,0.316,4.65077765604071e-52
"Hes5",5.41584426204657e-56,-1.38046135934687,0.383,0.593,1.02316129798584e-51
"Egr1",7.09278427999229e-55,0.797310150530976,0.406,0.124,1.33996880617614e-50
"Zbtb18",1.72977798246787e-54,1.80965528627486,0.287,0.063,3.26789656447829e-50
"Tmpo",9.79903958356688e-54,0.993443791475782,0.538,0.229,1.85123455812745e-49
"Ogt",1.44170227950501e-53,-1.47695938246418,0.376,0.533,2.72366394644087e-49
"Nasp",7.62160147610511e-53,0.946391678828781,0.55,0.231,1.43987295086578e-48
"Nfix",7.8179500198886e-53,0.986577972471688,0.633,0.314,1.47696711775735e-48
"Cenpa",2.08280486041196e-52,1.2098264555612,0.325,0.09,3.93483494229028e-48
"Trp53",2.07784501529277e-51,1.10300214491719,0.416,0.139,3.9254648028911e-47
"Swi5",9.58294434505676e-51,0.747728381038018,0.769,0.426,1.81040984566812e-46
"Dpy30",4.59819013568018e-50,0.865050097059209,0.543,0.221,8.686900804327e-46
"Sfr1",5.75361250940769e-50,0.711319666576031,0.693,0.336,1.0869724752773e-45
"Nono",2.89616748774947e-49,0.766886219188556,0.692,0.337,5.4714396178563e-45
"Smarce1",4.12231021407214e-49,0.846155254003355,0.545,0.225,7.78786845642508e-45
"Hat1",2.6191376766869e-48,1.69871161827925,0.272,0.065,4.94807489879689e-44
"Lmnb1",1.75865776422138e-47,1.08639903776374,0.355,0.111,3.32245624816702e-43
"Tipin",1.77503656777981e-47,1.05159330183203,0.446,0.174,3.35339908384961e-43
"Naa50",2.71904683114364e-47,1.01895437802048,0.392,0.131,5.13682327339656e-43
"Prkca",6.22063937120361e-47,-2.88687147697953,0.076,0.25,1.17520319000779e-42
"Brd3",1.46310802083244e-46,0.837958140550838,0.485,0.191,2.76410367295665e-42
"Actb",2.13060106269322e-46,0.5428532968875,0.985,0.918,4.02513152764004e-42
"Pink1",3.1337718744559e-46,1.39037752803249,0.286,0.074,5.92032182522209e-42
"Chd3",3.83980237860262e-45,0.993625355714419,0.383,0.131,7.25415465365607e-41
"Smc2",1.61649904201721e-43,0.9444759624749,0.403,0.154,3.05388999017891e-39
"Nr3c1",4.31424937245717e-42,-2.24454948047115,0.129,0.3,8.15047991444609e-38
"Gpx4",7.77076982461172e-40,0.611405099242123,0.809,0.49,1.46805383526565e-35
"Asf1a",9.86780628528311e-40,0.806124854169218,0.388,0.143,1.86422596341569e-35
"Top2a",1.6991322219166e-38,0.302227152270784,0.353,0.129,3.21000059364484e-34
"Rbmxl1",1.96532628588487e-37,0.683522334132913,0.573,0.275,3.7128944192937e-33
"Plcb1",8.70052996113515e-37,-2.19724625254464,0.117,0.274,1.64370412025765e-32
"Dnajc2",1.77195076432927e-36,0.935281229004408,0.309,0.105,3.34756938397086e-32
"Cfdp1",1.11476478510053e-35,0.598862995642332,0.527,0.237,2.10601363201192e-31
"Ruvbl2",5.2214997534672e-35,0.955288242750493,0.295,0.1,9.86445733425022e-31
"Trim27",5.95072890794933e-35,1.08876422138273,0.26,0.08,1.12421170528979e-30
"Cbx1",7.17910299460098e-35,0.597517333706908,0.629,0.318,1.35627613774002e-30
"Park7",4.53338703958005e-34,0.529603121299103,0.79,0.482,8.56447479517464e-30
"Rbbp7",6.44241958962212e-34,0.686904487907583,0.42,0.178,1.21710190887141e-29
"Cbx5",8.02663133014418e-34,0.624361579292912,0.532,0.252,1.51639119089084e-29
"Hmgn5",9.22503362655217e-34,0.964761356214844,0.295,0.102,1.74279335272824e-29
"Sin3b",1.03785639468615e-33,0.620587427394427,0.533,0.25,1.96071830084107e-29
"Hdac3",1.21497104669332e-33,0.667935006346407,0.404,0.165,2.29532330141302e-29
"Prkcb",1.45161625489678e-33,-2.12502160827981,0.131,0.279,2.74239342875099e-29
"Eny2",4.46143807254821e-33,0.585140150973096,0.589,0.293,8.42854880665808e-29
"Rpa2",1.29896710029433e-32,1.15577510285229,0.277,0.098,2.45400864587606e-28
"Smarcc1",2.40756763412097e-32,0.689559151795107,0.435,0.193,4.54837677438134e-28
"Maged1",2.9482420258585e-32,0.616811486020546,0.711,0.413,5.56981883525189e-28
"Tdg",1.68581445045305e-31,0.604033268971,0.385,0.158,3.1848406597959e-27
"Zeb1",1.88608828886228e-31,-1.12205663339132,0.49,0.559,3.56319799531863e-27
"Cops5",1.93281943334504e-31,0.627823347527085,0.449,0.2,3.65148247347544e-27
"Nap1l4",3.37117383430632e-31,0.532423525285381,0.512,0.241,6.36882160777151e-27
"Tcf3",1.41347454347554e-30,0.677768570169351,0.407,0.177,2.670336107534e-26
"Babam1",2.7409240830872e-30,0.757238221097758,0.304,0.113,5.17815377776834e-26
