"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccnd2",0,6.70865629299239,0.946,0.047,0
"Hes5",0,8.49191721233904,0.741,0.014,0
"Mef2c",0,-2.34310895589826,0.305,0.98,0
"Sox9",0,7.19363986473061,0.681,0.011,0
"Meg3",0,-3.21505992344781,0.354,0.997,0
"Fos",0,5.88868945589258,0.626,0.042,0
"Sox2",0,6.91236796840911,0.511,0.009,0
"Hmgb2",3.71082776292829e-303,4.56212442170376,0.585,0.075,7.01049580972412e-299
"Notch1",6.0543196878553e-300,6.91380250077289,0.412,0.006,1.14378207542962e-295
"Thra",7.02033346406814e-299,-1.90172559361177,0.569,0.977,1.32628139803175e-294
"Basp1",5.65073137710224e-274,-2.44383678820355,0.262,0.908,1.06753617176215e-269
"Ptma",4.88741541954076e-257,-1.04767184071028,0.982,1,9.2333052105964e-253
"Pbxip1",1.36647116420626e-240,8.44782185546964,0.323,0.002,2.58153732341847e-236
"Nfix",2.01756266872971e-221,-1.59241202501661,0.604,0.952,3.81157939376417e-217
"Prdx1",1.31094122641246e-207,1.68056121802141,0.928,0.681,2.47663016493842e-203
"Bcl11a",4.09042138954173e-204,-2.14611471410151,0.273,0.829,7.72762408912223e-200
"Pax6",1.37094542430786e-196,6.63401149754028,0.286,0.006,2.58999009560241e-192
"Egr1",2.74040252260354e-188,3.44927327059601,0.491,0.096,5.17716844570261e-184
"Tle4",3.30542353427242e-175,-3.40487050864524,0.081,0.637,6.24460614094746e-171
"Bend6",5.39873436873392e-171,-3.27630571462851,0.098,0.634,1.01992889694121e-166
"Hmg20b",2.43159299339281e-152,3.84298659791723,0.327,0.038,4.5937654831177e-148
"Zbtb18",9.56742048174969e-152,-2.01861475313868,0.26,0.748,1.80747707741215e-147
"Jun",3.47379891296656e-151,2.31009381195762,0.654,0.261,6.56270090637642e-147
"Chd3",2.80053126701085e-144,-2.06092299233995,0.247,0.72,5.29076366963689e-140
"Zeb1",3.91713113875318e-137,4.55526535366563,0.253,0.018,7.4002441473325e-133
"Id2",1.59717790139305e-135,-1.29644673061623,0.751,0.949,3.01738849131174e-131
"Zeb2",6.78147212993265e-135,-1.62571054176165,0.384,0.805,1.28115571478688e-130
"Actl6b",6.07004575601278e-119,-2.70619073589717,0.118,0.55,1.14675304422593e-114
"Bcl11b",1.39651448698012e-117,-3.29243480302453,0.066,0.492,2.63829516880284e-113
"Hmgn1",2.21532186318383e-116,1.06384461226654,0.91,0.754,4.1851860639269e-112
"Tbr1",2.37629715416631e-98,-3.67687008710879,0.045,0.416,4.489300583651e-94
"Usp22",1.94677081043648e-94,-1.73725179907482,0.224,0.61,3.67783941507659e-90
"Enc1",3.37730801066057e-94,-2.12366538646744,0.156,0.54,6.38041029373995e-90
"Tcf3",7.39036694764389e-91,2.45367873874909,0.373,0.111,1.39618812374888e-86
"Hmgb1",1.40252683553666e-84,-0.792257395304063,0.75,0.933,2.64965369769587e-80
"Tshz3",2.15236162433213e-84,-3.18409515579845,0.05,0.387,4.06624158068825e-80
"Ppp3ca",8.16307901698362e-80,-1.10984258907698,0.479,0.792,1.54216888788855e-75
"Ndn",3.60825743391508e-79,-1.23610074853712,0.57,0.808,6.81671994415236e-75
"Smarcd3",3.28216411695221e-77,-1.62129348769939,0.228,0.582,6.20066444974612e-73
"Mkrn1",3.33665155944054e-74,-1.35248124983688,0.298,0.639,6.30360212609507e-70
"Rtf1",2.40953500143048e-72,-1.13577463165727,0.423,0.728,4.55209352470247e-68
"Aldoa",7.18672649437367e-72,1.09866578694904,0.756,0.556,1.35771636931707e-67
"Actg1",2.62117783518875e-70,-0.610895399577331,0.987,0.996,4.95192916623859e-66
"Smarca2",1.05130663858815e-68,-1.46279766022163,0.264,0.591,1.98612850162073e-64
"Bmyc",2.19862235853734e-66,-1.22639485207248,0.314,0.64,4.15363735974874e-62
"Ctbp2",1.31220647419329e-65,2.37545256899676,0.288,0.085,2.47902047104597e-61
"Hmgn3",1.09152834449101e-64,1.01802322080475,0.786,0.62,2.06211534841241e-60
"Nedd4",1.79294323648055e-62,1.05653012398641,0.701,0.503,3.38722836235905e-58
"Apbb1",4.08119126427758e-62,-1.29403107646921,0.287,0.601,7.71018653647321e-58
"Plcb1",8.53279968354115e-62,-2.2015251179413,0.095,0.38,1.6120165162146e-57
"Nucks1",4.16212760874473e-61,-1.12713034891662,0.353,0.662,7.86309147844054e-57
"Bcl7a",6.02234727095633e-58,-1.63893982249137,0.172,0.467,1.13774184642907e-53
"H1f0",1.47078719726688e-55,1.32709140494876,0.617,0.425,2.77861117307659e-51
"Kmt2e",3.42005507364328e-53,-0.912620359267535,0.447,0.722,6.46116804512688e-49
"Foxp1",3.44309658367535e-52,-1.20627268971772,0.23,0.528,6.50469806587947e-48
"Plk2",3.13557532402422e-50,-1.6296653391197,0.139,0.404,5.92372890214655e-46
"Atrx",5.76223807928662e-49,-0.944031319225077,0.415,0.687,1.08860201793883e-44
"Satb2",1.61445351354099e-48,-1.61124777719977,0.134,0.394,3.05002557778164e-44
"Actb",1.74482850806046e-48,-0.49639729908549,0.965,0.995,3.29633001742782e-44
"Dpf1",8.59188435118287e-47,-1.79104583205318,0.115,0.363,1.62317879162547e-42
"Gsk3b",6.00773733254642e-45,-0.686047362767381,0.62,0.829,1.13498173686467e-40
"Pak1",7.16330150716387e-45,-1.60815972351188,0.139,0.387,1.3532909207334e-40
"Ube2b",1.77341625567258e-44,-0.806257340775386,0.522,0.755,3.35033799021664e-40
"Srpk2",3.543401275174e-44,-0.868917304071505,0.42,0.688,6.69419368905873e-40
"Kdm2b",5.03873649646082e-44,-1.44376499606518,0.162,0.413,9.51918098911378e-40
"Ogt",2.13845085047289e-43,-0.983059558035985,0.335,0.599,4.03996134671338e-39
"Zfp57",1.48178557118878e-42,-2.41999442954668,0.067,0.278,2.79938930108984e-38
"Znhit1",2.22499521555046e-42,-1.20176741647485,0.233,0.489,4.20346096121793e-38
"Tspyl4",2.21712177098626e-41,-1.63846939080832,0.128,0.359,4.18858644974725e-37
"Arid4a",4.55320445181339e-41,-1.40274111186099,0.162,0.404,8.60191385036586e-37
"Sirt2",6.0711917270656e-41,1.19122058988346,0.507,0.321,1.14696954107723e-36
"Zmynd8",1.98330213961787e-40,-1.36150312511294,0.157,0.403,3.74685440216609e-36
"Fezf2",1.66733996764685e-39,-1.84581747738376,0.104,0.319,3.14993866687842e-35
"Sap30",1.43123235852055e-38,1.6873668814505,0.316,0.147,2.70388417171703e-34
"Smarcc2",2.07084737464524e-38,-1.35562803911918,0.158,0.392,3.91224486017979e-34
"Morf4l1",6.54737313250139e-35,-0.470518138117373,0.828,0.92,1.23692973219216e-30
"Hnrnpk",6.42170026825914e-34,0.530235206202357,0.893,0.836,1.21318761467952e-29
"Prmt1",7.05830726621657e-33,-0.784087324732006,0.452,0.661,1.33345540873363e-28
"Slf1",5.01410951488262e-32,-1.68827015757601,0.082,0.267,9.47265569551625e-28
"Asf1a",9.1743267790623e-32,1.53060205491117,0.3,0.149,1.73321381510045e-27
"Cdk4",9.45336374202415e-32,0.739697407310958,0.702,0.588,1.7859294781432e-27
"Anp32e",8.72241575725975e-31,1.24501288336682,0.408,0.254,1.64783878486151e-26
"Prmt2",1.24003164735737e-30,-0.877949566806866,0.299,0.524,2.34266778818754e-26
"Top2b",3.56145769369468e-30,-0.971913562075818,0.239,0.452,6.72830587492798e-26
"Hdac2",2.93610253734205e-29,-0.689788438904254,0.419,0.637,5.54688491354661e-25
"Lhx2",8.69006354466212e-29,1.68414352005691,0.266,0.132,1.64172680485757e-24
"Psip1",6.59221013639251e-28,-0.720378557601002,0.4,0.613,1.24540033896727e-23
"Auts2",9.19749919930134e-28,-0.888032385099568,0.286,0.492,1.73759154873201e-23
"Smarcd1",1.5969257346893e-27,-1.13698537889717,0.175,0.368,3.01691209797503e-23
"Prkcb",4.60683505004267e-27,-1.28077964650349,0.122,0.302,8.70323277654061e-23
"Smarce1",7.025078268324e-27,-0.838158772522617,0.295,0.502,1.32717778645177e-22
"Tspyl1",2.37374012343714e-26,-1.21406601029305,0.133,0.312,4.48446984119745e-22
"Satb1",2.46929063641983e-26,-1.06085121146654,0.189,0.378,4.66498387032433e-22
"Dhx30",2.58352560589631e-25,-0.743608212392248,0.305,0.518,4.88079657465931e-21
"Mtf2",4.7534962872206e-25,-1.36996352803685,0.113,0.278,8.98030518581716e-21
"Smyd2",5.11153111885017e-25,-1.1560835753498,0.133,0.306,9.65670458973175e-21
"Ybx1",2.71639013403247e-24,-0.486829352672404,0.632,0.783,5.13180424121414e-20
"Hp1bp3",4.50469998531222e-24,-0.705244909434252,0.33,0.535,8.51027921225184e-20
"Wdr13",2.61205135368248e-23,-1.25710233669204,0.104,0.259,4.93468741737695e-19
