"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcl11b",1.16727780606707e-285,-5.19563427245102,0.066,0.928,2.20522123122191e-281
"Ccnd2",1.79329760892004e-278,5.20825458494071,0.946,0.164,3.38789784277174e-274
"Meg3",6.69690326956001e-276,-3.6618337773194,0.354,0.981,1.26517896568528e-271
"Mef2c",2.25397993764146e-232,-2.6068449513332,0.305,0.997,4.25821889819224e-228
"Hes5",1.01205314476731e-212,8.78677845652657,0.741,0.011,1.91197080109441e-208
"Fezf2",6.03715753144792e-212,-3.86762557525554,0.104,0.839,1.14053980084114e-207
"Basp1",1.40226841922708e-209,-2.64106882056347,0.262,0.938,2.64916549760379e-205
"Sox9",4.94984504242441e-188,7.44613459755105,0.681,0.011,9.35124725414819e-184
"Bhlhe22",2.46430756892491e-171,-3.99860852824031,0.071,0.709,4.65556985921293e-167
"Enc1",1.12869629001864e-170,-3.4550654264419,0.156,0.776,2.13233303110321e-166
"Foxp1",1.34919973759033e-159,-2.47589845320842,0.23,0.863,2.54890814425566e-155
"Thra",1.97901182532595e-157,-1.64391733783918,0.569,0.968,3.73874914040578e-153
"Fos",9.57691370371041e-154,6.15159090373792,0.626,0.046,1.80927053690497e-149
"Bcl11a",1.26029071958218e-153,-2.18281299020283,0.273,0.889,2.38094122743465e-149
"Chd3",1.26905711566843e-148,-2.36090681151482,0.247,0.829,2.39750270292081e-144
"Bend6",7.13672153087962e-137,-3.14759638905141,0.098,0.671,1.34826943161378e-132
"Hmgb2",4.4877310560251e-128,4.84975152471265,0.585,0.074,8.47822151104262e-124
"Sox2",2.79009869296195e-122,5.82408486682698,0.511,0.02,5.27105445074371e-118
"Hmgn1",4.22661281076766e-112,1.42951443386613,0.91,0.753,7.98491692210227e-108
"Prdx1",3.19747811540278e-103,1.40033880925428,0.928,0.749,6.04067565561894e-99
"Egr1",1.59163359009506e-97,4.4872959878374,0.491,0.066,3.00691417840759e-93
"Actl6b",2.1956108884366e-97,-2.52567773648269,0.118,0.592,4.14794809043443e-93
"Zbtb18",1.37871170486497e-95,-1.66616269251412,0.26,0.778,2.60466215283091e-91
"Notch1",1.9036906802731e-95,5.91803299260487,0.412,0.01,3.59645243317195e-91
"Pak1",1.42633081820548e-92,-2.30549106250913,0.139,0.613,2.6946241817538e-88
"Nfia",4.15509050761076e-88,1.85646315293018,0.745,0.382,7.84979698697825e-84
"Jun",2.76347813415724e-83,2.44025913871836,0.654,0.283,5.22076289104986e-79
"Actg1",2.685136994791e-82,-0.881079046526324,0.987,0.998,5.07276081055916e-78
"Tshz3",3.4996727917892e-81,-3.37226909540031,0.05,0.43,6.61158183824816e-77
"Plk2",9.56859418744706e-80,-2.13576612164401,0.139,0.573,1.8076988138925e-75
"H1f0",3.88841672195023e-76,2.53258566764556,0.617,0.297,7.34599687110837e-72
"Usp22",1.63778334077277e-75,-1.63258328948192,0.224,0.675,3.09410028738792e-71
"Pbxip1",5.02858748998372e-75,8.7949988820674,0.323,0.002,9.50000748607724e-71
"Znhit1",1.36835886718762e-69,-1.61781490621843,0.233,0.662,2.58510357189085e-65
"Dpf1",2.54340163305861e-67,-2.05960665474292,0.115,0.503,4.80499436517432e-63
"H3f3b",6.50267925395025e-66,0.588887696890114,1,0.993,1.22848616465628e-61
"Plcb1",9.54440372998908e-65,-2.1619562669192,0.095,0.455,1.80312875266954e-60
"Pax6",3.46091943985817e-63,6.8748243498875,0.286,0.006,6.53836900578005e-59
"Hmgn3",3.53061499022314e-59,1.3319478246816,0.786,0.628,6.67003783952956e-55
"Satb1",3.79550979345662e-59,-1.96850613707066,0.189,0.556,7.17047710179824e-55
"Actb",2.22448445185852e-57,-0.976619140167363,0.965,0.999,4.20249602645112e-53
"Hmg20b",8.14359525525027e-57,4.18405127259159,0.327,0.045,1.53848801562188e-52
"Mkrn1",1.02654011527738e-54,-1.21814889558491,0.298,0.697,1.93933958578204e-50
"Tox",6.93899205353829e-49,-1.82529207047648,0.095,0.405,1.31091437875445e-44
"Rtf1",9.68861109361272e-48,-1.02119149480712,0.423,0.788,1.83037240780531e-43
"Nucks1",3.45809135087732e-46,-1.09913812132993,0.353,0.72,6.53302618007743e-42
"Ybx1",1.0348459216813e-45,-0.771183490791084,0.632,0.889,1.95503091524031e-41
"Tspyl4",2.16271040254403e-45,-1.58586225795163,0.128,0.439,4.08579249248619e-41
"Zeb2",4.97129991167718e-45,-1.09441841744081,0.384,0.729,9.39177979314053e-41
"Bcl7a",7.61641756378505e-45,-1.40667024922663,0.172,0.507,1.43889360615027e-40
"Tcf3",1.29252771568969e-43,2.69332557551138,0.373,0.119,2.44184336048096e-39
"Zfp57",3.36170228050249e-43,-2.36107719689418,0.067,0.323,6.35092794832531e-39
"Nedd4",8.40950167853276e-43,1.17479352739458,0.701,0.562,1.58872305710841e-38
"Satb2",1.18096560273078e-42,-1.60357043184697,0.134,0.435,2.231080216679e-38
"Mllt3",1.9440076746634e-42,-1.37834514796419,0.181,0.503,3.67261929897409e-38
"Smarca2",3.60439356312314e-42,-1.16525740454472,0.264,0.616,6.80942031945223e-38
"Atrx",1.87100276559252e-41,-0.930953789435428,0.415,0.782,3.53469842475739e-37
"Hnrnpk",4.46674087365049e-41,0.768611048989873,0.893,0.863,8.4385668585005e-37
"Bmyc",7.63645900059951e-41,-0.977392662873878,0.314,0.68,1.44267983439326e-36
"Smarcc2",2.06811009194345e-40,-1.34929499059274,0.158,0.47,3.90707358569957e-36
"Smarcd3",1.01735218841485e-39,-1.25812862565611,0.228,0.56,1.92198175435334e-35
"Wdr13",3.56199221335686e-39,-1.5106746565822,0.104,0.376,6.72931568947377e-35
"Nfix",6.96379792951718e-39,-0.79587817910504,0.604,0.874,1.31560070484439e-34
"Tle4",6.64022101427693e-38,-2.3842759825363,0.081,0.322,1.2544705540172e-33
"Aldoa",7.55195195501666e-38,1.03295473936144,0.756,0.644,1.42671476334175e-33
"Chd5",9.1529928974808e-38,-2.53156975204226,0.044,0.26,1.72918341819207e-33
"Ndn",6.07751914551636e-37,-0.885761434288143,0.57,0.833,1.14816491697095e-32
"Trim37",1.33805183736202e-36,-1.40695316485664,0.138,0.419,2.52784753114432e-32
"Prmt2",2.48419408033672e-36,-0.985620479542328,0.299,0.636,4.69313945657212e-32
"Asxl3",4.9540756518679e-36,-2.32824642969879,0.048,0.26,9.35923972150885e-32
