"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccnd2",0,-6.37824404058009,0.039,0.946,0
"Hes5",0,-8.30769945203427,0.014,0.741,0
"Basp1",0,2.42073318978238,0.925,0.262,0
"Sox9",0,-6.37896697163052,0.019,0.681,0
"Mef2c",0,2.88339700130142,0.934,0.305,0
"Fos",0,-5.12860172859656,0.065,0.626,0
"Sox2",0,-6.16163850881381,0.013,0.511,0
"Nfia",0,-2.33039676583543,0.249,0.745,0
"Hmgb2",0,-3.34291752421183,0.139,0.585,0
"Notch1",0,-7.20151121385742,0.005,0.412,0
"Egr1",0,-3.63675748276195,0.085,0.491,0
"Pbxip1",0,-7.50521118549794,0.003,0.323,0
"Pax6",0,-4.41996126466111,0.02,0.286,0
"Zeb1",0,-3.94464417360136,0.02,0.253,0
"Ptma",0,1.20951295735137,1,0.982,0
"Zbtb18",1.1482139042524e-305,2.4608707841234,0.884,0.26,2.16920570791363e-301
"Bcl11a",1.34751181155436e-250,2.32693381261165,0.843,0.273,2.5457193143885e-246
"Thra",9.52856997178868e-249,1.53013566304887,0.938,0.569,1.80013743907032e-244
"Hmg20b",1.43364120514177e-227,-3.20906800272823,0.056,0.327,2.70843496475384e-223
"Actg1",1.06452286457768e-224,0.902865560649288,0.998,0.987,2.01109659576015e-220
"Prdx1",5.88382025044135e-219,-1.4890950043457,0.742,0.928,1.11157132171338e-214
"Zeb2",5.79243376027677e-214,1.8652148595158,0.86,0.384,1.09430658599149e-209
"Satb2",1.20819132692623e-213,2.81618638799098,0.701,0.134,2.28251505482904e-209
"Enc1",2.31167831497476e-206,2.74183217672508,0.702,0.156,4.36722267265032e-202
"Nfix",9.03306548853953e-190,1.40025613174333,0.919,0.604,1.70652673209489e-185
"Meg3",6.28485971938574e-180,1.82597832575991,0.801,0.354,1.18733569818635e-175
"Jun",4.70581264198952e-178,-2.0970708840582,0.29,0.654,8.89022124324659e-174
"Aldoa",1.28911217162354e-168,-1.7279173244203,0.472,0.756,2.43539071463119e-164
"Actl6b",9.08325716901764e-153,2.76274258168928,0.585,0.118,1.71600894437081e-148
"Actb",1.20467243375283e-151,1.01005522433354,0.996,0.965,2.27586716184585e-147
"Tcf3",3.92545641459665e-137,-2.31716330234964,0.111,0.373,7.41597225845598e-133
"Foxp1",3.73090154426152e-122,2.2532001757228,0.612,0.23,7.04841919741886e-118
"Chd3",4.745410912026e-121,1.76492552991079,0.661,0.247,8.96503029499953e-117
"Bend6",3.94747292431609e-115,2.66418942286568,0.495,0.098,7.45756584861796e-111
"H1f0",3.70309451611727e-114,-1.67817078015422,0.342,0.617,6.99588615984874e-110
"Prmt1",4.69999163914885e-113,1.28491461312881,0.775,0.452,8.87922420468001e-109
"Hmgn3",1.18907826201833e-108,-1.24837604032634,0.592,0.786,2.24640665260502e-104
"Plk2",9.81441487716957e-108,2.29349584410001,0.522,0.139,1.85413925859487e-103
"Nedd4",1.4296700078358e-104,-1.26859179830345,0.46,0.701,2.70093257880339e-100
