"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tle4",0,-4.96252924162733,0.035,0.637,0
"Nfia",0,-2.63078512095297,0.249,0.811,0
"Bcl11b",0,-3.4489178026258,0.056,0.492,0
"Tshz3",0,-3.32127939079986,0.052,0.387,0
"Id2",0,-1.18437353504618,0.668,0.949,0
"Fezf2",0,-3.06355716545797,0.059,0.319,0
"Meg3",0,-1.38908159768791,0.801,0.997,0
"Satb2",6.70625344547582e-249,1.20493861079121,0.701,0.394,1.26694540091929e-244
"Cux1",6.96867235431879e-246,1.73772583345465,0.544,0.242,1.31652158117791e-241
"Lhx2",2.18452247071154e-208,2.21509477133922,0.406,0.132,4.12699985166825e-204
"Bhlhe22",4.81982016738824e-188,1.85075282295543,0.432,0.167,9.10560426022987e-184
"Tbr1",4.82690973786715e-179,-1.39682329399,0.193,0.416,9.11899787677863e-175
"Mef2c",4.71936332113514e-164,0.540288045403163,0.934,0.98,8.9158211862885e-160
"Smarcd3",3.58673069937376e-146,-1.02172368251158,0.382,0.582,6.77605163725691e-142
"Npm1",8.40335803211569e-141,0.564737231310252,0.904,0.792,1.5875623994273e-136
"Actb",1.26637466363039e-104,0.513657925248054,0.996,0.995,2.39243501453053e-100
"Mycn",1.67925823331621e-89,1.39102706327309,0.319,0.149,3.17245465438098e-85
"Zmynd8",1.1817332196586e-88,-0.986713915234903,0.241,0.403,2.23253039857903e-84
"Foxp1",8.64063504101873e-87,1.04692748600508,0.612,0.528,1.63238877194926e-82
"Ndn",7.21383221124905e-86,-0.669963541857095,0.719,0.808,1.36283718134917e-81
"Enc1",9.68434733863058e-84,0.618166790257639,0.702,0.54,1.82956689921409e-79
"Prmt1",1.07589110486477e-76,0.5008272883968,0.775,0.661,2.03257347531053e-72
"Cdk4",1.04565317937803e-74,0.600800668062774,0.733,0.588,1.97544798648097e-70
"Bend6",3.99176005632203e-72,-0.612116291762829,0.495,0.634,7.54123309840358e-68
"Sap30",5.98100374587458e-65,1.16643880587625,0.29,0.147,1.12993122767062e-60
"Pole4",4.19429644815038e-59,0.659167163917312,0.548,0.406,7.92386484984569e-55
"Zfp462",7.14954189496058e-56,0.795095907932783,0.451,0.311,1.35069145479595e-51
"Prkcb",7.52858651637165e-56,-0.980903000946353,0.188,0.302,1.42230056467293e-51
"Kat6b",7.12146554323897e-49,-0.765629429112636,0.209,0.323,1.34538727042871e-44
"Satb1",8.92326874369716e-49,-0.660434600831722,0.257,0.378,1.68578393105927e-44
"Plk2",1.1687413964301e-46,0.663830504980302,0.522,0.404,2.20798624613575e-42
"Cdkn1c",1.89971520639408e-46,0.830567082429571,0.326,0.2,3.58894196791969e-42
"Aldoa",1.17031801292655e-43,-0.629251537471265,0.472,0.556,2.21096479002084e-39
"Xist",5.01241191008965e-31,-0.566618166154716,0.336,0.428,9.46944858054137e-27
"Tbl1x",1.84140140847483e-21,0.60919315742573,0.288,0.211,3.47877554089066e-17
"Ccnt2",7.94691088846714e-21,-0.508589221292349,0.268,0.341,1.50133040504921e-16
"Mllt3",3.83160217548203e-19,0.512127204158922,0.401,0.327,7.23866282992065e-15
"Akirin1",6.0401626314227e-19,-0.563875999934438,0.198,0.263,1.14110752432838e-14
