"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zbtb18",0,1.57836758493396,0.884,0.393,0
"Arx",0,-6.01097944147944,0.013,0.489,0
"Dlx1",0,-5.724503541524,0.016,0.439,0
"Satb2",0,1.65905709801437,0.701,0.293,0
"Dlx5",0,-5.75189552186001,0.014,0.415,0
"Dlx2",0,-5.70156012363721,0.012,0.356,0
"Bcl11b",0,-3.08346512783513,0.056,0.39,0
"Tshz3",0,-3.59953267485952,0.052,0.384,0
"Cbfa2t3",0,-2.92366594925413,0.049,0.266,0
"Meg3",0,-1.09877890094085,0.801,0.981,0
"Nfix",8.79455487934813e-303,0.969758087882476,0.919,0.526,1.66146730780645e-298
"Enc1",5.46634906806407e-215,1.24413054369426,0.702,0.394,1.03270266593866e-210
"Foxp1",2.35546748341255e-199,1.6000071114106,0.612,0.337,4.44994916966299e-195
"Satb1",1.59407793399888e-174,-1.61542737186475,0.257,0.486,3.01153203291068e-170
"Lhx2",3.57225073693451e-148,1.87187583892475,0.406,0.152,6.74869609221667e-144
"Tcf4",3.28612772811414e-147,-0.531145232610204,0.97,0.985,6.20815250395322e-143
"Mef2c",4.18336518708208e-146,0.570099848955323,0.934,0.892,7.90321351143547e-142
"Bhlhe22",2.43731711116986e-141,1.68314535326453,0.432,0.18,4.6045794864221e-137
"Cited2",1.18534202625116e-131,-1.60828848482346,0.112,0.287,2.23934815599369e-127
"Nap1l5",1.32764523337914e-118,-1.4412553876553,0.19,0.375,2.50818737489987e-114
"Id2",1.44336714592891e-114,0.921870511011828,0.668,0.437,2.7268092120889e-110
"Plcb1",2.93695613716556e-101,-1.17200873618813,0.301,0.481,5.54849753433317e-97
"Tcf12",1.57666156889499e-100,-1.47304691546048,0.138,0.297,2.97862903595641e-96
"Sfr1",1.84035221533375e-82,0.599369617744474,0.745,0.583,3.47679340520852e-78
"Jun",1.08763845053259e-80,-1.05564692143453,0.29,0.458,2.05476656074616e-76
"Plk2",1.62265709315656e-72,0.901089291060293,0.522,0.35,3.06552378039137e-68
"Cux1",3.61308379050209e-68,0.842997924820092,0.544,0.387,6.82583789701654e-64
