"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcl11b",0,-5.35211727205228,0.056,0.928,0
"Fezf2",0,-5.08536526332975,0.059,0.839,0
"Tshz3",0,-3.50945333040172,0.052,0.43,0
"Tle4",0,-3.94193471551839,0.035,0.322,0
"Meg3",0,-1.83585545155949,0.801,0.981,0
"Tox",1.38840115153422e-246,-2.75795514846944,0.073,0.405,2.62296745547846e-242
"Ptma",1.51857277904602e-240,0.812589597317513,1,0.999,2.86888769417374e-236
"H3f3b",5.01485166727029e-191,0.852615856614363,1,0.993,9.47405776980703e-187
"Tcf4",3.82472479598722e-133,0.854302711090666,0.97,0.909,7.22567008457905e-129
"Satb1",4.92324497360395e-94,-1.56808952643584,0.257,0.556,9.30099440413258e-90
"Cux1",2.27987357261456e-89,2.11438833914717,0.544,0.234,4.30713715338342e-85
"Lhx2",5.41615326487487e-82,2.94302473613707,0.406,0.087,1.02321967480016e-77
"Satb2",3.026697544005e-81,1.21261595614401,0.701,0.435,5.71803700013426e-77
"Zbtb18",8.29744533004369e-74,0.79470809160928,0.884,0.778,1.56755337175185e-69
"Bhlhe22",2.54215872783828e-67,-0.969913927814208,0.432,0.709,4.80264626863208e-63
"Zeb2",5.18023952311194e-58,0.770796442074992,0.86,0.729,9.78650850706307e-54
"H3f3a",6.40561488060977e-53,0.355614984698091,0.998,0.992,1.2101487632448e-48
"Znhit1",4.67488795804223e-51,-0.847276502130742,0.416,0.662,8.83179833033339e-47
"Cdk4",1.5202146525797e-50,0.914232874411952,0.733,0.613,2.87198952165358e-46
"Hnrnpa2b1",2.9594365908242e-50,0.583468514862204,0.902,0.864,5.59096760738509e-46
"Nfix",3.40430411462951e-49,0.604377952638294,0.919,0.874,6.43141133335807e-45
"Chd3",1.77815685569395e-46,-0.59598128160403,0.661,0.829,3.35929393177702e-42
"Ran",1.73680190725225e-43,0.565625051169621,0.883,0.831,3.28116616318096e-39
"Hnrnpk",1.3821741246537e-37,0.544955059296257,0.884,0.863,2.61120335629578e-33
"Npm1",2.09640950095142e-36,0.490378501109409,0.904,0.851,3.96053682919743e-32
"Pak1",2.20857597612936e-36,-0.74147172499388,0.393,0.613,4.17244173410359e-32
"Aldoa",2.58104156522428e-32,-0.694962585058866,0.472,0.644,4.87610372502171e-28
"Enc1",5.87762625972842e-32,-0.713233249716818,0.702,0.776,1.11040115298789e-27
"Gnas",7.45601278633594e-30,-0.529837021833074,0.54,0.73,1.40858993559459e-25
"Ddx5",2.4538293263043e-28,0.444853299926502,0.881,0.869,4.63577436325408e-24
"Trim37",5.23458084095504e-28,-0.708919782786799,0.243,0.419,9.88917012473227e-24
"Auts2",8.04587227022234e-26,0.868746268165249,0.558,0.44,1.5200261892904e-21
"Hmgn1",1.07998507126323e-25,0.593556475633658,0.791,0.753,2.04030779663049e-21
"Gpx1",1.64528798456985e-25,-0.566878253806318,0.414,0.598,3.10827806044936e-21
"Banp",4.349505301095e-25,1.47875445866154,0.311,0.163,8.21708541482867e-21
"Nsmf",1.60425447430104e-24,-0.621782050738682,0.289,0.466,3.03075755284952e-20
"Hmgb1",4.18674243311189e-24,0.352442083891708,0.919,0.907,7.90959380463499e-20
"Sfr1",2.70518155258773e-23,0.53128560706094,0.745,0.703,5.11062898914874e-19
"Smarcd3",8.48053917260684e-23,-0.658558820468294,0.382,0.56,1.60214346048888e-18
"App",3.2963769685834e-21,-0.428140667894673,0.459,0.644,6.22751536904777e-17
"Nap1l5",2.13773711902917e-20,-0.65736968238233,0.19,0.323,4.0386129652699e-16
"Bend6",3.94145121666432e-19,-0.483406966185732,0.495,0.671,7.44618963852223e-15
"Smarcb1",4.54448487857245e-19,0.718879503580242,0.539,0.445,8.58544083259908e-15
"Skil",2.87190078926298e-17,-0.719028823389198,0.159,0.274,5.42559497107562e-13
"Plcb1",2.07602338733973e-16,-0.378922686585872,0.301,0.455,3.92202338336221e-12
"Mef2c",7.44807495577153e-16,0.276552049968224,0.934,0.997,1.40709032064436e-11
"Wdr13",2.63721838630496e-15,-0.420187971598312,0.239,0.376,4.98223297540733e-11
"Nfia",2.90633037962195e-15,-0.473933612905249,0.249,0.382,5.49063935318178e-11
"Hdac2",7.01901837706085e-15,0.389821209584657,0.739,0.706,1.32603295179434e-10
"Smyd2",1.32544918417442e-14,-0.468273671196023,0.275,0.409,2.50403859874231e-10
"Phf14",3.21283134311111e-14,-0.447322294509951,0.345,0.489,6.0696809734055e-10
"Smarce1",5.28240579225084e-14,0.565698076446578,0.562,0.506,9.97952102272029e-10
"Zmynd8",1.42100682557685e-13,-0.533137829393794,0.241,0.36,2.68456609487978e-09
"Akirin1",2.44837805379173e-13,-0.455260991805833,0.198,0.311,4.62547581922334e-09
"Sap30",7.14195704640073e-13,1.16047356011433,0.29,0.2,1.34925852520603e-08
"Chd5",1.35992196111547e-12,-0.402943739826132,0.158,0.26,2.56916456893935e-08
"Nono",1.68894456396343e-12,0.416346297417517,0.683,0.668,3.19075407023971e-08
"Zfp462",2.87082784866037e-12,0.77921083657966,0.451,0.39,5.42356797168917e-08
"Prmt1",3.83511111848101e-12,0.315483147422781,0.775,0.73,7.24529192503433e-08
"Ccnt2",6.16332591798921e-12,-0.473911952604651,0.268,0.387,1.16437553242652e-07
"Cdkn1c",6.2625812666952e-12,0.866572768960899,0.326,0.233,1.18312685290406e-07
"Rnf4",1.10706605751359e-11,-0.349676029448571,0.282,0.411,2.09146919585468e-07
"Ndn",2.35568864898991e-11,-0.319624227608116,0.719,0.833,4.45036699567174e-07
"Morf4l2",4.02423602552248e-11,0.31512352318603,0.813,0.796,7.60258669941708e-07
"Tcp1",4.6920589957501e-11,0.375003309754575,0.693,0.676,8.86423785477109e-07
"Kmt2c",5.99432874711614e-11,-0.391849380530473,0.218,0.324,1.13244858690518e-06
"Ankrd17",6.89628977003095e-11,-0.319902173890193,0.299,0.428,1.30284706335425e-06
"Id2",8.11086170340103e-11,-0.38609401140294,0.668,0.758,1.53230399300652e-06
"Zmynd11",2.84200989834202e-10,-0.348810642923313,0.334,0.452,5.36912509994775e-06
"Atxn1",3.08111972124929e-10,0.935302537779616,0.286,0.207,5.82085137738416e-06
"Atrn",3.30818869883171e-10,-0.361260147335715,0.181,0.277,6.24983008983287e-06
"Mier1",6.15305458147818e-10,-0.421473836165468,0.166,0.255,1.16243507153286e-05
"Parp1",1.04411418431695e-09,-0.351358167340518,0.199,0.296,1.97254051701159e-05
