"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptma",2.49721222758129e-162,1.22132269527296,0.998,0.982,4.71773334034657e-158
"Ran",5.39469515489402e-108,1.16728049775649,0.942,0.817,1.01916580866258e-103
"Cdk4",3.90192047632609e-103,1.19308396801565,0.904,0.702,7.37150816387525e-99
"Fos",1.16176017316401e-100,-2.47924036843931,0.255,0.626,2.19479731914145e-96
"Hes5",5.30067048990429e-88,-1.67564417303163,0.383,0.741,1.00140266895272e-83
"Hmgn2",3.68356836693357e-82,2.04132515530064,0.719,0.446,6.9589973588109e-78
"Id2",5.76502021011309e-65,-1.16326036867412,0.453,0.751,1.08912761809456e-60
"Chd7",3.0428141323425e-53,1.63387157811889,0.533,0.231,5.74848445882146e-49
"Anp32b",8.33123310595974e-51,1.39308057277023,0.6,0.316,1.57393655837791e-46
"Nasp",7.24713432365818e-45,1.45591388025365,0.55,0.291,1.3691286164255e-40
"Tmpo",2.00970176355892e-44,1.52058506992136,0.538,0.294,3.79672857171552e-40
"Nono",8.13876071598469e-44,1.02422529670025,0.692,0.443,1.53757467446383e-39
"Dek",3.98575740146462e-42,1.25149254654247,0.628,0.405,7.52989288284696e-38
"Ezh2",5.96191649552012e-40,1.3904526532426,0.506,0.256,1.12632526433366e-35
"Nucks1",2.47477248801604e-39,1.14413964214012,0.594,0.353,4.67534018435991e-35
"Jun",1.01000471355598e-38,-1.17396702040827,0.463,0.654,1.90810090484996e-34
"Smarce1",4.00782886183729e-37,1.14910632914852,0.545,0.295,7.57159028578301e-33
"Hmgb2",8.16748270701763e-33,2.06608324658782,0.639,0.585,1.54300083300977e-28
"Anp32e",3.54490041299765e-31,1.09364654554303,0.615,0.408,6.69702586023515e-27
