"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcl11b",0,-4.27076666383527,0.112,0.928,0
"Fezf2",0,-5.52806169405702,0.044,0.839,0
"Mef2c",0,-2.95999792552278,0.305,0.997,0
"Meg3",0,-3.65385886176017,0.456,0.981,0
"Bhlhe22",1.27157779441117e-251,-4.08171328150344,0.071,0.709,2.40226476920158e-247
"Foxp1",5.2043351382189e-238,-2.74911126792144,0.205,0.863,9.83202994312314e-234
"Thra",2.73897253802911e-232,-1.92314026999446,0.539,0.968,5.17446691884459e-228
"Hmgn1",7.51092878951296e-216,1.98006173368976,0.948,0.753,1.41896466691479e-211
"Basp1",1.03644449073065e-211,-1.95606101683728,0.462,0.938,1.95805093188834e-207
"Cdk4",8.88132077166125e-208,2.24621358167579,0.904,0.613,1.67785912018224e-203
"Ccnd2",1.63871833627108e-200,5.17521048557011,0.75,0.164,3.09586668088333e-196
"Enc1",8.52064331288844e-198,-2.93883757495834,0.228,0.776,1.60971993467088e-193
"Bend6",7.01434260679689e-194,-3.12383116781093,0.102,0.671,1.32514960527607e-189
"Bcl11a",6.09516630021258e-184,-2.06008392844612,0.336,0.889,1.15149881743616e-179
"Hmgb2",1.01896316385582e-170,6.91583477130047,0.639,0.074,1.92502520915642e-166
"Ran",1.35530915423231e-170,1.66474152856138,0.942,0.831,2.56045005417569e-166
"H3f3b",1.63887863019405e-165,1.04518247282372,0.999,0.993,3.0961695081626e-161
"Chd7",2.93629541646186e-147,7.55687344010304,0.533,0.006,5.54724930077975e-143
"Sox9",7.47550790177621e-145,6.930322677306,0.532,0.011,1.41227295280356e-140
"Actl6b",3.17114570415973e-136,-2.48108071113787,0.12,0.592,5.99092846429856e-132
"Tshz3",3.21422675807151e-132,-3.77125382192872,0.039,0.43,6.0723171913487e-128
"Chd3",3.48138238430447e-129,-1.5989129096068,0.383,0.829,6.57702760042801e-125
"Zbtb18",3.61468224646616e-127,-1.70693770372908,0.287,0.778,6.82885770002387e-123
"Hnrnpk",6.85209931749175e-127,1.18861128307449,0.945,0.863,1.29449860306054e-122
"Npm1",2.50908522546359e-126,1.26549253503145,0.956,0.851,4.74016380794581e-122
"Pak1",3.17533835718283e-122,-2.16012576243658,0.147,0.613,5.9988492243898e-118
"H1f0",9.08670009864491e-116,3.05234400598009,0.663,0.297,1.716659382636e-111
"Zeb1",8.90603810119149e-112,4.30034853277996,0.49,0.048,1.6825287180771e-107
"Anp32e",1.51415935613768e-110,3.0750804149403,0.615,0.223,2.86054985561531e-106
"Sox2",1.71973771614022e-107,5.34184900484251,0.441,0.02,3.24892849333211e-103
"Plk2",1.00228496574628e-106,-2.12418281898148,0.147,0.573,1.89351675728788e-102
"Tmpo",8.90165252885336e-97,3.28768086083714,0.538,0.153,1.68170019575098e-92
"Hnrnpa2b1",2.10607804901194e-95,1.06468010639621,0.936,0.864,3.97880265019335e-91
"Hes5",7.48738545668866e-93,7.11113428349493,0.383,0.011,1.41451686047762e-88
"Smc4",9.05503716529362e-91,4.90881747398497,0.416,0.042,1.71067762126727e-86
"Top2a",2.99797582840148e-86,8.39446658826916,0.353,0.005,5.66377593501608e-82
"Notch1",1.35455404905243e-85,5.52729590224705,0.362,0.01,2.55902350946985e-81
"Dpf1",6.64060802012461e-85,-1.88641910897079,0.131,0.503,1.25454366716194e-80
"Ptma",1.17869842374816e-84,0.824399335239103,0.998,0.999,2.22679706214503e-80
"Anp32b",9.27320017448341e-80,2.32822128650218,0.6,0.305,1.75189297696341e-75
"Hmgn2",1.64820790703671e-78,2.22922268177369,0.719,0.569,3.11379437797376e-74
"Actg1",2.03397860648588e-78,-0.740388277900671,0.991,0.998,3.84259238337313e-74
"Egr1",1.99630161560406e-77,3.82859323413189,0.406,0.066,3.7714130121992e-73
"Znhit1",3.08025251802403e-77,-1.44358887444326,0.278,0.662,5.819213057051e-73
"App",5.53889017995396e-77,-1.45822231565621,0.258,0.644,1.0464071327969e-72
"Satb1",2.71758488164494e-76,-2.02575881321648,0.203,0.556,5.13406135840362e-72
"Plcb1",1.15032426581762e-75,-1.83269698389288,0.117,0.455,2.17319260298265e-71
"Cenpa",2.22411876431919e-75,7.06217582353526,0.325,0.01,4.20180516955182e-71
"Id2",8.6237656916594e-75,-1.66142757564712,0.453,0.758,1.62920181446829e-70
"Bmyc",3.64842591014882e-73,-1.28314676923903,0.281,0.68,6.89260622945315e-69
"Satb2",9.21824677883812e-73,-2.03415272929284,0.115,0.435,1.7415111814581e-68
"Cdk1",3.15066491485092e-72,7.81576265272729,0.304,0.003,5.95223615713636e-68
"Smarca2",1.76920071330753e-68,-1.34341038786867,0.244,0.616,3.34237398758058e-64
"Ezh2",1.10186220002492e-67,2.40222322541278,0.506,0.196,2.08163806828707e-63
"Ppp3ca",1.59439246474242e-65,-1.02684614544544,0.448,0.791,3.01212624439138e-61
"Tox",3.599207263995e-65,-1.77639000166527,0.104,0.405,6.79962236313936e-61
"Mllt3",8.55281308763663e-65,-1.61457097797311,0.171,0.503,1.61579744851631e-60
"Nsmf",1.15805732070938e-62,-1.50875116413443,0.145,0.466,2.18780189028415e-58
"Usp22",8.28586983477142e-62,-1.20185267119358,0.318,0.675,1.56536652918502e-57
"Cks2",1.28893130411092e-60,4.43940636399705,0.38,0.099,2.43504901972634e-56
"Smarcd3",1.35277318742997e-60,-1.42356661788813,0.216,0.56,2.5556591056927e-56
"Tcf3",4.27263497651982e-58,2.63044851950759,0.407,0.119,8.07186199764125e-54
"Tle4",2.73141523172759e-57,-2.67753357103705,0.079,0.322,5.16018965577976e-53
"Prmt2",4.63662777803774e-57,-1.13939154964568,0.279,0.636,8.75951719826889e-53
"Chd5",8.22015480588444e-57,-2.51569302071301,0.043,0.26,1.55295164592769e-52
"Smc2",6.45176430554827e-56,3.10836834705557,0.403,0.134,1.21886731260418e-51
"Wdr13",1.2159316684636e-55,-1.592665005291,0.103,0.376,2.29713810806142e-51
"Dek",9.6051910130471e-55,1.73080192068192,0.628,0.458,1.81461268618486e-50
"Ddx5",1.25347491250225e-53,0.809671141707148,0.896,0.869,2.36806480469925e-49
"Ndn",1.07794434670407e-52,-0.930471128244286,0.567,0.833,2.03645245979333e-48
"Nudt21",1.62116778683226e-50,1.29447323047895,0.666,0.527,3.0627101828835e-46
"Zeb2",4.07577132340712e-48,-0.98373179132808,0.438,0.729,7.69994718418074e-44
"Mki67",1.59844627597429e-47,4.32169066502544,0.256,0.029,3.01978470457062e-43
"Gsk3b",2.97004666724359e-46,-0.713280528350822,0.605,0.877,5.61101216375659e-42
"Nfia",4.25832492731062e-45,1.27833708123992,0.606,0.382,8.04482745267522e-41
"Hmg20b",4.70472652316701e-45,3.74677483619828,0.268,0.045,8.88816934756712e-41
"Prdx1",5.85766080985337e-45,0.81626141635126,0.861,0.749,1.1066292801975e-40
"Hmgn5",3.486264109237e-44,3.13540823408526,0.295,0.065,6.58625015517054e-40
"Tspyl4",1.50309125234608e-43,-1.12134275905483,0.162,0.439,2.83963999393222e-39
"Nfix",2.13430722443462e-41,-0.717309155222891,0.633,0.874,4.03213320840189e-37
"Fos",1.02291522644071e-40,3.6723505352986,0.255,0.046,1.93249144579179e-36
"Asf1a",1.98962719236828e-40,2.06268648160253,0.388,0.162,3.75880369182216e-36
"Asxl3",2.46498846756574e-40,-1.70859972300892,0.066,0.26,4.65685621292519e-36
"Mkrn1",6.91407787556967e-40,-0.781695697334219,0.379,0.697,1.30620759225262e-35
"Apbb1",2.20129090275456e-39,-0.903332507528847,0.306,0.608,4.15867877348391e-35
"Nedd4",5.5434698762836e-38,1.01706362871703,0.675,0.562,1.0472723290275e-33
"Mbd3",5.71006090791215e-38,1.05756980109957,0.655,0.532,1.07874470672276e-33
"Actl6a",9.97801059987768e-38,1.99690875647,0.399,0.186,1.88504576252889e-33
"Sf3b1",1.76019715805682e-37,0.917088910519369,0.723,0.613,3.32536447100094e-33
"Tipin",1.78703105096996e-37,1.99059046530406,0.446,0.252,3.37605906149244e-33
"Ctnnb1",2.30167287837022e-37,1.28922684592405,0.563,0.384,4.34832040181701e-33
"Zfp57",2.05981660415747e-36,-1.38015228665331,0.11,0.323,3.89140552857429e-32
"Trim37",1.46397657500764e-35,-1.13514260229787,0.176,0.419,2.76574454550444e-31
"Tcf12",1.6120315953509e-35,2.27506911794284,0.333,0.126,3.04545008993691e-31
"H3f3a",5.16506167713969e-35,0.51621057982831,0.996,0.992,9.7578345204523e-31
"Smarcc2",1.14589437837727e-34,-0.989461885644176,0.208,0.47,2.16482365963033e-30
"Faap100",1.24294239820198e-34,-1.2677135362338,0.113,0.324,2.34816677868318e-30
"Sap30",1.53940884390519e-32,1.93109655021227,0.387,0.2,2.90825118790569e-28
"Spin1",2.02231553741107e-32,-0.959878942187363,0.235,0.486,3.82055851327699e-28
"Hat1",8.69203803996003e-31,2.65228341444238,0.272,0.09,1.64209982650925e-26
"Trp53",1.06460240067228e-30,1.62017842931832,0.416,0.227,2.01124685535008e-26
"Lsm11",1.19718909987846e-30,-1.40113006512548,0.084,0.259,2.26172964749038e-26
"Ssrp1",1.9558090597671e-30,1.23522647516825,0.549,0.412,3.69491447571201e-26
"Tspyl1",4.95922143110628e-30,-1.0025568086381,0.153,0.37,9.36896112764598e-26
"Meis3",5.51464997562106e-29,-0.944739237937452,0.153,0.368,1.04182767339433e-24
"Gpx4",2.31429167886628e-28,-0.440727493787012,0.809,0.926,4.37215983971417e-24
"Kdm2b",8.46799788580086e-28,-0.789244426342501,0.197,0.43,1.5997741605855e-23
"Lmnb1",2.25363985669192e-27,1.82314579139522,0.355,0.181,4.25757641726237e-23
"Arid1b",2.42806823929372e-27,-1.08372121430555,0.112,0.294,4.5871065176737e-23
"Hmgb1",3.94042824834214e-27,0.644233190970851,0.877,0.907,7.44425704676797e-23
"Nasp",5.92793953612286e-27,1.26828811048133,0.55,0.43,1.11990633716433e-22
"Dnajc9",6.95270829644863e-27,1.61525472568623,0.454,0.315,1.31350565136507e-22
"Phf20",1.69680834916064e-26,-0.691403043799908,0.269,0.519,3.20561033323429e-22
"Rpa2",1.8091439217944e-26,2.28298047780008,0.277,0.109,3.41783469705398e-22
"Jun",2.43092094996848e-26,1.2662921183101,0.463,0.283,4.59249585868045e-22
"Nap1l1",4.35072686064326e-26,0.693961553910459,0.755,0.735,8.21939318512725e-22
"Rbbp4",8.76942596811355e-26,1.1203323974899,0.527,0.39,1.65671995389601e-21
"Smyd2",4.47306666129358e-25,-0.788669419320757,0.194,0.409,8.45051753651583e-21
"Atrx",1.07506281218756e-24,-0.582566705338962,0.523,0.782,2.03100866478474e-20
"Zmynd8",3.64441468330204e-24,-0.904698774127406,0.167,0.36,6.88502821969422e-20
"Mef2a",8.31856918359651e-23,-0.798902876872344,0.137,0.319,1.57154409016505e-18
"Uba1",1.52473396820915e-22,-0.632005014690757,0.312,0.548,2.88052741274073e-18
"Arid4a",3.3855451117849e-22,-0.700558909211422,0.208,0.414,6.39597182518404e-18
"Kmt2e",4.00310026597988e-22,-0.548983088020183,0.48,0.73,7.56265702248919e-18
"Polr3d",9.75122525213159e-22,-0.891803119415871,0.102,0.258,1.8422014746327e-17
"Rad21",1.00290832630704e-21,1.60493428084805,0.343,0.194,1.89469441005926e-17
"Cdk5",1.08716394540773e-21,-0.731657643213995,0.209,0.413,2.05387012566428e-17
"Max",1.10252750969856e-21,-0.609584774121991,0.266,0.5,2.08289497132251e-17
"Mad2l2",1.46841007500987e-21,1.45361061240969,0.424,0.295,2.77412031370865e-17
"Actb",2.93553145786624e-21,-0.706551923972562,0.985,0.999,5.5458060302009e-17
"Maged1",5.40894823087121e-20,0.774346472369289,0.711,0.671,1.02185849977619e-15
"Ogt",1.14579488660239e-19,-0.54516406961848,0.376,0.615,2.16463569976924e-15
"Ccnt2",3.35862132375923e-19,-0.709681552544335,0.198,0.387,6.34510740484593e-15
"Smc3",3.44356718502802e-19,0.934853440097794,0.547,0.448,6.50558712595494e-15
"Nono",5.60460270223918e-19,0.671234842131793,0.692,0.668,1.05882154250703e-14
"BC004004",9.8533385136109e-19,-0.602589473308551,0.25,0.456,1.86149271199137e-14
"Ncoa1",3.05165052229057e-18,-0.66720877374569,0.142,0.305,5.76517816671134e-14
"Xbp1",1.17005800957469e-17,-0.422635974639229,0.182,0.365,2.21047359168851e-13
"Hmgn3",3.39640509707264e-17,0.691497478070971,0.662,0.628,6.41648850938964e-13
"Hjurp",8.95485616805054e-17,1.50533605529264,0.309,0.182,1.69175142726811e-12
"Sirt2",9.42650460123017e-17,1.5399543925983,0.472,0.389,1.7808552492644e-12
"Dhx30",1.97086192797785e-16,-0.546075645057991,0.333,0.546,3.72335235433575e-12
"Trp53bp1",2.38205063076526e-16,-0.74049766624794,0.117,0.255,4.50017005164172e-12
"Ssbp1",3.09865860622611e-16,1.18283006859849,0.417,0.313,5.85398583888237e-12
"Chtop",9.18316459695977e-16,0.741916282334513,0.585,0.525,1.73488345565764e-11
"Rtf1",1.11739825081004e-15,-0.408465889698129,0.575,0.788,2.11098877543033e-11
"Kdm6b",2.26524436026964e-15,-0.579619536541001,0.2,0.367,4.2794996454214e-11
"Ube2b",2.29022956359832e-15,-0.413425570499411,0.575,0.768,4.32670169154994e-11
"Atf2",3.27671888117926e-15,-0.719360015501745,0.169,0.32,6.19037731032386e-11
"Smarca5",5.4095679459448e-15,1.55456680031361,0.268,0.153,1.02197557634789e-10
"Ctbp2",7.92433150549066e-15,1.46545766759403,0.276,0.16,1.4970647080173e-10
"Atrn",1.02542345921015e-14,-0.576267028709076,0.136,0.277,1.93722999913982e-10
"Srpk2",1.11981936050314e-14,-0.394594628326036,0.504,0.73,2.11556273586253e-10
"Nap1l5",1.53335821327267e-14,1.51047409441372,0.408,0.323,2.89682033651472e-10
"Pole3",1.89623163704586e-14,1.23000690264278,0.354,0.249,3.58236080870704e-10
"Rbmxl1",2.68647613782932e-14,0.730470587523498,0.573,0.51,5.07529071958715e-10
"Klhdc3",3.66558783947008e-14,-0.438475098022111,0.249,0.431,6.92502854632688e-10
"Bcl7a",9.83956233080226e-14,-0.395139767684466,0.308,0.507,1.85889011553516e-09
"Cux1",2.39688220281178e-13,1.0593404635287,0.348,0.234,4.52818985755201e-09
"Huwe1",3.32164804107448e-13,-0.409671936722024,0.25,0.425,6.2752574791979e-09
"Naa60",4.38730991588458e-13,-0.56775284583358,0.133,0.264,8.28850589308914e-09
"Coq7",4.84522819317615e-13,1.16686895650006,0.31,0.203,9.15360510254839e-09
"Phf14",4.87994474327457e-13,-0.466491411991474,0.305,0.489,9.21919160899432e-09
"Ankrd17",1.27729700003102e-12,-0.354413771157709,0.253,0.428,2.4130694924586e-08
"Csnk2a1",1.40439648326418e-12,-0.412033160925228,0.237,0.404,2.65318583618269e-08
"Chmp7",1.92211604172305e-12,-0.332284835659294,0.232,0.401,3.63126162602319e-08
"Smc1a",2.23196353684985e-12,1.12451230071325,0.388,0.304,4.21662551381674e-08
"Fbl",2.46558714655444e-12,0.721262771225473,0.553,0.52,4.65798723727065e-08
"Zmynd11",3.01132092344256e-12,-0.444973818336861,0.285,0.452,5.68898748856769e-08
"Smarce1",5.66805683380317e-12,0.691890435287296,0.545,0.506,1.0708092970421e-07
"Dnajc2",7.41074695599695e-12,-0.41908712056804,0.309,0.488,1.40003831492694e-07
"Gnas",9.11080689736229e-12,-0.346975900795925,0.552,0.73,1.72121363904968e-07
"Morf4l1",9.84151538932822e-12,-0.277948029071602,0.832,0.932,1.85925908735189e-07
"Ecsit",1.32713682114111e-11,-0.52896978901892,0.136,0.257,2.50722688249978e-07
"Apex1",2.0952330238203e-11,0.806944378758728,0.485,0.431,3.95831422860132e-07
"Kdm5b",5.82195761381834e-11,-0.369654747689333,0.245,0.409,1.09988423240256e-06
"Cic",6.81010301167377e-11,-0.437982593792365,0.174,0.306,1.28656466096541e-06
"Snw1",8.48632992987716e-11,0.809073366222437,0.451,0.386,1.60323745035239e-06
"Setbp1",1.04483727389487e-10,-0.51465126236467,0.161,0.284,1.9739065778422e-06
"Chd4",1.37331235522126e-10,0.797455455798758,0.449,0.386,2.59446170148401e-06
"Gpx1",1.72343547096427e-10,-0.348236538988189,0.42,0.598,3.2559142917457e-06
"Acin1",2.12933868739979e-10,0.733766219029331,0.504,0.446,4.02274664823569e-06
"Ruvbl2",2.62258720163853e-10,1.20786748268701,0.295,0.209,4.95459174133551e-06
"Smarcb1",4.46993447138274e-10,0.674952587495378,0.501,0.445,8.44460020333628e-06
"Eny2",6.95662380374481e-10,0.567511030286542,0.589,0.578,1.31424536900347e-05
"Brd9",8.49468076966678e-10,-0.450496668659011,0.155,0.271,1.60481509100545e-05
"Tcp1",1.28807240150829e-09,0.441393630139304,0.682,0.676,2.43342638092947e-05
"Top2b",1.55893802556795e-09,-0.33185494869495,0.33,0.498,2.94514571790297e-05
"Sfr1",3.04218311531809e-09,0.440838625260556,0.693,0.703,5.74729234145893e-05
