"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Satb1",2.55130344352761e-292,6.27882343931668,0.856,0.017,4.81992246551237e-288
"Zbtb18",1.09183523991167e-285,6.11331533832712,0.884,0.028,2.06269513524112e-281
"Basp1",3.48824302693955e-285,6.15135905606886,0.888,0.031,6.5899887264942e-281
"Prkcb",2.94958878536741e-262,5.80987858671523,0.848,0.034,5.57236313331611e-258
"Pak1",6.08107661284716e-249,6.09985328082248,0.752,0.017,1.14883699369909e-244
"Nfix",5.2469573269037e-238,5.10589367025182,0.84,0.045,9.91255178198647e-234
"Ppp3ca",2.16713725429655e-224,5.79404455116128,1,0.169,4.09415570081704e-220
"Tbr1",5.07108550793008e-213,7.90439578583412,0.592,0.003,9.5802947415815e-209
"Egr1",8.54389333211406e-202,4.05608990065092,0.936,0.116,1.61411232830299e-197
"Bcl11a",2.2017901155233e-199,6.31988277071129,0.588,0.008,4.15962188624663e-195
"Plcb1",1.78527578110432e-187,4.49746626301339,0.736,0.05,3.37274300566227e-183
"Satb2",1.35040790973351e-179,7.78246864873196,0.504,0.003,2.55119062306854e-175
"Id2",1.91806055131549e-170,3.86967283562623,0.712,0.051,3.62359999354522e-166
"Nap1l5",1.43086019294626e-164,3.88516444298714,0.748,0.072,2.70318107651407e-160
"Trim37",2.20302691092215e-154,4.2492232808701,0.62,0.038,4.16195844011412e-150
"App",3.37596087430044e-149,3.29912171857298,0.988,0.428,6.3778652837284e-145
"Ptma",5.6027815643545e-134,-2.79264355811841,0.792,0.996,1.05847749313785e-129
"Foxp1",9.96710425903531e-134,3.01275767587043,0.908,0.24,1.88298533661695e-129
"H3f3b",3.20402514257366e-130,-2.39404485507284,0.832,0.998,6.05304429935015e-126
"Plk2",3.46218266791906e-121,3.99083991605543,0.532,0.039,6.54075549623269e-117
"Meg3",1.95175201707251e-114,1.92768469866951,1,0.891,3.68724991065338e-110
"Apbb1",6.67419221314345e-110,3.03532699042683,0.724,0.124,1.26088839290706e-105
"Camta2",1.33453558162166e-102,3.17303098490073,0.556,0.06,2.52120462079964e-98
"Cux1",7.73207614633301e-102,2.73425006838734,0.744,0.144,1.46074382556523e-97
"Tspyl4",8.57783217703001e-100,2.93929555396483,0.596,0.076,1.62052405488451e-95
"Mef2c",5.40902333042847e-97,1.52483706085046,0.992,0.86,1.02187268758455e-92
"Hmgn1",2.58211050188085e-93,-3.28598579783367,0.324,0.872,4.87812316015329e-89
"H3f3a",6.70799656026967e-91,-1.77328675247317,0.78,0.973,1.26727471016615e-86
"Smarcd1",8.15412843979754e-84,2.59797351842834,0.632,0.111,1.54047794484655e-79
"Atrn",8.15462214394421e-81,2.88662641945311,0.512,0.069,1.54057121543394e-76
"Chd3",3.12328487257741e-80,2.60332584606395,0.616,0.111,5.90050978127325e-76
"Banp",9.46684830329285e-80,2.68011458203377,0.552,0.085,1.78847698145809e-75
