"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ppp3ca",1.79637730623116e-54,-2.73347222898557,0.891,1,3.39371600693191e-50
"Mef2c",3.74778742116243e-48,-2.09094360917309,0.906,0.992,7.08031999606006e-44
"Dlx1",4.76718570987087e-48,9.54066099403037,0.672,0,9.00616724308804e-44
"Nap1l5",4.86735832382226e-48,2.463510422682,1,0.748,9.19541334536501e-44
"Egr1",3.9507082234694e-45,-3.84981737901631,0.211,0.936,7.4636779757784e-41
"Foxp1",1.01369131572825e-42,-3.54197262431527,0.312,0.908,1.91506563367381e-38
"Bcl11b",2.93674541009993e-40,9.37539577629027,0.578,0,5.5480994287608e-36
"Satb1",1.79501088815959e-39,-3.95574383488302,0.148,0.856,3.3911345699111e-35
"Zbtb18",2.2736580646695e-35,-2.96778056021269,0.25,0.884,4.29539481577362e-31
"Cux1",2.16532143408858e-32,-4.36781485912252,0.094,0.744,4.09072525328015e-28
"Tcf4",2.62739615478151e-28,1.13067325915299,0.992,0.94,4.96367681561323e-24
"Tbr1",9.76459737841703e-27,-8.13752605248641,0,0.592,1.84472773673055e-22
"App",4.7570037484487e-25,-1.12389989076565,0.922,0.988,8.98693148156928e-21
"Satb2",1.16114731705987e-21,-7.786322890691,0,0.504,2.1936395113895e-17
"Ptma",2.4929669951043e-20,1.00695242016544,0.961,0.792,4.70971324715105e-16
"Ndn",2.39606427878475e-19,1.57929242026759,0.828,0.396,4.52664463548014e-15
"Prkcb",3.36320703899105e-17,-1.39098113689496,0.625,0.848,6.35377073806189e-13
"Banp",4.47686752951694e-16,-2.90054069473662,0.148,0.552,8.4576981367634e-12
"Gpx4",3.27175033676701e-15,1.06061189765473,0.906,0.8,6.18099073622024e-11
"Tspyl4",6.80112600617689e-14,1.04026718271593,0.875,0.596,1.28486872508694e-09
"Pak1",2.12824461400711e-13,-1.35669886638987,0.555,0.752,4.02067972478222e-09
"Zfp385a",5.42177591460228e-13,1.62098996362385,0.523,0.16,1.02428190578666e-08
"Emc10",1.3755192698165e-12,1.21930929346612,0.758,0.464,2.59863100453734e-08
"Coprs",3.59914715337502e-12,1.46547006240057,0.531,0.168,6.79950880215608e-08
"Id2",5.24115048375293e-10,1.66773643976393,0.719,0.712,9.90158149390603e-06
"Nr1d1",3.99962403701325e-09,-1.71460164968485,0.227,0.512,7.55608973072544e-05
"Zbtb7a",2.16477924231959e-08,-1.28607518167299,0.477,0.672,0.000408970094459017
"Hmgn1",1.40650481089183e-07,1.01798730930749,0.609,0.324,0.00265716888873684
"Apbb1",3.18577002709679e-07,-1.09616532082372,0.633,0.724,0.00601855673519126
"Hdac11",5.62113451818938e-07,1.01812259563703,0.516,0.232,0.0106194473317634
"Camta2",4.75713219915838e-06,-1.26616406091603,0.391,0.556,0.0898717415065002
"Sbno1",4.87744478603786e-06,-1.11317267571298,0.438,0.592,0.0921446868978273
"Gatad2b",2.99255993529954e-05,-1.21248638018418,0.398,0.536,0.565354422976789
