"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tspyl4",9.51231317169363e-288,5.91455206457073,0.875,0.018,1.79706620439636e-283
"Dlx1",2.65928291642226e-283,9.45423484863013,0.672,0.001,5.02391728570493e-279
"Ndn",3.31230809499822e-263,5.65823465501851,0.828,0.019,6.25761245307064e-259
"Bcl11b",1.11026801816801e-241,9.3047322920524,0.578,0.001,2.097518339923e-237
"Nap1l5",1.96548004712801e-233,6.05271445797785,1,0.068,3.71318490503423e-229
"Actl6b",1.47557357372729e-217,6.77009155179679,0.555,0.003,2.78765359548559e-213
"Chd3",1.86548992338018e-175,4.12726946704117,0.844,0.054,3.52428356324984e-171
"Thra",3.65097809068139e-171,3.92417428043285,0.938,0.079,6.89742780891529e-167
"Cbx6",2.51255303909311e-165,3.77467314433735,0.828,0.054,4.74671520145471e-161
"Plk2",1.40223631466567e-164,5.32547695933689,0.523,0.011,2.64910484566639e-160
"Meg3",4.87757455680234e-164,6.47408958376335,1,0.143,9.21471385271097e-160
"Nap1l3",3.14782324473268e-161,5.08318290232572,0.5,0.01,5.94686767394897e-157
"Nedd4",7.12744868925661e-161,3.71769098487202,0.781,0.048,1.34651760637436e-156
"Trim37",6.40444408669355e-155,4.18867513819709,0.633,0.027,1.20992757685815e-150
"Bcl11a",9.01233972673522e-148,4.59116351000099,0.531,0.016,1.70261122117482e-143
"Apbb1",6.62981539637888e-141,3.77591026019224,0.633,0.032,1.2525047246839e-136
"Plcb1",4.57906445928147e-134,3.7287899495841,0.648,0.039,8.65076857647455e-130
"Auts2",6.82330832641857e-118,3.49815144962879,0.516,0.024,1.289059409027e-113
"Ncoa1",2.00747296066389e-102,3.21255064494019,0.594,0.046,3.79251791728622e-98
"Psip1",1.11063093190599e-98,2.85593635830941,0.609,0.05,2.0982039565568e-94
"Hdac11",2.02850626009508e-94,3.03251264938951,0.516,0.035,3.83225402657162e-90
"App",2.39410397636587e-92,3.23937156897165,0.922,0.213,4.52294123215041e-88
"Nfix",4.28571877221631e-87,2.86357569498556,0.852,0.156,8.09657990447105e-83
"Spin1",7.87805472002617e-83,2.83239047189647,0.555,0.051,1.48832209770734e-78
"Hmgn3",1.60017852499207e-82,2.4597635833749,0.797,0.119,3.02305726941501e-78
"Maged1",3.65787043459163e-80,2.69817798442566,0.82,0.136,6.91044882503051e-76
"Tcf4",1.78534343254628e-78,2.5845620221072,0.992,0.451,3.37287081276642e-74
"Cbx5",2.3947570891059e-78,2.80046961359519,0.57,0.06,4.52417509273887e-74
"Gnas",2.67852936246799e-72,2.65574104284494,0.984,0.363,5.06027767157452e-68
"Morf4l2",2.18340493807007e-71,2.43385567938426,0.914,0.241,4.12488860900198e-67
"Nfe2l1",7.54851823978581e-70,2.15097769782267,0.586,0.069,1.42606606586033e-65
"Bend6",6.35673699166869e-66,2.32226288552678,0.617,0.082,1.20091475246605e-61
"Pink1",2.43138629754925e-62,2.31782640639299,0.641,0.097,4.59337499333004e-58
"Usp22",3.31666774285071e-61,2.32050916425748,0.57,0.077,6.26584869979355e-57
"Id2",3.05009495165284e-59,3.41754504709195,0.719,0.19,5.76223938266254e-55
"Smarca2",7.88216613801574e-58,1.94573055592327,0.727,0.129,1.48909882679393e-53
"Atxn1",2.85395392067978e-55,2.256734930471,0.5,0.065,5.39168974694823e-51
"Coprs",1.94785561944359e-53,2.08060848046606,0.531,0.076,3.67988883625283e-49
"Hdgf",1.04819125630462e-47,1.7444435055396,0.633,0.115,1.98024292141068e-43
"Ctbp1",4.31364344068606e-45,1.9173111367057,0.562,0.1,8.1493351881441e-41
"Gpx1",8.61753667331433e-45,-3.37160725981473,0.336,0.815,1.62802502832254e-40
"Klhdc3",9.52946320921369e-45,1.76046374937211,0.594,0.109,1.80030618948465e-40
"Slc30a9",9.57154128705902e-43,1.74262654220015,0.531,0.091,1.80825557995119e-38
"Prkcb",2.34271307195261e-42,1.94242266474286,0.625,0.132,4.42585353553288e-38
"Spi1",3.84960203142999e-41,-6.24669634766172,0.031,0.704,7.27266815777755e-37
"Aff4",1.29091094458384e-40,1.8452015036459,0.539,0.102,2.43878895650779e-36
"Aldoa",5.02830664947741e-40,1.46155168605083,0.969,0.543,9.49947692219272e-36
"Huwe1",6.31964181603964e-40,1.40370185571894,0.57,0.107,1.19390673188621e-35
"Nucks1",6.90112566545339e-40,1.68590719925751,0.742,0.186,1.30376066071745e-35
"Ppp3ca",2.16312277736089e-39,1.79343042538909,0.891,0.318,4.08657155099019e-35
"Gsk3b",2.73335042059248e-37,1.60910900059643,0.906,0.352,5.16384561458332e-33
"Hnrnpd",2.79671498410049e-36,1.578597871001,0.523,0.102,5.28355394796265e-32
"Smarcd1",9.26694411652149e-36,1.48157010516104,0.562,0.116,1.75071108249324e-31
"Srpk2",3.73167908186795e-34,1.49908052101272,0.766,0.222,7.04988812146492e-30
"Cfdp1",1.79411223678651e-33,1.52817734966899,0.594,0.136,3.38943683773707e-29
"Kcnq1ot1",3.61751662498872e-32,1.13024524221857,0.711,0.186,6.83421240792869e-28
"H1f0",2.85769171206735e-31,1.50952266068942,0.594,0.147,5.39875118243765e-27
"Actb",3.67870579541081e-31,-1.11980846706983,0.992,0.994,6.9498109886901e-27
"Basp1",7.01534965877808e-31,1.51627269953506,0.852,0.314,1.32533985753635e-26
"Tspyl1",8.39177019573038e-29,1.24097436693409,0.562,0.134,1.58537322537738e-24
"Nap1l1",5.71475969104719e-28,1.32463187148503,0.578,0.145,1.07963240083264e-23
"Znhit1",2.42467854204409e-25,1.04106271197728,0.609,0.163,4.5807027016297e-21
"Ube2b",9.18585126829829e-24,1.16408257285211,0.836,0.324,1.73539102160691e-19
"Glyr1",2.426366979687e-23,1.18154076703865,0.508,0.133,4.58389249802467e-19
"Rtf1",9.01068521834907e-23,1.0726540025836,0.695,0.222,1.70229865145051e-18
"Swi5",1.55675293922309e-22,1.17987702169153,0.82,0.365,2.94101765278026e-18
"Gpx4",3.95266355386149e-22,1.11775742703525,0.906,0.663,7.46737198595512e-18
"Emc10",9.78341278055946e-21,1.17445466353058,0.758,0.323,1.84828234250329e-16
"Setd3",5.03932732771633e-20,1.09452987807372,0.5,0.143,9.52029718752169e-16
"Cbx3",3.23269634702684e-18,1.22205375615894,0.547,0.181,6.1072099388031e-14
