"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dlx1",2.62327164576831e-240,9.56031617442981,0.672,0.001,4.9558847931855e-236
"Basp1",1.95189243319876e-213,5.58136548105935,0.852,0.031,3.68751518479909e-209
"Nap1l5",1.46898452839994e-210,6.34867486566914,1,0.072,2.77520557105316e-206
"Bcl11b",2.03599390639748e-202,9.25426425080544,0.578,0.001,3.84639968796612e-198
"Nfix",2.77837996843662e-188,5.10600597643356,0.852,0.045,5.24891543637046e-184
"Actl6b",2.74541327331658e-187,6.97457951039919,0.555,0.003,5.18663475594968e-183
"Bcl11a",1.09010969753166e-158,5.97120930749536,0.531,0.008,2.05943524057682e-154
"Bend6",3.71060895801728e-157,4.91994584863893,0.617,0.018,7.01008244348625e-153
"Tspyl4",2.64192460753455e-148,3.97956273668076,0.875,0.076,4.99112396855427e-144
"Pak1",8.93801299830839e-139,4.74315441443261,0.555,0.017,1.68856941564042e-134
"Id2",1.92089348367287e-138,5.53740927539015,0.719,0.051,3.62895196935478e-134
"Prkcb",2.42100363631245e-126,4.41889744982027,0.625,0.034,4.57376006972149e-122
"Nap1l3",5.56030906064246e-120,4.53490856581384,0.5,0.017,1.05045358773657e-115
"Trim37",3.30468988319207e-119,3.9514340291593,0.633,0.038,6.24322012732646e-115
"Plcb1",6.23054384256552e-107,3.68213350416279,0.648,0.05,1.17707434273748e-102
"Chd3",6.4966486979291e-104,3.27248108919495,0.844,0.111,1.22734687201277e-99
"Ndn",8.56641039665345e-101,3.1660929877507,0.828,0.108,1.61836625213577e-96
"Ppp3ca",7.66453061867347e-88,3.06057232217571,0.891,0.169,1.44798312447979e-83
"Plk2",1.88560338755431e-86,3.82814995420542,0.523,0.039,3.5622819197676e-82
"Maged1",1.66223597962019e-82,3.03051792448076,0.82,0.135,3.14029621269847e-78
"Usp22",3.04693573399466e-80,3.15860911082323,0.57,0.053,5.7562709886627e-76
"Ncoa1",3.82056251583032e-76,2.8972742710592,0.594,0.063,7.21780670490664e-72
