"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",0,-5.92500407920433,0.038,0.936,0
"Satb1",6.27792369450201e-306,-5.444083475088,0.029,0.856,1.18602534436532e-301
"Tbr1",3.72341716895544e-259,-9.36544493054847,0.001,0.592,7.03427971559062e-255
"Meg3",6.37008022009585e-256,-5.92411084796917,0.143,1,1.20343555518051e-251
"Apbb1",2.71017234369301e-232,-4.87207558101596,0.032,0.724,5.12005759170483e-228
"Plcb1",2.59539755062999e-225,-4.5441227084347,0.039,0.736,4.90322505265018e-221
"Cbx6",4.99393146370113e-219,-4.22856099542042,0.054,0.784,9.43453532122417e-215
"Satb2",1.71884488350976e-211,-7.24861945683564,0.003,0.504,3.24724175392665e-207
"App",8.27057621683949e-210,-4.3632714597373,0.213,0.988,1.56247725888532e-205
"Bcl11a",6.73999568895694e-205,-4.93983697321692,0.016,0.588,1.27331998555774e-200
"Tspyl4",2.75160537403064e-204,-4.8742848818548,0.018,0.596,5.19833287261869e-200
"Plk2",8.54677593129669e-196,-5.4881669211869,0.011,0.532,1.61465690894057e-191
"Trim37",3.49833166582844e-194,-4.48646438990788,0.027,0.62,6.60904818308309e-190
"Foxp1",8.07792110528689e-191,-3.62610274971075,0.139,0.908,1.5260808552108e-186
"Ppp3ca",3.22763540548811e-185,-4.52690265437466,0.318,1,6.09764880804814e-181
"Nap1l5",2.01909655965114e-179,-3.58920403529585,0.068,0.748,3.81447722049294e-175
"Zbtb18",7.1537513557436e-176,-3.4284835313256,0.127,0.884,1.35148670612708e-171
"Prkcb",1.3571597934057e-163,-3.33340380163782,0.132,0.848,2.56394628170204e-159
"Nr1d1",1.37935825737585e-161,-4.42514318946401,0.02,0.512,2.60588361983445e-157
"Auts2",2.27351658467628e-149,-4.23681800298658,0.024,0.504,4.29512753177042e-145
"Nedd4",2.36069039391477e-145,-3.36400945223795,0.048,0.604,4.45981629218378e-141
"Chd3",6.61556516876243e-141,-3.45811422391017,0.054,0.616,1.2498125716826e-136
"Nfix",2.248836417943e-131,-2.86346338880382,0.156,0.84,4.24850176077792e-127
"Thra",1.09849204211989e-126,-3.03575120003243,0.079,0.656,2.07527116597289e-122
"Atxn1",1.56747339132116e-107,-2.77978269370315,0.065,0.568,2.96127073088394e-103
"Camta2",2.60558623085028e-107,-2.92963555826921,0.062,0.556,4.92247350732235e-103
"Spin1",1.1199055447633e-103,-2.94056290137593,0.051,0.508,2.11572555516682e-99
"Mef2c",2.25631032981661e-101,-1.56195240342432,0.839,0.992,4.26262147508954e-97
"Atrn",4.01358403834695e-101,-2.94075515143758,0.055,0.512,7.58246296524507e-97
"Pak1",8.61345830686379e-100,-2.32710472540176,0.149,0.752,1.62725454333271e-95
"Basp1",6.87983237747407e-89,-2.08626627454457,0.314,0.888,1.2997379327524e-84
"Nfe2l1",8.08624209666602e-87,-2.68355221201651,0.069,0.512,1.52765285690214e-82
"Ctbp1",4.76060308405017e-84,-2.32168689742673,0.1,0.596,8.99373134638758e-80
"Hmgn3",8.13855745031736e-84,-2.24681573841117,0.119,0.64,1.53753627351396e-79
"Gnas",5.99473437262616e-83,-1.92036432383144,0.363,0.908,1.13252521767653e-78
"Smarcd1",1.231307382436e-81,-2.25787511452806,0.116,0.632,2.32618590689808e-77
"Gpx1",3.46542660496335e-80,3.26960722989395,0.815,0.3,6.54688394209676e-76
"Banp",8.04616971401315e-80,-2.31125847362171,0.088,0.552,1.52008238237136e-75
"Spi1",1.41391254235948e-76,7.32512790507982,0.704,0.012,2.67116357502554e-72
"H3f3b",3.14375802505145e-75,1.53298357676038,0.965,0.832,5.9391876609272e-71
"Nap1l1",1.39848560766134e-74,-2.19068976267609,0.145,0.66,2.6420190099938e-70
