"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tspyl4",9.51231317169363e-288,-5.91455206457073,0.018,0.875,1.79706620439636e-283
"Dlx1",2.65928291642226e-283,-9.45423484863013,0.001,0.672,5.02391728570493e-279
"Ndn",3.31230809499822e-263,-5.65823465501851,0.019,0.828,6.25761245307064e-259
"Bcl11b",1.11026801816801e-241,-9.3047322920524,0.001,0.578,2.097518339923e-237
"Nap1l5",1.96548004712801e-233,-6.05271445797785,0.068,1,3.71318490503423e-229
"Actl6b",1.47557357372729e-217,-6.77009155179679,0.003,0.555,2.78765359548559e-213
"Chd3",1.86548992338018e-175,-4.12726946704117,0.054,0.844,3.52428356324984e-171
"Thra",3.65097809068139e-171,-3.92417428043285,0.079,0.938,6.89742780891529e-167
"Egfr",1.50364239750064e-170,-5.96110780303985,0.004,0.461,2.84068121735821e-166
"Cbx6",2.51255303909311e-165,-3.77467314433735,0.054,0.828,4.74671520145471e-161
"Plk2",1.40223631466567e-164,-5.32547695933689,0.011,0.523,2.64910484566639e-160
"Meg3",4.87757455680234e-164,-6.47408958376335,0.143,1,9.21471385271097e-160
"Nap1l3",3.14782324473268e-161,-5.08318290232572,0.01,0.5,5.94686767394897e-157
"Nedd4",7.12744868925661e-161,-3.71769098487202,0.048,0.781,1.34651760637436e-156
"Trim37",6.40444408669355e-155,-4.18867513819709,0.027,0.633,1.20992757685815e-150
"Rit2",2.25257037256384e-154,-5.31151926747664,0.011,0.492,4.2555559478476e-150
"Bcl11a",9.01233972673522e-148,-4.59116351000099,0.016,0.531,1.70261122117482e-143
"Dlx5",1.38553217319903e-146,-10.665659529204,0,0.344,2.61754738160761e-142
"Mirg",3.66037684520064e-146,-7.86868267672172,0.001,0.359,6.91518393595305e-142
"Apbb1",6.62981539637888e-141,-3.77591026019224,0.032,0.633,1.2525047246839e-136
"Nap1l2",4.36800739285254e-134,-5.55612844849386,0.004,0.375,8.25203956657701e-130
"Plcb1",4.57906445928147e-134,-3.7287899495841,0.039,0.648,8.65076857647455e-130
"Dlx2",1.59052176403015e-129,-7.87196173147306,0.001,0.32,3.00481371660576e-125
"Tox2",1.60833190050366e-127,-5.45658035529375,0.004,0.359,3.03846062643151e-123
"Chd5",3.04443752003806e-126,-5.04090196166206,0.006,0.375,5.7515513628559e-122
"Arx",5.62918546225559e-126,-6.93522252350268,0.001,0.312,1.06346571752933e-121
"Auts2",6.82330832641857e-118,-3.49815144962879,0.024,0.516,1.289059409027e-113
"Smyd2",1.50086747869278e-113,-3.67131301698714,0.02,0.469,2.8354388407464e-109
"Thrb",7.16342089722657e-113,-4.45595143519581,0.009,0.375,1.35331347590404e-108
"Prkaa2",2.82358237764909e-106,-5.63837568018748,0.002,0.281,5.33431182785465e-102
"Ccnd2",7.2193745565459e-104,-4.02852814357781,0.015,0.406,1.36388424122265e-99
"Tspyl5",9.32207012778644e-103,-6.58434534688224,0.001,0.258,1.76112548854141e-98
"Ncoa1",2.00747296066389e-102,-3.21255064494019,0.046,0.594,3.79251791728622e-98
"Psip1",1.11063093190599e-98,-2.85593635830941,0.05,0.609,2.0982039565568e-94
"Prmt8",8.80993510411026e-98,-5.15909948065244,0.004,0.281,1.66437293986851e-93
"Setd7",7.48106600129051e-95,-3.27261913222897,0.032,0.492,1.4133229889638e-90
"Hdac11",2.02850626009508e-94,-3.03251264938951,0.035,0.516,3.83225402657162e-90
"App",2.39410397636587e-92,-3.23937156897165,0.213,0.922,4.52294123215041e-88
"Nfix",4.28571877221631e-87,-2.86357569498556,0.156,0.852,8.09657990447105e-83
"Spin1",7.87805472002617e-83,-2.83239047189647,0.051,0.555,1.48832209770734e-78
"Hmgn3",1.60017852499207e-82,-2.4597635833749,0.119,0.797,3.02305726941501e-78
"Maged1",3.65787043459163e-80,-2.69817798442566,0.136,0.82,6.91044882503051e-76
"Sirt3",9.00692623436286e-80,-2.89588103869522,0.034,0.461,1.70158850419583e-75
"Atf5",3.16717948649828e-79,-3.23820742962218,0.022,0.383,5.98343548589255e-75
"Tcf4",1.78534343254628e-78,-2.5845620221072,0.451,0.992,3.37287081276642e-74
"Cbx5",2.3947570891059e-78,-2.80046961359519,0.06,0.57,4.52417509273887e-74
"Sox2",4.24176786458267e-77,-2.83726379692973,0.035,0.453,8.01354784976957e-73
"Gnas",2.67852936246799e-72,-2.65574104284494,0.363,0.984,5.06027767157452e-68
"Morf4l2",2.18340493807007e-71,-2.43385567938426,0.241,0.914,4.12488860900198e-67
"Nfe2l1",7.54851823978581e-70,-2.15097769782267,0.069,0.586,1.42606606586033e-65
"Atxn7l3",2.30541000032268e-67,-2.84139742229059,0.034,0.414,4.35538057260961e-63
"Ppargc1a",4.0497914861304e-66,-3.53775055952115,0.011,0.266,7.65086607559755e-62
"Bend6",6.35673699166869e-66,-2.32226288552678,0.082,0.617,1.20091475246605e-61
"Nsmf",6.24369119354554e-64,-2.37495118629401,0.051,0.484,1.17955814028462e-59
"Pink1",2.43138629754925e-62,-2.31782640639299,0.097,0.641,4.59337499333004e-58
"Usp22",3.31666774285071e-61,-2.32050916425748,0.077,0.57,6.26584869979355e-57
"Mllt3",2.04230854223603e-59,-3.18380061106689,0.025,0.336,3.8583292979923e-55
"Id2",3.05009495165284e-59,-3.41754504709195,0.19,0.719,5.76223938266254e-55
"Hdac9",4.87414900467678e-59,-3.20465543162814,0.013,0.266,9.20824229963537e-55
"Smarca2",7.88216613801574e-58,-1.94573055592327,0.129,0.727,1.48909882679393e-53
"Enc1",5.66175007629352e-57,-2.94972226010577,0.051,0.445,1.06961782441337e-52
"Rybp",1.922130110668e-55,-2.75878967889506,0.023,0.312,3.63128820507399e-51
"Atxn1",2.85395392067978e-55,-2.256734930471,0.065,0.5,5.39168974694823e-51
"Gsk3a",1.92065404523567e-54,-2.5035387569826,0.038,0.383,3.62849962225923e-50
