"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meg3",0,-3.99642614929966,0.143,0.891,0
"Ccnd2",0,-6.68049149984105,0.015,0.734,0
"Spi1",0,5.38074453879333,0.704,0.032,0
"Ptma",0,-1.80687801303439,0.872,0.996,0
"Bcas3",5.23328367806262e-296,-5.7572963463459,0.025,0.592,9.8867195245959e-292
"Actn4",8.48951531274865e-286,-3.54730706024298,0.094,0.681,1.60383923288448e-281
"Lmna",3.09162982453847e-283,-6.09129518518835,0.012,0.555,5.84070706451808e-279
"Hmgn3",1.08775126745578e-274,-3.07808221863824,0.119,0.704,2.05497969447746e-270
"Gper1",6.8205188936968e-270,-7.30381459026059,0.004,0.521,1.2885324293972e-265
"Lamc1",8.95988855171252e-242,-5.18963358193544,0.02,0.508,1.69270214518953e-237
"Nedd4",2.16361855373421e-239,-3.73416135668325,0.048,0.562,4.08750817171467e-235
"Hmgn1",5.15061947833292e-229,-1.75597263800628,0.441,0.872,9.73055031846654e-225
"H3f3b",4.81195359384805e-197,-0.861061278312462,0.965,0.998,9.09074272949774e-193
"H3f3a",3.41684632004791e-193,-1.06421963652658,0.799,0.973,6.45510606783452e-189
"Tbx2",8.32768439382142e-176,-6.53482017854146,0.004,0.368,1.57326613568074e-171
"Lmo2",2.958490966622e-156,5.55022327382494,0.391,0.015,5.58918113414229e-152
"Ikzf1",9.16686282823721e-152,5.12052538332212,0.39,0.019,1.73180372551057e-147
"Pole4",9.75968254258723e-143,-2.16535490598618,0.173,0.583,1.84379922594558e-138
"Mlxipl",1.68366908037085e-137,4.84491176490343,0.368,0.023,3.18078762663662e-133
"Atf5",1.87068571704757e-136,-4.43549263427932,0.022,0.337,3.53409945664627e-132
"Sall1",4.34947103183217e-126,3.88807531893914,0.371,0.037,8.21702067333733e-122
"Hhex",4.21220011122787e-118,4.89519160068778,0.319,0.016,7.9576884501317e-114
"Tbx18",6.53309691352286e-116,-6.09081124990282,0.003,0.254,1.23423266890274e-111
"Gpx4",1.34298374760348e-110,-0.948351427504956,0.663,0.907,2.53716489597249e-106
"Thra",4.02909073504709e-110,-2.35171890154143,0.079,0.404,7.61175821665097e-106
"Nrip1",1.11278717433612e-109,2.86904578098903,0.408,0.088,2.10227752975579e-105
"Basp1",2.50610396019452e-104,4.06509278152429,0.314,0.031,4.73453160159949e-100
"Phf14",4.15421658790756e-98,3.15189406150542,0.342,0.056,7.84814597787497e-94
"Fli1",1.69420208320461e-96,3.79174804168748,0.298,0.03,3.20068657559015e-92
"Skil",9.10666331315111e-91,3.42353719060671,0.311,0.046,1.72043083312051e-86
"Banf1",2.51412406284512e-90,-1.61688021918554,0.192,0.524,4.749683179527e-86
"Bmyc",4.53995050888781e-90,1.81117328246304,0.522,0.237,8.57687450139084e-86
"Mef2a",4.32945913439419e-87,1.38181230227709,0.638,0.381,8.17921419669751e-83
"Arid5a",6.44728575881857e-85,-2.79840321796722,0.042,0.282,1.218021225556e-80
"H1f0",7.47601022478827e-84,-1.96170179616985,0.147,0.442,1.412367851667e-79
"Prdx1",2.68712337758435e-78,-0.931841525880779,0.575,0.849,5.07651348493235e-74
"Jmjd1c",2.09831800225701e-73,1.73198850874702,0.46,0.198,3.96414236986394e-69
"Cbx6",8.45711167387547e-71,-2.29246603533375,0.054,0.277,1.59771753742855e-66
"Aldoa",3.37271751730223e-69,-0.941604227004882,0.543,0.799,6.37173793368738e-65
"Nfe2l2",1.353572702451e-62,2.34032989982865,0.295,0.075,2.55716954947043e-58
"Hmg20b",2.96559158379289e-58,-1.28397013000404,0.214,0.484,5.60259562010152e-54
"Nupr1",1.80774879546813e-57,-1.56822190084315,0.17,0.419,3.41519902439839e-53
"Cebpg",1.08369678740917e-50,1.56496882809864,0.387,0.182,2.04731997077341e-46
"Ube2b",5.54095691372441e-43,-0.824479122806933,0.324,0.583,1.04679758014081e-38
"Eny2",2.11610553564317e-41,-1.21997431445311,0.145,0.351,3.99774657793707e-37
"Nap1l1",1.04810201152548e-40,-1.26358603745572,0.145,0.346,1.98007432017395e-36
"Morf4l1",5.86078681659303e-39,-0.511220273472055,0.74,0.878,1.10721984539076e-34
"App",1.75613725379138e-38,-1.06414974116432,0.213,0.428,3.31769449986267e-34
"Hdgf",5.2018062000349e-36,-1.21250763141346,0.115,0.294,9.82725227310594e-32
"Cfdp1",1.27796586154028e-35,-1.18070798104088,0.136,0.317,2.41433310562189e-31
"Chd9",2.41199250645411e-34,1.4437742214408,0.314,0.155,4.55673624319311e-30
"Sumo1",8.59578059736189e-34,-0.740511917205185,0.391,0.611,1.62391487045361e-29
"Hmgb1",4.61435834885228e-33,-0.609472616327447,0.579,0.765,8.71744579265173e-29
"Jun",1.17240908670613e-32,1.76132147300972,0.256,0.106,2.21491524660522e-28
"Nucks1",2.17158001540714e-31,-0.906719254623545,0.186,0.378,4.10254896510717e-27
"Anp32b",2.42482452033351e-30,-1.16186032947107,0.113,0.27,4.58097848381408e-26
"Swi5",1.48252827500276e-29,-0.702741261840518,0.365,0.575,2.80079241713521e-25
"Ppp3ca",5.99606072417511e-29,1.26714189678662,0.318,0.169,1.13277579201116e-24
"Cdk2ap2",6.17524549006018e-27,-0.669046235565639,0.356,0.563,1.16662737798217e-22
"Mcrs1",3.75287589246065e-26,-0.941545803608611,0.151,0.312,7.08993313603666e-22
"Bcl7b",4.66934679327078e-26,-0.962038930398724,0.146,0.304,8.82132996184716e-22
"Ddx5",7.78970404717523e-25,0.478203959143786,0.812,0.77,1.47163088859235e-20
"Kcnq1ot1",4.70284955220559e-24,-0.813659647140463,0.186,0.349,8.88462337402679e-20
"Dpy30",1.170861170069e-22,-1.00121927060592,0.132,0.27,2.21199092249435e-18
"Xist",1.5088549403355e-21,0.786738202038841,0.616,0.543,2.85052875328183e-17
"Sfr1",2.63049225135992e-21,-0.678265800253451,0.264,0.435,4.96952596126915e-17
"Nfia",2.75636433871093e-21,-0.817158660361956,0.202,0.356,5.20732350869269e-17
"Zeb1",1.70616274718851e-18,-0.707207824830095,0.141,0.272,3.22328266198854e-14
"Morf4l2",3.70134699943965e-18,-0.667101314333492,0.241,0.392,6.99258475134138e-14
"Hnrnpa2b1",8.77390801872493e-16,0.393953421500382,0.692,0.625,1.65756670289751e-11
"Nr1h2",4.84886140769663e-15,-0.698952738084109,0.176,0.298,9.16046897142047e-11
"Xbp1",5.42376635640706e-15,0.73919885080462,0.387,0.295,1.02465794005242e-10
"Dek",1.24062358268412e-14,-0.514251589329366,0.243,0.385,2.34378607240684e-10
"Trmt112",1.68849022397228e-14,0.593916957659976,0.457,0.378,3.18989573112843e-10
"Arid1a",2.98197440263784e-14,0.960562775215507,0.26,0.167,5.63354604146341e-10
"Znhit1",1.83259691639516e-13,-0.629739965588394,0.163,0.277,3.46214209445374e-09
"Gnas",2.13600787846274e-13,-0.434181859896899,0.363,0.52,4.0353460839918e-09
"Emc10",2.60842936772821e-13,-0.515951838855919,0.323,0.464,4.92784476151214e-09
"Top1",3.46955245497366e-13,-0.407171294755942,0.395,0.542,6.55467849793624e-09
"Actg1",5.90123480372883e-13,-0.26081086829172,0.802,0.887,1.11486127912045e-08
"Sirt2",6.87444716848088e-13,0.60360206680756,0.412,0.335,1.29872055906941e-08
"Taf6l",7.40147418464855e-13,0.816355586066804,0.287,0.198,1.3982865029638e-08
"Sf3b1",2.07699396749238e-12,0.476334082938362,0.556,0.509,3.9238570033866e-08
"Ppp4c",2.79353313236805e-12,0.681680149582296,0.349,0.267,5.27754279366972e-08
"Uhrf2",4.94545563226748e-12,-0.490816350696733,0.25,0.376,9.34295478047972e-08
"Mier1",2.79054874481262e-10,-0.429335014941303,0.21,0.321,5.27190468870001e-06
"Chtop",5.45111345338966e-10,-0.43060603861336,0.173,0.274,1.02982435361437e-05
"Sf3b5",7.87877434240182e-10,-0.38785646808571,0.296,0.421,1.48845804876655e-05
"Nr3c1",7.31078351057579e-09,0.695176297068175,0.277,0.209,0.000138115322081798
"Max",2.43613615438501e-08,-0.372984408008417,0.192,0.288,0.000460234842286415
"Gsk3b",3.03079133840933e-08,-0.32100801900685,0.352,0.481,0.000572577099652291
