"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dlx1",0,-9.18095923641715,0.002,0.672,0
"Bcl11b",0,-6.89024685854375,0.007,0.578,0
"Bcl11a",0,-6.05751397783052,0.008,0.531,0
"Dlx5",5.8021628027164e-305,-7.41026187098877,0.001,0.344,1.09614459668918e-300
"Dlx2",1.80259199066121e-275,-7.05234251878245,0.002,0.32,3.40545678875716e-271
"Mef2c",4.00111221793359e-272,-4.77353444554337,0.06,0.906,7.55890120212014e-268
"Egfr",1.29459758564282e-252,-5.51443249980319,0.01,0.461,2.44575375879642e-248
"Actl6b",2.17456488066747e-235,-4.05577577480677,0.019,0.555,4.10818797255699e-231
"Arx",3.45463154227852e-214,-5.85441047150491,0.004,0.312,6.52648990967259e-210
"Mirg",6.87693799558571e-165,-4.03767450354488,0.011,0.359,1.29919112612605e-160
"Tox2",1.59640136372556e-163,-4.28152800776892,0.011,0.359,3.01592145635032e-159
"Bend6",9.62318784730442e-157,-3.3872839303629,0.044,0.617,1.81801264811275e-152
"Zfp385a",1.74023362218936e-152,-3.39685440020073,0.031,0.523,3.28764935904014e-148
"Lmo2",1.68718044105233e-151,-4.43533330214464,0.019,0.422,3.18742128923607e-147
"Chd5",3.47633609124276e-139,-3.70409060915107,0.016,0.375,6.56749414357581e-135
"Prmt8",1.53855168476651e-137,-4.28034670947994,0.008,0.281,2.9066318428609e-133
"Trim37",7.00924769458115e-127,-3.12600677384978,0.059,0.633,1.32418707446027e-122
"Hdac9",3.79533580357507e-119,-4.38165507348475,0.008,0.266,7.17014840011403e-115
"Rit2",2.71964755937206e-116,-3.19698740164884,0.037,0.492,5.13795816916569e-112
"Cited2",1.31817455353676e-112,-3.81549706129271,0.02,0.359,2.49029536654164e-108
"Thrb",2.62175513580676e-109,-3.13448811950182,0.022,0.375,4.95301980256613e-105
"Atxn1",5.25186844341003e-106,-2.87648802563893,0.043,0.5,9.92182986329023e-102
