"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mef2c",0,-5.33964099386601,0.06,0.86,0
"Sox10",0,4.88811548052726,0.792,0.052,0
"Ccnd2",0,-4.76267750022166,0.049,0.734,0
"Bcas3",0,-5.27842988249336,0.045,0.592,0
"Sirt2",0,4.65358162023157,0.879,0.335,0
"Gper1",0,-7.96279563965275,0.003,0.521,0
"Actn4",0,-2.96540696450735,0.183,0.681,0
"Lmna",0,-4.00958776713086,0.068,0.555,0
"Nap1l5",4.16215904679986e-286,3.76149895115377,0.625,0.072,7.8631508712143e-282
"Meg3",1.21731820095293e-275,-1.70754512320108,0.5,0.891,2.29975754524028e-271
"Gpx1",9.75830103161505e-241,-1.69544946999457,0.489,0.808,1.84353823089272e-236
"Hmgn1",1.02289624932246e-229,-1.32771707594587,0.606,0.872,1.93245559422e-225
"Lamc1",2.15339385211096e-223,-2.46292567626287,0.137,0.508,4.06819166540802e-219
"Thra",2.80851143722293e-222,1.8731963849617,0.751,0.404,5.30583980720157e-218
"Pole4",1.75067219101582e-189,-2.03057394269542,0.237,0.583,3.3073699032671e-185
"Cdk4",1.8754444129593e-158,1.74326447893554,0.655,0.3,3.54308958496271e-154
"Aldoa",4.49712124296846e-149,-1.27450335315808,0.561,0.799,8.49596145221601e-145
"Ppp3ca",5.45666797075334e-128,1.8586107991324,0.531,0.169,1.03087371303472e-123
"Morf4l2",1.40084908066341e-109,1.19833901429563,0.686,0.392,2.64648408318932e-105
"Zeb2",6.78772817689267e-91,1.06405043932946,0.721,0.478,1.28233760717856e-86
"Ccnt2",2.17546247399003e-84,1.14014662651784,0.67,0.399,4.10988370586196e-80
"Cdk2ap2",1.41798511030246e-78,-1.14773263669321,0.355,0.563,2.67885747038341e-74
"App",3.66656909946651e-63,1.10510842251792,0.616,0.428,6.92688234271213e-59
"Chtop",3.4155839048611e-53,1.03860051649202,0.502,0.274,6.45272111306359e-49
"Xist",1.14755013924914e-30,1.18176236090615,0.55,0.543,2.16795172306948e-26
