"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meg3",0,3.99642614929966,0.891,0.143,0
"Ccnd2",0,6.68049149984105,0.734,0.015,0
"Spi1",0,-5.38074453879333,0.032,0.704,0
"Ptma",0,1.80687801303439,0.996,0.872,0
"Bcas3",5.23328367806262e-296,5.7572963463459,0.592,0.025,9.8867195245959e-292
"Actn4",8.48951531274865e-286,3.54730706024298,0.681,0.094,1.60383923288448e-281
"Lmna",3.09162982453847e-283,6.09129518518835,0.555,0.012,5.84070706451808e-279
"Hmgn3",1.08775126745578e-274,3.07808221863824,0.704,0.119,2.05497969447746e-270
"Gper1",6.8205188936968e-270,7.30381459026059,0.521,0.004,1.2885324293972e-265
"Lamc1",8.95988855171252e-242,5.18963358193544,0.508,0.02,1.69270214518953e-237
"Nedd4",2.16361855373421e-239,3.73416135668325,0.562,0.048,4.08750817171467e-235
"Hmgn1",5.15061947833292e-229,1.75597263800628,0.872,0.441,9.73055031846654e-225
"H3f3a",3.41684632004791e-193,1.06421963652658,0.973,0.799,6.45510606783452e-189
"Pole4",9.75968254258723e-143,2.16535490598618,0.583,0.173,1.84379922594558e-138
"Banf1",2.51412406284512e-90,1.61688021918554,0.524,0.192,4.749683179527e-86
"Bmyc",4.53995050888781e-90,-1.81117328246304,0.237,0.522,8.57687450139084e-86
"Mef2a",4.32945913439419e-87,-1.38181230227709,0.381,0.638,8.17921419669751e-83
