"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcl11b",0,-10.3087126851233,0.001,0.978,0
"Fezf2",1.82647276804175e-286,-9.13655916939528,0.003,0.891,3.45057235338448e-282
"Bcl11a",4.35653773912856e-258,-7.63150470926471,0.008,0.935,8.23037109676167e-254
"Pak1",3.59532500872416e-213,-6.57849797652872,0.017,0.957,6.79228800648169e-209
"Rit2",5.26921250378237e-201,-7.01163799942374,0.005,0.717,9.95459626214566e-197
"Enc1",3.73303669350598e-194,-5.93044012894699,0.014,0.87,7.0524529213715e-190
"Satb1",7.80456653380175e-191,-6.33519380063927,0.017,0.891,1.47443870956583e-186
"Basp1",6.25897496938807e-177,-6.45995084982429,0.031,1,1.18244555121679e-172
"Nap1l2",7.06611014868922e-176,-8.37941981110463,0.001,0.543,1.33492952929037e-171
"Tle4",8.71057023098712e-173,-5.93412777355134,0.027,0.957,1.64560092803809e-168
"Actl6b",5.73464018347079e-163,-6.96611136445647,0.003,0.543,1.0833882234613e-158
"Tox",6.33591410578304e-152,-6.28777881489949,0.004,0.543,1.19698089286453e-147
"Tbr1",1.93392505953397e-142,-6.75313652289878,0.003,0.5,3.65357122247158e-138
"Bend6",1.54983771753473e-125,-5.05066956413435,0.018,0.696,2.92795341596661e-121
"Chd5",9.023273084579e-120,-5.94059775803945,0.006,0.5,1.70467675113867e-115
"Bhlhe22",4.1665094333851e-113,-4.97957787671854,0.011,0.565,7.87136962155113e-109
"Plcb1",1.11673275345217e-102,-4.717307686384,0.05,0.87,2.10973151782183e-98
"Trim37",6.64485525822087e-101,-4.3538779110779,0.038,0.804,1.25534605538309e-96
"Nap1l5",1.75314588803176e-100,-5.50601377849878,0.072,0.957,3.31204321166961e-96
"Prkcb",1.87897850225165e-91,-4.50009707192888,0.034,0.717,3.54976618645381e-87
"Plk2",1.44660588714663e-86,-4.38171874329194,0.039,0.739,2.7329278419974e-82
"Nap1l3",1.81294241280478e-83,-4.72009481459175,0.017,0.522,3.42501080627079e-79
"Tspyl4",1.2660297871819e-75,-3.81663861742052,0.076,0.891,2.39178347394404e-71
"Zbtb18",9.40927440598893e-68,-3.90759936735848,0.028,0.565,1.77760012077943e-63
"Bcl7a",5.62653371810141e-58,-3.50494634992832,0.034,0.565,1.06296475002372e-53
"Prkca",1.11121235130235e-54,-3.60089994567884,0.126,0.891,2.09930237408041e-50
"Nfix",1.92332524416067e-54,-3.41938257677881,0.045,0.609,3.63354605126833e-50
"Ppp3ca",6.5905048226462e-54,-3.44058794081494,0.169,0.978,1.24507817109432e-49
"Chd3",9.12736016938703e-54,-2.9443168469947,0.111,0.935,1.7243408832006e-49
"Ndn",1.9525771995299e-49,-3.13295928696547,0.108,0.848,3.68880884535189e-45
"Usp22",1.47719262415541e-46,-3.33004805653889,0.053,0.609,2.7907123055544e-42
"Skil",1.53064590226804e-41,-3.00796272128004,0.046,0.543,2.89169623856477e-37
"Srebf2",1.20806639155511e-38,-2.62389912409203,0.053,0.565,2.28227902692591e-34
"Maged1",4.14075041993221e-36,-3.10316087728854,0.135,0.804,7.82270569333593e-32
"Glyr1",6.10765230890955e-36,-2.58656255937696,0.113,0.761,1.15385767419919e-31
"Psip1",2.46362928428475e-33,-2.55638584168846,0.097,0.696,4.65428844387074e-29
"Pds5b",4.56803191794697e-33,-2.35553343049414,0.067,0.587,8.62992589938542e-29
"Gsk3a",7.5832018923804e-33,-2.67500009557703,0.055,0.522,1.4326185015085e-28
"Meg3",1.3009227970223e-30,-2.83506421026084,0.891,1,2.45770334813453e-26
"Ptma",2.56903457557905e-29,2.59115295056298,0.996,1,4.85342012018393e-25
"H3f3b",5.27641793730728e-29,2.51257737204153,0.998,0.826,9.96820876716091e-25
"Sirt3",1.62645901953564e-28,-2.23657311086643,0.078,0.587,3.07270637970673e-24
"Foxp1",1.03036571768174e-27,-2.52519707012915,0.24,0.891,1.94656691384434e-23
"App",6.65402113676886e-25,-2.39656479829403,0.428,1,1.25707767315837e-20
"Smarcc2",7.2325791969447e-24,-2.27142685614403,0.102,0.609,1.36637886188679e-19
"Jade1",9.12151764303926e-24,-1.8842040457241,0.089,0.587,1.72323711312298e-19
"Uba1",4.06559940129458e-23,-2.21136245042464,0.105,0.609,7.68073038892572e-19
"H3f3a",1.32613162698711e-22,1.87939648052595,0.973,0.913,2.50532786970405e-18
"Gnas",2.3049974147095e-21,-2.1225646349701,0.52,0.978,4.35460111586918e-17
"Bmyc",3.24518368372067e-19,-1.89374780779082,0.237,0.848,6.13080101528509e-15
"Cdk5",7.83892832834056e-19,-1.89830356203557,0.126,0.63,1.4809303397901e-14
"Smarcd1",1.0697778859203e-18,-1.74581651680346,0.111,0.587,2.02102438208063e-14
"Apbb1",4.39481918532783e-18,-1.80187418958068,0.124,0.609,8.30269240492133e-14
"Hmgn1",1.27327788853069e-17,2.3868818857897,0.872,0.565,2.40547658701217e-13
"Zmynd8",2.23721161122489e-17,-1.36014994904726,0.142,0.674,4.22654017592607e-13
"Smarca2",1.23879475051204e-16,-1.81548203645214,0.102,0.522,2.34033104266734e-12
"Klhdc3",4.899226846659e-16,-1.46139306325354,0.168,0.717,9.25561935870818e-12
"Ctnnb1",1.87078399121642e-15,-1.6484813259437,0.238,0.804,3.53428511620606e-11
"Naa60",3.98314190423162e-15,-1.6318286622317,0.099,0.5,7.52495168547437e-11
"Ctbp1",9.68288196188362e-15,-1.79936560555274,0.138,0.587,1.82929006023905e-10
"Mtf2",1.19019237266342e-14,-1.40297496300492,0.106,0.522,2.24851143043574e-10
"Thra",2.06922340220614e-14,-1.31549528853049,0.404,0.957,3.90917685144783e-10
"Spin1",2.40800957774115e-14,-1.48252087837037,0.144,0.609,4.54921169426859e-10
"Actb",2.65828874809994e-14,1.4473556194066,0.995,1,5.02203910291041e-10
"Atxn1",1.20763584005203e-13,-1.47796085979956,0.131,0.565,2.28146562902629e-09
"Ccnd2",3.26276244933033e-13,3.29611581587451,0.734,0.304,6.16401081927487e-09
"Aff4",8.96332764376289e-13,-1.3964666199659,0.139,0.565,1.69335185845969e-08
"Actn4",2.1288603820662e-12,3.51334576619547,0.681,0.261,4.02184303379946e-08
"Tspyl1",2.16382562332589e-12,-1.32891827418284,0.165,0.63,4.08789936758727e-08
"Mkrn1",2.31823034092143e-12,-1.38575939154064,0.159,0.609,4.37960076006876e-08
"Pink1",2.59993712026906e-12,-1.43211354337025,0.134,0.543,4.91180120761231e-08
"Gpx1",7.4989174195903e-12,1.99368826180975,0.808,0.565,1.416695478909e-07
"Atf2",1.68317812841516e-11,-1.38635060690952,0.156,0.587,3.17986012020192e-07
"Zmynd11",2.69414691540824e-11,-1.16774415323905,0.211,0.696,5.08978235258925e-07
"Cbx6",2.93937108925007e-11,-1.29299350056827,0.277,0.804,5.55305986181123e-07
"Trip12",3.74922493310912e-11,-1.09569097028249,0.128,0.522,7.08303574362975e-07
"Zbtb7a",4.66800824261753e-11,-1.2340004093335,0.242,0.761,8.81880117195304e-07
"Gsk3b",5.45019215922666e-11,-1.28380239000632,0.481,0.978,1.0296503027211e-06
"Gper1",1.27430258724658e-10,7.13578026485849,0.521,0,2.40741244782623e-06
"Hnrnpu",1.53588074022408e-10,-1.13696290042234,0.241,0.739,2.90158589443133e-06
"Hp1bp3",4.67292999186545e-10,-1.08435760596284,0.326,0.891,8.82809934063222e-06
"Lamc1",7.02813099025557e-10,5.85378612661833,0.508,0.022,1.32775450667908e-05
"Bcas3",8.53956048705213e-10,3.81511110366004,0.592,0.174,1.61329376721389e-05
"Huwe1",1.37162391826279e-09,-1.23706329940973,0.17,0.587,2.59127190638206e-05
"Ankrd17",4.19737436934303e-09,-1.15466638522123,0.155,0.522,7.92967965856286e-05
"Clock",1.18377251357555e-08,-1.28694241622235,0.151,0.5,0.000223638303264692
"Sin3b",1.79272230865194e-08,-1.16931741470515,0.177,0.543,0.000338681098550524
"Srpk2",2.4759356542667e-08,-1.18448193104074,0.295,0.696,0.000467753763804064
"Nap1l1",3.14225031491023e-08,-1.14333094094756,0.346,0.783,0.000593633929492842
"Prdx1",3.20047302795524e-08,1.27125848202989,0.849,0.783,0.000604633364441304
"Lmna",8.1364313886561e-06,2.10654015273032,0.555,0.37,0.153713461794491
"Cdk2ap2",2.61355552698773e-05,1.94259917508483,0.563,0.413,0.493752910158521
"Pole4",0.0024623745170876,1.28507158784538,0.583,0.63,1
"Xist",0.0112582518564593,1.06444591471777,0.543,0.435,1
