"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcl11b",6.75531665243243e-64,10.4298442106081,0.978,0,1.27621442197753e-59
"Fezf2",4.81975358846397e-51,6.76249861945425,0.891,0.024,9.10547847932614e-47
"Tle4",1.54659683358661e-48,4.98995902827059,0.957,0.048,2.92183073801182e-44
"Tox",1.64464946744219e-29,5.59502480101343,0.543,0.012,3.10707177389178e-25
"Ppp3ca",2.11497640050988e-25,-2.35345661034633,0.978,1,3.99561341584327e-21
"Mef2c",7.5867327795992e-22,-1.69821993213913,0.978,0.992,1.43328555672188e-17
"Egr1",1.14573302776948e-20,-3.6130429863479,0.304,0.936,2.16451883606211e-16
"Nap1l5",1.64704815425564e-15,1.62084933551164,0.957,0.748,3.11160337301976e-11
"Zbtb18",4.37149762534693e-14,-2.20571597096864,0.565,0.884,8.25863331380543e-10
"Prkca",2.7697386907794e-13,1.60265005569533,0.891,0.516,5.23259033462044e-09
"Id2",5.38552692035452e-12,-3.30690804082254,0.196,0.712,1.01743374579338e-07
"Ndn",8.61706444267503e-11,1.54615871948237,0.848,0.396,1.62793581451017e-06
"Bcl11a",1.22443896778281e-10,1.31162193855341,0.935,0.588,2.31321009793528e-06
"Cux1",1.8326949685114e-10,-2.40352977366709,0.391,0.744,3.46232733451174e-06
"Rit2",6.81299349917855e-10,1.53505028807629,0.717,0.252,1.28711073186481e-05
"Nfix",1.97211439452522e-09,-1.68651109347301,0.609,0.84,3.72571851413704e-05
"Prkcb",4.03781438691483e-08,-1.30978151478635,0.717,0.848,0.00076282389397595
"Banp",5.52764008246039e-08,-3.10354403562977,0.152,0.552,0.00104428176437842
"Auts2",5.54242870034861e-08,-4.04943638736625,0.087,0.504,0.00104707563006986
"Emc10",7.53932338805519e-08,1.37633932667242,0.804,0.464,0.00142432897447139
"Prdx1",9.28924538673177e-08,1.49259244337262,0.783,0.372,0.00175492423846137
"Hmgn2",1.02639224073894e-07,1.33356579268065,0.63,0.224,0.00193906022120401
"Enc1",3.79030765397677e-07,1.0290405164891,0.87,0.42,0.00716064921989292
"Sirt3",2.71243788613122e-06,1.28799916804947,0.587,0.224,0.051243376544791
"Nr1d1",3.18950476934948e-06,-2.55442798206078,0.174,0.512,0.0602561241025504
"Ctnnb1",5.95730580467505e-05,1.04177734330126,0.804,0.44,1
"Apbb1",0.000152548977180597,-1.23345280084615,0.609,0.724,1
"Satb2",0.000169189077258509,-1.64931504096322,0.239,0.504,1
"Maged1",0.000330149912191368,1.04005874509997,0.804,0.544,1
"Gpx1",0.00042948431904325,1.18603805182611,0.565,0.3,1
"Camta2",0.00304384525236388,-1.2491525027188,0.435,0.556,1
"Tbr1",0.00436149781982159,-1.15125926293534,0.5,0.592,1
"Atrn",0.0133116473220859,-1.15982188756363,0.413,0.512,1
